,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,CH_ba,SL_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-09-05,716714,Groundout,field_out,True,592885,656578,Christian Yelich,Andre Jackson,1,0,0,b6c118ee-92b5-4420-94b5-8736a81cafa0,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,87.1,81.5,0.222,0.273,0.148,0.067,,,,,,,,,,,,,,
1,2023-09-05,716714,Groundout,field_out,True,661388,656578,William Contreras,Andre Jackson,1,0,0,3a7a9212-97fe-4e20-8f9a-af3436a5b65b,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,87.1,81.5,0.222,0.273,0.148,0.067,,,,,,,,,,,,,,
2,2023-09-05,716714,Flyout,field_out,True,467793,656578,Carlos Santana,Andre Jackson,1,0,0,79d6fcd0-1677-4d64-93df-0579447157d7,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,87.1,81.5,0.222,0.273,0.148,0.067,,,,,,,,,,,,,,
3,2023-09-05,716714,Single,single,False,678225,605540,Ji Hwan Bae,Brandon Woodruff,1,1,0,1396860c-0b23-492e-9ea2-55a3d6c9de6b,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,107.0,108.0,0.41,0.095,0.079,0.19699999999999998,0.95,-0.33,-0.01,3.2,95.8,86.9,82.9,0.177,0.098,0.278,0.182,108.0,100.0,96.0,0.22,2.76,95.0,0.193,,,,,,,
4,2023-09-05,716714,Groundout,field_out,True,668804,605540,Bryan Reynolds,Brandon Woodruff,1,1,1,c56eec57-524a-45f2-8673-d286a17f105c,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,107.0,108.0,0.41,0.095,0.079,0.19699999999999998,0.95,-0.33,-0.01,3.2,95.8,86.9,82.9,0.177,0.098,0.278,0.182,108.0,100.0,96.0,0.22,2.76,95.0,0.193,,,,,,,
5,2023-09-05,716714,Groundout,field_out,True,663647,605540,Ke'Bryan Hayes,Brandon Woodruff,1,0,0,946ac309-34e1-4c2a-9ad2-d039a9ea9fba,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,107.0,108.0,0.41,0.095,0.079,0.19699999999999998,0.95,-0.33,-0.01,3.2,95.8,86.9,82.9,0.177,0.098,0.278,0.182,108.0,100.0,96.0,0.22,2.76,95.0,0.193,,,,,,,
6,2023-09-05,716714,Groundout,field_out,True,592192,656578,Mark Canha,Andre Jackson,1,0,0,2841236e-4fd0-4437-823e-383236c1cc9f,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,87.1,81.5,0.222,0.273,0.148,0.067,,,,,,,,,,,,,,
7,2023-09-05,716714,Strikeout,strikeout,True,642715,656578,Willy Adames,Andre Jackson,0,0,0,7d501a94-7e87-42a9-867b-459d20608b79,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,87.1,81.5,0.222,0.273,0.148,0.067,,,,,,,,,,,,,,
8,2023-09-05,716714,Flyout,field_out,True,686217,656578,Sal Frelick,Andre Jackson,0,0,0,ea747683-f99d-43da-a073-950890dfbf9c,656578.0,andrejackson,Jackson,Right,Andre Jackson,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,86.9,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,90.0,101.0,103.0,0.446,0.17,0.065,0.32,0.74,1.4,1.88,-1.7,94.9,87.1,81.5,0.222,0.273,0.148,0.067,,,,,,,,,,,,,,
9,2023-09-05,716714,Flyout,field_out,True,656582,605540,Connor Joe,Brandon Woodruff,1,0,0,6835f7b4-87b5-4d0a-a471-eb505c33ee54,605540.0,brandonwoodruff,Woodruff,Right,Brandon Woodruff,2.28,2.82,67.0,107.0,114.0,110.0,0.7490000000000001,9.94,2.01,5.37,1.21,0.81,0.23600000000000002,0.41600000000000004,0.168,0.298,0.474,85.8,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,107.0,108.0,0.41,0.095,0.079,0.19699999999999998,0.95,-0.33,-0.01,3.2,95.8,86.9,82.9,0.177,0.098,0.278,0.182,108.0,100.0,96.0,0.22,2.76,95.0,0.193,,,,,,,
