,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vSI,vSL,vCU,SL_ba,FF_ba,CU_ba,CH_ba,FS_ba,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2023-08-16,716962,Groundout,field_out,True,592885,477132,Christian Yelich,Clayton Kershaw,0,0,0,11ac5fa9-99c4-494d-8c0c-6e813a7703fe,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,116.0,127.0,165.0,0.002,0.369,0.002,0.434,0.175,0.017,0.23,13.51,14.84,2.06,0.13,-0.46,90.7,84.4,90.9,86.5,73.4,0.167,0.281,0.212,0.2,0.0,0.0,,,,,,,,,,,,,
1,2023-08-16,716962,Flyout,field_out,True,661388,477132,William Contreras,Clayton Kershaw,1,0,0,ec548d62-db9d-43ae-ac31-6e9e47df990b,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,116.0,127.0,165.0,0.002,0.369,0.002,0.434,0.175,0.017,0.23,13.51,14.84,2.06,0.13,-0.46,90.7,84.4,90.9,86.5,73.4,0.167,0.281,0.212,0.2,0.0,0.0,,,,,,,,,,,,,
2,2023-08-16,716962,Flyout,field_out,True,467793,477132,Carlos Santana,Clayton Kershaw,1,0,0,e5e30f30-f360-4da4-b026-12b9fe483c72,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,116.0,127.0,165.0,0.002,0.369,0.002,0.434,0.175,0.017,0.23,13.51,14.84,2.06,0.13,-0.46,90.7,84.4,90.9,86.5,73.4,0.167,0.281,0.212,0.2,0.0,0.0,,,,,,,,,,,,,
3,2023-08-16,716962,Walk,walk,False,605141,489119,Mookie Betts,Wade Miley,1,0,0,fd788475-8c29-4ba9-9835-7aecd9561b69,489119.0,wademiley,Miley,Left,Wade Miley,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.42200000000000004,0.166,0.319,0.406,83.7,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,,,,0.046,0.195,,0.049,0.022000000000000002,0.24600000000000002,0.46,,-2.53,0.62,2.01,0.6,90.4,,90.7,79.1,75.8,0.192,0.198,,0.219,,0.333,101.0,103.0,101.0,0.44299999999999995,1.07,87.1,0.232,,,,,,
4,2023-08-16,716962,Flyout,field_out,True,518692,489119,Freddie Freeman,Wade Miley,1,0,1,0d792de1-4dd4-49e8-9a57-e1fa4b1262a6,489119.0,wademiley,Miley,Left,Wade Miley,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.42200000000000004,0.166,0.319,0.406,83.7,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,,,,0.046,0.195,,0.049,0.022000000000000002,0.24600000000000002,0.46,,-2.53,0.62,2.01,0.6,90.4,,90.7,79.1,75.8,0.192,0.198,,0.219,,0.333,101.0,103.0,101.0,0.44299999999999995,1.07,87.1,0.232,,,,,,
5,2023-08-16,716962,Single,single,False,669257,489119,Will Smith,Wade Miley,1,0,1,f6e08be9-d0a6-4126-ae87-0fd03b6fe61c,489119.0,wademiley,Miley,Left,Wade Miley,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.42200000000000004,0.166,0.319,0.406,83.7,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,,,,0.046,0.195,,0.049,0.022000000000000002,0.24600000000000002,0.46,,-2.53,0.62,2.01,0.6,90.4,,90.7,79.1,75.8,0.192,0.198,,0.219,,0.333,101.0,103.0,101.0,0.44299999999999995,1.07,87.1,0.232,,,,,,
6,2023-08-16,716962,Catcher Interference,catcher_interf,False,502110,489119,J.D. Martinez,Wade Miley,0,0,1,d6a0f521-fd7a-4998-8780-2bba39c43f84,489119.0,wademiley,Miley,Left,Wade Miley,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.42200000000000004,0.166,0.319,0.406,83.7,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,,,,0.046,0.195,,0.049,0.022000000000000002,0.24600000000000002,0.46,,-2.53,0.62,2.01,0.6,90.4,,90.7,79.1,75.8,0.192,0.198,,0.219,,0.333,101.0,103.0,101.0,0.44299999999999995,1.07,87.1,0.232,,,,,,
7,2023-08-16,716962,Groundout,field_out,True,642708,489119,Amed Rosario,Wade Miley,1,0,1,f18ef588-3701-4ec5-817d-7318d7a4e375,489119.0,wademiley,Miley,Left,Wade Miley,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.42200000000000004,0.166,0.319,0.406,83.7,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,,,,0.046,0.195,,0.049,0.022000000000000002,0.24600000000000002,0.46,,-2.53,0.62,2.01,0.6,90.4,,90.7,79.1,75.8,0.192,0.198,,0.219,,0.333,101.0,103.0,101.0,0.44299999999999995,1.07,87.1,0.232,,,,,,
8,2023-08-16,716962,Groundout,field_out,True,571970,489119,Max Muncy,Wade Miley,0,0,0,1b14cf34-08bf-495f-87eb-bede17082d61,489119.0,wademiley,Miley,Left,Wade Miley,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.42200000000000004,0.166,0.319,0.406,83.7,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,,,,0.046,0.195,,0.049,0.022000000000000002,0.24600000000000002,0.46,,-2.53,0.62,2.01,0.6,90.4,,90.7,79.1,75.8,0.192,0.198,,0.219,,0.333,101.0,103.0,101.0,0.44299999999999995,1.07,87.1,0.232,,,,,,
9,2023-08-16,716962,Home Run,home_run,False,592192,477132,Mark Canha,Clayton Kershaw,0,0,0,2aed8ee5-ac32-44cd-bb91-d2fed65b0ce9,477132.0,claytonkershaw,Kershaw,Left,Clayton Kershaw,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,84.6,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,116.0,127.0,165.0,0.002,0.369,0.002,0.434,0.175,0.017,0.23,13.51,14.84,2.06,0.13,-0.46,90.7,84.4,90.9,86.5,73.4,0.167,0.281,0.212,0.2,0.0,0.0,,,,,,,,,,,,,
