,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vFS,vSI,vSL,vCU,vKC,FF_ba,SI_ba,ST_ba,SL_ba,CU_ba,FS_ba,FC_ba,CH_ba
0,2023-08-14,716996,Groundout,field_out,True,668939,506433,Adley Rutschman,Yu Darvish,0,0,0,eea35c67-918b-438d-92d3-09b75803251c,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
1,2023-08-14,716996,Strikeout,strikeout,True,683002,506433,Gunnar Henderson,Yu Darvish,0,0,0,8a5470f9-39a9-41a2-8bf3-7dc801397f9a,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
2,2023-08-14,716996,Flyout,field_out,True,623993,506433,Anthony Santander,Yu Darvish,0,0,0,e1edfdec-1766-4903-a02a-7c5a9be8c0fc,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
3,2023-08-14,716996,Groundout,field_out,True,673490,680570,Ha-Seong Kim,Grayson Rodriguez,1,0,0,cc16e22f-60fd-4753-a923-7ce29fde1a38,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
4,2023-08-14,716996,Single,single,False,665487,680570,Fernando Tatis Jr.,Grayson Rodriguez,0,0,0,75cc2d2d-fcda-4e86-b0c9-da7eaa39e3b7,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
5,2023-08-14,716996,Grounded Into DP,grounded_into_double_play,True,665742,680570,Juan Soto,Grayson Rodriguez,0,0,1,762014c5-6d5d-430d-a5af-9b54d40ad0d6,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,4.35,4.21,122.0,102.0,117.0,108.0,0.759,9.52,3.1,8.93,1.18,1.4,0.226,0.408,0.12,0.37200000000000005,0.44,83.9,110.0,102.0,115.0,146.0,97.0,101.0,116.0,104.0,106.0,,,,126.0,103.0,114.0,,,,76.0,90.0,86.0,,,,,0.496,0.052000000000000005,,0.14800000000000002,0.081,,0.22399999999999998,-0.83,-1.59,,,1.92,-0.49,,1.7,97.4,90.0,,,82.4,79.9,,0.342,,0.153,,0.176,,0.333,0.201
6,2023-08-14,716996,Home Run,home_run,False,656811,506433,Ryan O'Hearn,Yu Darvish,1,0,0,356c126d-1815-4c4c-9411-7a4f4ce8cbac,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
7,2023-08-14,716996,Strikeout,strikeout,True,663624,506433,Ryan Mountcastle,Yu Darvish,0,0,0,70d456f0-7907-4653-9ef3-f6c8fcf0d9e7,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
8,2023-08-14,716996,Pop Out,field_out,True,656775,506433,Cedric Mullins,Yu Darvish,0,0,0,f0654620-df0a-480d-9e9f-bb8063f1aa33,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
9,2023-08-14,716996,Strikeout,strikeout,True,602104,506433,Ramón Urías,Yu Darvish,0,0,0,3de2bbe4-a6a1-4f93-bb69-319bdf614620,506433.0,yudarvish,Darvish,Right,Yu Darvish,4.56,3.82,136.1,102.0,112.0,106.0,0.769,9.31,2.84,8.85,1.19,1.19,0.23600000000000002,0.39,0.18100000000000002,0.306,0.45299999999999996,82.3,180.0,50.0,53.0,97.0,94.0,104.0,122.0,110.0,114.0,101.0,106.0,102.0,125.0,98.0,108.0,105.0,111.0,112.0,93.0,95.0,99.0,95.0,104.0,100.0,0.18600000000000003,0.16699999999999998,0.08900000000000001,0.077,0.363,0.051,0.066,0.001,-1.74,2.4,1.21,0.46,-0.68,1.37,3.06,-1.35,94.7,90.9,89.2,94.3,84.0,72.3,79.3,0.253,0.319,0.256,0.432,0.13,0.167,0.2,
