,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SV_ba,ST_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba
0,2023-07-26,717248,Strikeout,strikeout,True,607043,607074,Brandon Nimmo,Carlos Rodón,0,0,0,da4b808d-a3d1-4325-b04b-c248909a51d4,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
1,2023-07-26,717248,Strikeout,strikeout,True,668901,607074,Mark Vientos,Carlos Rodón,0,0,0,209f98b3-ca63-428f-b41c-aa61a53668c2,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
2,2023-07-26,717248,Walk,walk,False,596019,607074,Francisco Lindor,Carlos Rodón,1,0,0,4be6b105-a8f0-4638-9f2f-e9cc583f4607,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
3,2023-07-26,717248,Flyout,field_out,True,624413,607074,Pete Alonso,Carlos Rodón,1,0,0,89f3c514-6b9f-4556-8e57-caa6af156c96,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
4,2023-07-26,717248,Single,single,False,643396,500779,Isiah Kiner-Falefa,Jose Quintana,1,0,0,4ca9e68a-06f7-4bb7-a2d4-6f87c812e6e0,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
5,2023-07-26,717248,Single,single,False,650402,500779,Gleyber Torres,Jose Quintana,0,0,1,129624e7-70b6-4f30-95f1-48f0df82c1e6,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
6,2023-07-26,717248,Strikeout,strikeout,True,519317,500779,Giancarlo Stanton,Jose Quintana,0,0,0,d5678b66-ff5b-4cb7-a945-df551bfc625e,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
7,2023-07-26,717248,Grounded Into DP,grounded_into_double_play,True,519203,500779,Anthony Rizzo,Jose Quintana,0,0,1,29b3e78e-1d12-4aa0-9758-7130f2f1dcc6,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
8,2023-07-26,717248,Flyout,field_out,True,502054,607074,Tommy Pham,Carlos Rodón,0,0,0,e5343836-9e67-49d8-b904-13fda527b784,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
9,2023-07-26,717248,Groundout,field_out,True,643446,607074,Jeff McNeil,Carlos Rodón,0,0,0,2b815b1c-c7ab-488d-a6c3-97e5ebc1c80d,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
10,2023-07-26,717248,Groundout,field_out,True,592192,607074,Mark Canha,Carlos Rodón,1,0,0,bd2de7be-28aa-4395-96fb-038902a69991,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.11599999999999999,0.381,0.429,85.5,84.0,67.0,81.0,102.0,92.0,96.0,106.0,101.0,100.0,126.0,95.0,104.0,0.603,0.29,0.065,0.043,-1.05,-0.06,-3.96,0.96,95.3,85.4,79.7,0.294,0.2,0.375,0.0,,,,,,,,,,,,,,,,
11,2023-07-26,717248,Walk,walk,False,518934,500779,DJ LeMahieu,Jose Quintana,0,0,0,f6773c22-b628-40f8-bd6a-8122252f5c45,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
12,2023-07-26,717248,Double,double,False,664056,500779,Harrison Bader,Jose Quintana,0,0,1,65c4c82b-8aab-4bf3-8142-462467ae3ccc,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
13,2023-07-26,717248,Walk,walk,False,683011,500779,Anthony Volpe,Jose Quintana,1,0,0,8a5e7787-6782-4741-8ffa-e0e51787fdc4,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
14,2023-07-26,717248,Strikeout,strikeout,True,543309,500779,Kyle Higashioka,Jose Quintana,0,0,0,79537f64-ef31-4e28-9b69-861430384cfe,500779.0,josequintana,Quintana,Left,Jose Quintana,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.28600000000000003,0.349,85.8,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.18100000000000002,-2.28,,1.45,-1.18,90.2,,77.2,0.391,,0.214,0.276,78.0,99.0,91.0,0.32299999999999995,3.29,90.4,0.196,0.211,,,,,,,,
