,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FS_ba,SL_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba
0,2023-07-26,717253,Groundout,field_out,True,543807,664062,George Springer,Tony Gonsolin,1,1,0,3b44142d-fa9a-4e57-a5a7-cb0b1d7969f1,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,
1,2023-07-26,717253,Groundout,field_out,True,666182,664062,Bo Bichette,Tony Gonsolin,0,0,0,789d66cb-c778-4533-9c16-a735f8e7f3a9,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,
2,2023-07-26,717253,Groundout,field_out,True,474832,664062,Brandon Belt,Tony Gonsolin,1,1,0,f28b4166-c312-4ec9-90ab-bb96094618ee,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,
3,2023-07-26,717253,Single,single,False,605141,579328,Mookie Betts,Yusei Kikuchi,0,0,0,24bf5938-ec37-4ed2-b5bf-a34637d912dd,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.05,,1.11,0.24,95.1,,88.7,83.1,0.27,,0.225,0.284,88.7,82.0,93.0,83.0,0.09699999999999999,-1.83,0.254,,,,,,,
4,2023-07-26,717253,Single,single,False,518692,579328,Freddie Freeman,Yusei Kikuchi,1,0,1,913aeca9-194e-4a88-853b-dfc1b9084db6,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.05,,1.11,0.24,95.1,,88.7,83.1,0.27,,0.225,0.284,88.7,82.0,93.0,83.0,0.09699999999999999,-1.83,0.254,,,,,,,
5,2023-07-26,717253,Strikeout,strikeout,True,502110,579328,J.D. Martinez,Yusei Kikuchi,0,0,0,42c6b605-fdb5-4504-afaa-0022757e765a,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.05,,1.11,0.24,95.1,,88.7,83.1,0.27,,0.225,0.284,88.7,82.0,93.0,83.0,0.09699999999999999,-1.83,0.254,,,,,,,
6,2023-07-26,717253,Strikeout,strikeout,True,621035,579328,Chris Taylor,Yusei Kikuchi,0,0,0,513aa16f-7800-432f-9010-8235d7f9d5bd,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.05,,1.11,0.24,95.1,,88.7,83.1,0.27,,0.225,0.284,88.7,82.0,93.0,83.0,0.09699999999999999,-1.83,0.254,,,,,,,
7,2023-07-26,717253,Groundout,field_out,True,571970,579328,Max Muncy,Yusei Kikuchi,0,0,0,0a688f99-dfb0-4d65-9f72-746f7aa23d42,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,,,,0.451,,0.259,0.193,0.05,,1.11,0.24,95.1,,88.7,83.1,0.27,,0.225,0.284,88.7,82.0,93.0,83.0,0.09699999999999999,-1.83,0.254,,,,,,,
8,2023-07-26,717253,Single,single,False,665489,664062,Vladimir Guerrero Jr.,Tony Gonsolin,0,0,0,53f45cef-796a-4a6a-8b2c-b7af61db5ade,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,
9,2023-07-26,717253,Double,double,False,656305,664062,Matt Chapman,Tony Gonsolin,1,1,1,bac06665-fab1-4920-b2c7-70090ef575e9,664062.0,tonygonsolin,Gonsolin,Right,Tony Gonsolin,4.98,5.89,103.0,97.0,97.0,98.0,0.8029999999999999,7.17,3.5,7.51,1.66,0.79,0.19,0.395,0.141,0.389,0.38799999999999996,107.0,83.0,90.0,80.0,99.0,91.0,90.0,103.0,108.0,120.0,98.0,106.0,0.395,0.272,0.183,0.151,1.42,0.21,-0.82,-2.12,92.4,83.0,86.8,80.9,0.221,0.181,0.268,0.313,,,,,,,,,,,,,,
