,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vSI,vCU,SI_ba,CH_ba,CU_ba,FF_ba,FC_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,FS%,wFS/C,vFS,SL_ba,FS_ba
0,2023-06-09,717832,Double,double,False,621028,656756,Kevin Newman,Jordan Montgomery,0,0,0,dcefe227-a3e7-4657-a051-9b1683a27b5c,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
1,2023-06-09,717832,Lineout,field_out,True,680574,656756,Matt McLain,Jordan Montgomery,1,0,1,f08b3a13-4aed-4bf3-a1ac-addb5bfa78f3,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
2,2023-06-09,717832,Lineout,field_out,True,663697,656756,Jonathan India,Jordan Montgomery,1,1,0,0ee6575b-a275-4331-9a15-d650cc44b053,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
3,2023-06-09,717832,Strikeout,strikeout,True,682829,656756,Elly De La Cruz,Jordan Montgomery,0,0,0,47ac3bc3-7591-4d40-ae2d-4aa9e6a0f635,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.22899999999999998,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,93.3,80.5,0.255,0.239,0.191,0.333,0.417,,,,,,,,,,,,
4,2023-06-09,717832,Single,single,False,680977,594902,Brendan Donovan,Ben Lively,0,0,0,51cab7bf-b1df-4c16-8f2e-4c6b89bb2a4c,594902.0,benlively,Lively,Right,Ben Lively,5.38,5.03,88.2,101.0,79.0,95.0,0.8140000000000001,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,84.4,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,98.0,92.0,82.0,0.21899999999999997,0.321,0.049,0.066,0.102,-2.09,0.62,0.24,-4.42,-1.4,90.6,88.1,91.5,76.3,0.257,0.265,0.273,0.362,0.267,71.0,102.0,102.0,0.243,1.68,80.1,0.158,,,,,
5,2023-06-09,717832,Strikeout,strikeout,True,502671,594902,Paul Goldschmidt,Ben Lively,0,0,0,c2e58ef6-f3d8-4c44-bccf-7c33a8a1bd60,594902.0,benlively,Lively,Right,Ben Lively,5.38,5.03,88.2,101.0,79.0,95.0,0.8140000000000001,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,84.4,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,98.0,92.0,82.0,0.21899999999999997,0.321,0.049,0.066,0.102,-2.09,0.62,0.24,-4.42,-1.4,90.6,88.1,91.5,76.3,0.257,0.265,0.273,0.362,0.267,71.0,102.0,102.0,0.243,1.68,80.1,0.158,,,,,
6,2023-06-09,717832,Strikeout,strikeout,True,669357,594902,Nolan Gorman,Ben Lively,0,0,0,75894129-4281-444e-acbe-d2c7f267b83a,594902.0,benlively,Lively,Right,Ben Lively,5.38,5.03,88.2,101.0,79.0,95.0,0.8140000000000001,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,84.4,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,98.0,92.0,82.0,0.21899999999999997,0.321,0.049,0.066,0.102,-2.09,0.62,0.24,-4.42,-1.4,90.6,88.1,91.5,76.3,0.257,0.265,0.273,0.362,0.267,71.0,102.0,102.0,0.243,1.68,80.1,0.158,,,,,
7,2023-06-09,717832,Home Run,home_run,False,571448,594902,Nolan Arenado,Ben Lively,0,0,1,3ddf86b9-5c06-416c-8729-4d18811a7812,594902.0,benlively,Lively,Right,Ben Lively,5.38,5.03,88.2,101.0,79.0,95.0,0.8140000000000001,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,84.4,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,98.0,92.0,82.0,0.21899999999999997,0.321,0.049,0.066,0.102,-2.09,0.62,0.24,-4.42,-1.4,90.6,88.1,91.5,76.3,0.257,0.265,0.273,0.362,0.267,71.0,102.0,102.0,0.243,1.68,80.1,0.158,,,,,
8,2023-06-09,717832,Single,single,False,575929,594902,Willson Contreras,Ben Lively,0,0,0,e66cd508-b0fb-4a07-926e-44db14880cc9,594902.0,benlively,Lively,Right,Ben Lively,5.38,5.03,88.2,101.0,79.0,95.0,0.8140000000000001,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,84.4,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,98.0,92.0,82.0,0.21899999999999997,0.321,0.049,0.066,0.102,-2.09,0.62,0.24,-4.42,-1.4,90.6,88.1,91.5,76.3,0.257,0.265,0.273,0.362,0.267,71.0,102.0,102.0,0.243,1.68,80.1,0.158,,,,,
9,2023-06-09,717832,Pop Out,field_out,True,669242,594902,Tommy Edman,Ben Lively,0,0,0,518aa2f4-6bd2-4379-8799-3eca7fa1ee37,594902.0,benlively,Lively,Right,Ben Lively,5.38,5.03,88.2,101.0,79.0,95.0,0.8140000000000001,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,84.4,59.0,94.0,89.0,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,98.0,92.0,82.0,0.21899999999999997,0.321,0.049,0.066,0.102,-2.09,0.62,0.24,-4.42,-1.4,90.6,88.1,91.5,76.3,0.257,0.265,0.273,0.362,0.267,71.0,102.0,102.0,0.243,1.68,80.1,0.158,,,,,
