,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vSL,vKC,SL_ba,FF_ba,CU_ba,CH_ba,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,wFC/C,wSI/C,wCU/C,vFC,vSI,vCU,SI_ba,ST_ba,FC_ba
0,2023-06-03,717915,Strikeout,strikeout,True,656716,656302,Zach McKinstry,Dylan Cease,0,0,0,ada4b752-987b-460c-ae22-567b240871ad,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
1,2023-06-03,717915,Groundout,field_out,True,595879,656302,Javier Báez,Dylan Cease,1,1,0,96ac597b-66c3-403f-bb88-572695c0b486,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
2,2023-06-03,717915,Groundout,field_out,True,668731,656302,Akil Baddoo,Dylan Cease,1,0,0,e1f15d9c-35b9-4df8-8b97-9431fbfde6e7,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
3,2023-06-03,717915,Single,single,False,641313,547179,Tim Anderson,Michael Lorenzen,0,0,0,226493fe-a7d6-4032-b557-d49cf7d6a8fe,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
4,2023-06-03,717915,Lineout,field_out,True,643217,547179,Andrew Benintendi,Michael Lorenzen,0,0,0,f19dd9c5-46b1-47e8-b6f8-bee097a25bde,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
5,2023-06-03,717915,Forceout,force_out,True,673357,547179,Luis Robert Jr.,Michael Lorenzen,0,0,1,1bbf2056-4a4e-43c7-b3b1-a4f26d94ce1c,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
6,2023-06-03,717915,Pop Out,field_out,True,650391,547179,Eloy Jiménez,Michael Lorenzen,1,1,0,dabe65aa-a5dc-434b-9c84-1f527da122a7,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,4.18,4.51,153.0,101.0,101.0,101.0,0.809,6.53,2.76,8.12,1.18,1.06,0.24600000000000002,0.41700000000000004,0.09699999999999999,0.35200000000000004,0.447,84.5,95.0,101.0,102.0,98.0,100.0,97.0,116.0,102.0,106.0,,,,0.34700000000000003,0.297,,0.21600000000000003,1.17,0.34,,0.26,94.3,84.7,,0.242,0.211,0.667,0.186,103.0,112.0,110.0,82.0,108.0,100.0,89.0,75.0,71.0,0.12,0.009000000000000001,0.011000000000000001,-7.35,0.73,-4.26,90.8,93.7,82.3,0.333,0.293,0.6
7,2023-06-03,717915,Flyout,field_out,True,679529,656302,Spencer Torkelson,Dylan Cease,0,0,0,61cd747d-c37c-4d63-be02-dd3ea9909b75,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
8,2023-06-03,717915,Groundout,field_out,True,606992,656302,Eric Haase,Dylan Cease,1,0,0,5ed9bd6b-b663-4a17-a4cd-0101fd359860,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
9,2023-06-03,717915,Single,single,False,665155,656302,Nick Maton,Dylan Cease,1,0,0,7e4e164e-4d09-4dbb-8b89-960da1e23efc,656302.0,dylancease,Cease,Right,Dylan Cease,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.43200000000000005,0.17300000000000001,0.341,0.376,74.6,60.0,90.0,78.0,125.0,95.0,103.0,120.0,101.0,108.0,83.0,94.0,99.0,0.43200000000000005,0.386,0.152,0.03,-0.15,0.4,-1.83,1.0,95.6,86.3,80.2,0.216,0.273,0.298,0.111,,,,,,,,,,,,,,,,,,,,,
