,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vSL,vCU,FF_ba,SL_ba,CU_ba,CH_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,ST_ba
0,2023-05-30,717965,Groundout,field_out,True,573131,579328,Darin Ruf,Yusei Kikuchi,1,0,0,0766c600-ef5a-440f-8446-1ba950f6be3a,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
1,2023-05-30,717965,Single,single,False,680911,579328,Owen Miller,Yusei Kikuchi,0,0,0,eb149653-93bb-4a9a-bb5a-6749270a31f1,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
2,2023-05-30,717965,Home Run,home_run,False,661388,579328,William Contreras,Yusei Kikuchi,0,0,1,37fe1834-e1d0-4d96-a943-1d42d0f9030c,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
3,2023-05-30,717965,Walk,walk,False,592885,579328,Christian Yelich,Yusei Kikuchi,1,0,0,61afeeb9-2279-4c3a-9818-4296fbcfe479,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
4,2023-05-30,717965,Pop Out,field_out,True,605119,579328,Brian Anderson,Yusei Kikuchi,0,0,0,94e88bc0-4c8e-47df-aae6-377e30412aea,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
5,2023-05-30,717965,Lineout,field_out,True,670712,579328,Mike Brosseau,Yusei Kikuchi,0,0,0,8c6fd140-df35-4df0-82d5-36d937f303e8,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,88.7,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,101.0,105.0,108.0,0.451,0.259,0.193,0.09699999999999999,0.05,1.11,0.24,-1.83,95.1,88.7,83.1,0.27,0.225,0.284,0.254,,,,,,,,,,,,,,,,,,,,,
6,2023-05-30,717965,Single,single,False,543807,605288,George Springer,Adrian Houser,0,0,0,2a276259-69e0-45d7-9795-b6a6d302d96c,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
7,2023-05-30,717965,Groundout,field_out,True,666182,605288,Bo Bichette,Adrian Houser,1,0,1,a75a5dd0-32c2-4b84-98dd-fde1536f4811,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
8,2023-05-30,717965,Single,single,False,665489,605288,Vladimir Guerrero Jr.,Adrian Houser,0,0,1,8de853b8-dc05-4cad-ba05-2d4a315fc9bf,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
9,2023-05-30,717965,Walk,walk,False,474832,605288,Brandon Belt,Adrian Houser,0,0,1,ccb29ac0-28df-4f4d-a7fb-8fe6edd6eee6,605288.0,adrianhouser,Houser,Right,Adrian Houser,4.12,4.21,111.1,103.0,83.0,97.0,0.8390000000000001,7.76,2.75,9.78,1.05,1.32,0.19399999999999998,0.409,0.134,0.36,0.424,84.3,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,83.0,102.0,99.0,0.23800000000000002,0.166,0.085,0.04,0.29,-0.89,-1.08,-2.07,93.4,82.3,79.4,0.227,0.258,0.269,0.294,86.0,104.0,100.0,0.47100000000000003,0.46,92.1,0.296,,,,,,,,,,,,,,
