,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,SL_ba,SI_ba,CU_ba,FF_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,ST_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-05-27,718003,Single,single,False,514888,643493,Jose Altuve,Austin Pruitt,0,0,0,2d0e553f-4bc7-40ef-88cd-32954a8bf340,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
1,2023-05-27,718003,Home Run,home_run,False,665161,643493,Jeremy Peña,Austin Pruitt,0,0,1,7552fd36-2a45-48cd-a600-d138a3fe9121,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
2,2023-05-27,718003,Flyout,field_out,True,670541,643493,Yordan Alvarez,Austin Pruitt,1,1,0,c9e6f090-0202-4b16-898b-a27175957c70,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
3,2023-05-27,718003,Single,single,False,608324,643493,Alex Bregman,Austin Pruitt,1,1,0,20f4b73b-7e67-4a1d-9999-457cd1f014d6,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
4,2023-05-27,718003,Groundout,field_out,True,663656,643493,Kyle Tucker,Austin Pruitt,1,1,1,e53aba34-1be8-483c-9609-8b922b9fbfbd,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
5,2023-05-27,718003,Field Error,field_error,False,547989,643493,José Abreu,Austin Pruitt,0,0,1,01a9cb68-23db-4c6d-b81c-8d4662d33564,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
6,2023-05-27,718003,Strikeout,strikeout,True,676801,643493,Chas McCormick,Austin Pruitt,0,0,0,0cdf63b5-228b-4d91-b741-fc4bdbc7bb80,643493.0,austinpruitt,Pruitt,Right,Austin Pruitt,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,87.1,60.0,105.0,88.0,127.0,108.0,112.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.16,0.06,-1.17,3.55,0.34,2.21,1.29,91.8,91.3,87.6,81.2,0.238,0.216,0.143,0.344,0.308,,,,,,,,,,,,,,,
7,2023-05-27,718003,Strikeout,strikeout,True,665923,664285,Esteury Ruiz,Framber Valdez,0,0,0,a55fb005-09a3-4b24-a32e-d89f275aa6ff,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
8,2023-05-27,718003,Strikeout,strikeout,True,667670,664285,Brent Rooker,Framber Valdez,0,0,0,776a7a07-4ab1-45e4-8c0c-b035a6ff9791,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
9,2023-05-27,718003,Groundout,field_out,True,664913,664285,Seth Brown,Framber Valdez,1,1,0,6fbf0312-5ddd-494e-84f5-7f40f7742efa,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.24600000000000002,0.44299999999999995,0.109,0.374,0.445,90.1,96.0,98.0,94.0,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.46799999999999997,0.001,0.087,0.253,0.157,-16.35,0.93,-0.32,1.07,0.73,95.7,95.3,84.7,80.2,0.189,0.274,0.158,,0.231,99.0,99.0,95.0,0.034,0.45,89.1,0.182,,,,,,,,
