,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vSI,vSL,vCU,FF_ba,SL_ba,SI_ba,CU_ba,CH_ba,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FC_ba
0,2023-05-11,718217,Strikeout,strikeout,True,543760,665622,Marcus Semien,Luis Medina,0,0,0,fe377d1e-5e99-4e2f-b303-e087184cc5dc,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
1,2023-05-11,718217,Groundout,field_out,True,543257,665622,Robbie Grossman,Luis Medina,0,0,0,f4e162c1-8720-4688-b22b-830c8d988b62,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
2,2023-05-11,718217,Groundout,field_out,True,663993,665622,Nathaniel Lowe,Luis Medina,0,0,0,b8f5b333-3f7b-4ffa-a38f-7d9f8bf36096,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
3,2023-05-11,718217,Strikeout,strikeout,True,665923,543135,Esteury Ruiz,Nathan Eovaldi,0,0,0,ad19f2ca-c06a-4c6e-bdc6-8178379c9183,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
4,2023-05-11,718217,Strikeout,strikeout,True,676116,543135,Ryan Noda,Nathan Eovaldi,0,0,0,a3e9a3f2-eb3e-46da-9e2f-0aacc227ccbc,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
5,2023-05-11,718217,Groundout,field_out,True,667670,543135,Brent Rooker,Nathan Eovaldi,0,0,0,ac3684b7-f661-4ef4-89b0-b8acb241d596,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
6,2023-05-11,718217,Strikeout,strikeout,True,666969,665622,Adolis García,Luis Medina,0,0,0,49fc5b69-0b42-4c91-999a-bbbb15c58b32,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
7,2023-05-11,718217,Flyout,field_out,True,673962,665622,Josh Jung,Luis Medina,0,0,0,56a5bdfc-4c6d-4045-9213-888ec2acc666,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
8,2023-05-11,718217,Groundout,field_out,True,641680,665622,Jonah Heim,Luis Medina,1,0,0,7e6c9ceb-63bd-43cb-9c01-b9136839eb56,665622.0,luismedina,Medina,Right,Luis Medina,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.35200000000000004,0.41600000000000004,87.3,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.23800000000000002,0.11699999999999999,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,95.5,85.3,79.6,0.272,0.233,0.313,0.146,0.256,,,,,,,,,,,,,,
9,2023-05-11,718217,Groundout,field_out,True,668709,543135,JJ Bleday,Nathan Eovaldi,0,0,0,c06473b4-847b-40da-a1d1-aa38309782b6,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.36700000000000005,0.397,,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.37200000000000005,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,83.9,76.0,0.234,0.303,,0.2,,86.0,98.0,92.0,125.0,101.0,106.0,0.17600000000000002,0.276,1.33,1.26,90.6,87.9,0.196,0.238
