,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,SI_ba,CH_ba,FF_ba,SL_ba,FC_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,ST_ba
0,2023-05-04,718316,Groundout,field_out,True,543807,678394,George Springer,Brayan Bello,1,0,0,519b1019-3579-4b0c-9a4d-0bd845bb4317,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
1,2023-05-04,718316,Double,double,False,666182,678394,Bo Bichette,Brayan Bello,1,0,0,5de5ac1c-e09d-4309-8c6e-cde060278a8c,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
2,2023-05-04,718316,Lineout,field_out,True,665489,678394,Vladimir Guerrero Jr.,Brayan Bello,0,0,0,4a826af4-7748-46a1-875b-e93b802d3664,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
3,2023-05-04,718316,Groundout,field_out,True,662139,678394,Daulton Varsho,Brayan Bello,0,0,0,4bf8c016-3498-476e-beb2-69ac50ec3ee9,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
4,2023-05-04,718316,Strikeout,strikeout,True,606132,592332,Raimel Tapia,Kevin Gausman,0,0,0,63ee471f-048e-4ea9-aa78-3c755bbf8dc3,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.10800000000000001,,1.13,,,-0.97,,94.7,,,83.6,,,0.243,0.348,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,,,,,,,,
5,2023-05-04,718316,Home Run,home_run,False,807799,592332,Masataka Yoshida,Kevin Gausman,0,0,0,650301fe-2202-436c-a236-8484f3c5a955,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.10800000000000001,,1.13,,,-0.97,,94.7,,,83.6,,,0.243,0.348,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,,,,,,,,
6,2023-05-04,718316,Single,single,False,457759,592332,Justin Turner,Kevin Gausman,1,1,0,0533ad33-b61b-4972-a9a5-ede57c8553a8,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.10800000000000001,,1.13,,,-0.97,,94.7,,,83.6,,,0.243,0.348,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,,,,,,,,
7,2023-05-04,718316,Flyout,field_out,True,646240,592332,Rafael Devers,Kevin Gausman,0,0,0,e8ce78b5-d7cf-4dc4-8d57-62dbb40530b2,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.10800000000000001,,1.13,,,-0.97,,94.7,,,83.6,,,0.243,0.348,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,,,,,,,,
8,2023-05-04,718316,Strikeout,strikeout,True,680776,592332,Jarren Duran,Kevin Gausman,0,0,1,f707ac04-6c69-49e9-95d8-defdc5daf1f7,592332.0,kevingausman,Gausman,Right,Kevin Gausman,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.39899999999999997,,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.10800000000000001,,1.13,,,-0.97,,94.7,,,83.6,,,0.243,0.348,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,,,,,,,,
9,2023-05-04,718316,Strikeout,strikeout,True,656305,678394,Matt Chapman,Brayan Bello,0,0,0,828de7f4-7f33-44bd-ad9e-351adbbb4356,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
