,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vSI,vSL,SI_ba,CH_ba,FF_ba,SL_ba,FC_ba,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,ST_ba
0,2023-04-29,718385,Single,single,False,680757,678394,Steven Kwan,Brayan Bello,0,0,0,b4a9e495-028f-4e58-9ffe-5b6b4635108b,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
1,2023-04-29,718385,Grounded Into DP,grounded_into_double_play,True,642708,678394,Amed Rosario,Brayan Bello,0,0,1,002dbd37-316a-4aa7-8657-afb162273983,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
2,2023-04-29,718385,Single,single,False,608070,678394,José Ramírez,Brayan Bello,0,0,0,a6dca3fa-e553-402c-9f48-c7136b296782,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
3,2023-04-29,718385,Strikeout,strikeout,True,647304,678394,Josh Naylor,Brayan Bello,0,0,0,c608929e-64f4-4697-a00d-7dd58b3bd069,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
4,2023-04-29,718385,Double,double,False,657077,668676,Alex Verdugo,Zach Plesac,0,0,0,ee126456-0568-406c-afdb-904f565e0b78,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
5,2023-04-29,718385,Walk,walk,False,807799,668676,Masataka Yoshida,Zach Plesac,0,0,0,ce2d68b4-606d-4607-a57c-0400706f03ac,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
6,2023-04-29,718385,Strikeout,strikeout,True,457759,668676,Justin Turner,Zach Plesac,0,0,0,02e40778-23f7-4c78-adf1-c689f332aa4c,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
7,2023-04-29,718385,Home Run,home_run,False,646240,668676,Rafael Devers,Zach Plesac,1,0,1,86a2a4bb-f2a3-4f21-b5d3-0c8556388ccd,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
8,2023-04-29,718385,Groundout,field_out,True,680776,668676,Jarren Duran,Zach Plesac,1,1,0,10421a90-1fd0-4576-b44e-08b642b6ef26,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
9,2023-04-29,718385,Pop Out,field_out,True,606132,668676,Raimel Tapia,Zach Plesac,0,0,0,32af9c2b-6875-4691-90d1-172f55ad4a10,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
10,2023-04-29,718385,Home Run,home_run,False,605137,678394,Josh Bell,Brayan Bello,0,0,0,e2a6923b-9265-4b57-bcd3-2273cef8f4af,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
11,2023-04-29,718385,Groundout,field_out,True,660757,678394,Oscar Gonzalez,Brayan Bello,0,0,0,20fc4288-e78d-4da7-b8d6-0e5bfc97652b,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
12,2023-04-29,718385,Strikeout,strikeout,True,665926,678394,Andrés Giménez,Brayan Bello,0,0,0,53c6a406-69ed-41fb-bb8e-46e79a6e8949,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
13,2023-04-29,718385,Strikeout,strikeout,True,572287,678394,Mike Zunino,Brayan Bello,0,0,0,2ab093d9-6fe3-48af-8acc-bc52fde3a2e4,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
14,2023-04-29,718385,Groundout,field_out,True,665839,668676,Enmanuel Valdez,Zach Plesac,0,0,0,4f1d6f08-2232-45ad-8995-fb51b7fa461e,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
15,2023-04-29,718385,Groundout,field_out,True,624414,668676,Christian Arroyo,Zach Plesac,1,0,0,fa3d2bff-f0a9-4713-a94e-2f3ceca1d459,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
16,2023-04-29,718385,Single,single,False,657136,668676,Connor Wong,Zach Plesac,0,0,0,39ee700c-ed51-4b8b-a825-f0174b5b2f4d,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
17,2023-04-29,718385,Groundout,field_out,True,657077,668676,Alex Verdugo,Zach Plesac,0,0,0,4ef08294-da20-4c78-9ac2-8749b01c5ce8,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
18,2023-04-29,718385,Lineout,field_out,True,664702,678394,Myles Straw,Brayan Bello,0,0,0,b1fd2940-c1b6-4fb7-9176-cc1faaab30e7,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
19,2023-04-29,718385,Groundout,field_out,True,680757,678394,Steven Kwan,Brayan Bello,1,0,0,e19392ba-c77a-4f43-b5c4-f11aae280dfe,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
20,2023-04-29,718385,Strikeout,strikeout,True,642708,678394,Amed Rosario,Brayan Bello,0,0,0,1e354c5e-aa23-495a-b705-71a1dbf95112,678394.0,brayanbello,Bello,Right,Brayan Bello,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.19399999999999998,0.48,0.14400000000000002,0.35100000000000003,0.408,86.2,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,0.239,-1.91,-6.73,0.52,-1.86,1.38,95.5,89.1,95.0,85.3,0.278,0.196,0.31,0.3,0.462,,,,,,,,,,,,,,,
21,2023-04-29,718385,Single,single,True,807799,668676,Masataka Yoshida,Zach Plesac,0,0,1,246483e9-e449-4868-a7ec-933b6406c690,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
22,2023-04-29,718385,Groundout,field_out,True,457759,668676,Justin Turner,Zach Plesac,0,0,0,a06e9aa0-fc29-4cb8-adba-0f3e0cd83b83,668676.0,zachplesac,Plesac,Right,Zach Plesac,7.59,5.48,21.1,103.0,81.0,98.0,0.82,5.91,2.11,15.61,1.27,1.79,0.151,0.488,0.09300000000000001,0.256,0.435,83.6,71.0,101.0,86.0,63.0,98.0,84.0,,,,98.0,110.0,116.0,,,,,0.397,,0.408,0.154,-3.51,,,-1.04,-5.14,91.0,,,84.7,,0.385,0.5,0.275,,126.0,83.0,92.0,0.040999999999999995,-3.19,78.8,,,,,,,,,
