,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,ST_ba,FF_ba,CU_ba,FC_ba,CH_ba,SL_ba,KC%,wKC/C,vKC,FS%,wFS/C,vFS,FS_ba
0,2023-04-19,718512,Groundout,field_out,True,668942,663765,Josh Rojas,Jake Woodford,0,0,0,1adcfffa-e57d-44be-a388-64cd20321016,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
1,2023-04-19,718512,Single,single,False,606466,663765,Ketel Marte,Jake Woodford,0,0,1,37ed8808-0782-48ba-a171-9c20e25c0266,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
2,2023-04-19,718512,Groundout,field_out,True,682998,663765,Corbin Carroll,Jake Woodford,1,0,1,a7b3f26b-d5b3-480a-ace3-f8fe0cc6918d,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
3,2023-04-19,718512,Pop Out,field_out,True,572233,663765,Christian Walker,Jake Woodford,0,0,0,34ac83be-391c-4f68-ba52-7fdf35cba829,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
4,2023-04-19,718512,Double,double,False,669242,518516,Tommy Edman,Madison Bumgarner,0,0,0,0b29e6ad-a558-4699-908b-6d0800119afa,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
5,2023-04-19,718512,Double,double,False,666185,518516,Dylan Carlson,Madison Bumgarner,1,1,1,7b83766b-816a-4dfa-b633-a6e207f99504,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
6,2023-04-19,718512,Strikeout,strikeout,True,502671,518516,Paul Goldschmidt,Madison Bumgarner,0,0,0,1dd7fc2e-08e1-4deb-a3ff-f5d2eeb03635,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
7,2023-04-19,718512,Walk,walk,False,571448,518516,Nolan Arenado,Madison Bumgarner,0,0,0,0a040317-effd-48cc-b540-e5d3dec17e39,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
8,2023-04-19,718512,Double,double,False,575929,518516,Willson Contreras,Madison Bumgarner,1,0,1,4202750d-15b6-4a18-99d0-032d574e1c8c,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
9,2023-04-19,718512,Groundout,field_out,True,641933,518516,Tyler O'Neill,Madison Bumgarner,0,0,1,6a3352c8-f41e-410e-983a-cd7127c6b5e8,518516.0,madisonbumgarner,Bumgarner,Left,Madison Bumgarner,10.26,8.96,16.2,91.0,84.0,83.0,0.855,5.4,8.1,13.5,2.16,0.92,0.23399999999999999,0.484,0.172,0.359,0.414,84.3,78.0,79.0,70.0,80.0,102.0,95.0,68.0,84.0,78.0,,,,,,,103.0,97.0,87.0,,0.331,0.349,,0.19699999999999998,0.12300000000000001,-0.68,-1.77,,,-3.0,-12.26,89.5,86.2,,,77.2,,,0.133,0.333,0.375,1.0,,,,,,,,
