,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,ST_ba,FF_ba,FC_ba,FS_ba,SI_ba,CU_ba,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,SL_ba,CH_ba
0,2023-04-11,718614,Walk,walk,False,669743,660271,Alex Call,Shohei Ohtani,1,0,0,ef1d07ad-dfd0-49fd-aacc-0c66b953dcbe,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
1,2023-04-11,718614,Strikeout,strikeout,True,600869,660271,Jeimer Candelario,Shohei Ohtani,0,0,0,580a924d-4509-4663-80a7-c73d00b4ecd8,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
2,2023-04-11,718614,Flyout,field_out,True,642086,660271,Dominic Smith,Shohei Ohtani,0,0,0,3ae96c7f-6ef4-49ee-a8ec-450eea0795f6,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
3,2023-04-11,718614,Walk,walk,False,608841,660271,Joey Meneses,Shohei Ohtani,1,0,1,0949fdd5-80d2-4833-b680-7c0ffa63fbb5,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
4,2023-04-11,718614,Groundout,field_out,True,660688,660271,Keibert Ruiz,Shohei Ohtani,0,0,0,fad7982b-5198-48a7-a0f1-ee451f380e88,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
5,2023-04-11,718614,Flyout,field_out,True,621493,680686,Taylor Ward,Josiah Gray,1,0,0,153ef382-5d97-4a07-935e-54c90a140f52,680686.0,josiahgray,"Gray, Js",Right,Josiah Gray,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.45299999999999996,0.21,0.313,0.389,96.0,95.0,97.0,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,95.0,95.0,83.0,,,,0.17600000000000002,0.166,0.18100000000000002,,0.299,0.161,-1.21,-0.09,,0.15,-0.07,0.24,93.5,88.8,,93.1,85.1,82.2,0.163,0.291,0.243,,0.313,0.221,88.6,44.0,96.0,90.0,0.016,0.6,0.239,0.286
6,2023-04-11,718614,Lineout,field_out,True,545361,680686,Mike Trout,Josiah Gray,0,0,0,5790e863-f821-4056-984e-8e67a34f5197,680686.0,josiahgray,"Gray, Js",Right,Josiah Gray,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.45299999999999996,0.21,0.313,0.389,96.0,95.0,97.0,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,95.0,95.0,83.0,,,,0.17600000000000002,0.166,0.18100000000000002,,0.299,0.161,-1.21,-0.09,,0.15,-0.07,0.24,93.5,88.8,,93.1,85.1,82.2,0.163,0.291,0.243,,0.313,0.221,88.6,44.0,96.0,90.0,0.016,0.6,0.239,0.286
7,2023-04-11,718614,Flyout,field_out,True,660271,680686,Shohei Ohtani,Josiah Gray,1,1,0,a2a2da2d-e892-4a04-86ea-500c87d2992a,680686.0,josiahgray,"Gray, Js",Right,Josiah Gray,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.45299999999999996,0.21,0.313,0.389,96.0,95.0,97.0,82.0,91.0,83.0,93.0,101.0,90.0,84.0,92.0,96.0,95.0,95.0,83.0,,,,0.17600000000000002,0.166,0.18100000000000002,,0.299,0.161,-1.21,-0.09,,0.15,-0.07,0.24,93.5,88.8,,93.1,85.1,82.2,0.163,0.291,0.243,,0.313,0.221,88.6,44.0,96.0,90.0,0.016,0.6,0.239,0.286
8,2023-04-11,718614,Walk,walk,False,657041,660271,Lane Thomas,Shohei Ohtani,0,0,0,7327b730-1f34-4bd0-91d3-d00cb06e7b21,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
9,2023-04-11,718614,Strikeout,strikeout,True,682928,660271,CJ Abrams,Shohei Ohtani,0,0,0,eab555d3-1053-4511-9256-99e8334c6280,660271.0,shoheiohtani,Ohtani,Right,Shohei Ohtani,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.34299999999999997,0.457,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,96.0,89.0,88.0,129.0,93.0,108.0,0.06,0.33,0.156,0.062,0.35600000000000004,0.036000000000000004,1.64,-0.82,-0.25,-0.53,1.81,1.15,96.8,88.6,88.6,94.5,83.7,75.7,0.146,0.164,0.31,0.179,0.273,0.111,,,,,,,,
