,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FC_ba,FF_ba,CU_ba,SL_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,CH_ba,ST_ba,KC%,wKC/C,vKC
0,2023-04-08,718660,Single,single,False,669242,641778,Tommy Edman,Eric Lauer,1,0,0,979bb765-9e65-4eb8-a138-4281ca8025ff,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
1,2023-04-08,718660,Single,single,False,666185,641778,Dylan Carlson,Eric Lauer,1,0,1,a2e0dae0-3976-482b-a4dc-fcc20a22fbb4,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
2,2023-04-08,718660,Flyout,field_out,True,502671,641778,Paul Goldschmidt,Eric Lauer,1,0,1,979146d8-e0e4-4d75-862c-5275f731750a,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
3,2023-04-08,718660,Sac Fly,sac_fly,True,571448,641778,Nolan Arenado,Eric Lauer,1,0,1,e5ac8b2d-1766-4082-910e-443a5ff0f232,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
4,2023-04-08,718660,Single,single,False,575929,641778,Willson Contreras,Eric Lauer,1,0,1,df6bd07c-8df2-4241-87e2-b2b08957f8f4,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
5,2023-04-08,718660,Strikeout,strikeout,True,641933,641778,Tyler O'Neill,Eric Lauer,0,0,0,91485814-a620-4146-920a-9a5a847029b2,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
6,2023-04-08,718660,Flyout,field_out,True,670712,656756,Mike Brosseau,Jordan Montgomery,0,0,0,0e42f11d-0c8e-4494-af6c-32e2ee16805d,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.417,0.333,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,0.239,,,,
7,2023-04-08,718660,Flyout,field_out,True,642715,656756,Willy Adames,Jordan Montgomery,1,0,0,5c11ddec-6c2a-4fcb-9e36-12162db7a810,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.417,0.333,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,0.239,,,,
8,2023-04-08,718660,Groundout,field_out,True,592885,656756,Christian Yelich,Jordan Montgomery,1,0,0,d3bcf345-cd33-4491-8c9b-6a06bdffcae4,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.27699999999999997,0.392,0.14300000000000002,0.322,0.405,83.5,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.22899999999999998,-0.68,-4.4,,0.84,0.2,93.4,88.2,,80.5,0.417,0.333,0.191,,91.0,99.0,91.0,0.426,1.22,93.3,0.255,0.239,,,,
9,2023-04-08,718660,Walk,walk,False,600301,641778,Taylor Motter,Eric Lauer,1,0,0,db1bada7-cd65-4891-99db-aa5c6fc44ce1,641778.0,ericlauer,Lauer,Left,Eric Lauer,6.56,7.54,46.2,97.0,82.0,90.0,0.8109999999999999,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.43799999999999994,0.431,82.8,59.0,99.0,91.0,89.0,91.0,90.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.43200000000000005,0.358,0.078,0.124,0.006999999999999999,-1.01,-2.06,2.07,-6.37,-17.68,90.8,86.7,82.6,75.3,0.309,0.261,0.412,0.188,,,,,,,,,,,,
