,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSI,vSL,vCU,SI_ba,ST_ba,FF_ba,CU_ba,FC_ba,CH_ba,KC%,wKC/C,vKC,SL_ba,FS%,wFS/C,vFS,FS_ba
0,2023-04-03,718727,Single,single,False,660670,663765,Ronald Acuña Jr.,Jake Woodford,1,0,0,bc9b6160-1fcf-41cf-9855-ce033ab4c5be,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
1,2023-04-03,718727,Strikeout,strikeout,True,621566,663765,Matt Olson,Jake Woodford,0,0,1,e192abc0-14fe-4f76-8533-4a5ad767d6c6,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
2,2023-04-03,718727,Home Run,home_run,False,663586,663765,Austin Riley,Jake Woodford,1,1,0,4d1a261a-931d-4936-aa4e-9011ce3e3859,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
3,2023-04-03,718727,Lineout,field_out,True,518595,663765,Travis d'Arnaud,Jake Woodford,0,0,0,9fe415df-b35b-4745-ad94-60b022e7daa5,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
4,2023-04-03,718727,Groundout,field_out,True,680977,450203,Brendan Donovan,Charlie Morton,1,0,0,68d9afea-eb00-4761-9a81-2772f01da375,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.317,0.08,,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,,1.79,0.86,94.9,89.1,94.2,,82.3,0.474,,0.292,0.177,0.296,0.25,,,,,,,,
5,2023-04-03,718727,Single,single,False,676475,450203,Alec Burleson,Charlie Morton,1,0,0,0bb89dff-cfd6-42de-9ed2-1178b56308ec,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.317,0.08,,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,,1.79,0.86,94.9,89.1,94.2,,82.3,0.474,,0.292,0.177,0.296,0.25,,,,,,,,
6,2023-04-03,718727,Single,single,False,502671,450203,Paul Goldschmidt,Charlie Morton,0,0,1,1d0ba695-5448-4cc5-b5aa-5f4e665a5c4a,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.317,0.08,,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,,1.79,0.86,94.9,89.1,94.2,,82.3,0.474,,0.292,0.177,0.296,0.25,,,,,,,,
7,2023-04-03,718727,Forceout,force_out,True,571448,450203,Nolan Arenado,Charlie Morton,0,0,1,369cba3e-0b4d-410d-8abb-2735e0e435c3,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.317,0.08,,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,,1.79,0.86,94.9,89.1,94.2,,82.3,0.474,,0.292,0.177,0.296,0.25,,,,,,,,
8,2023-04-03,718727,Forceout,force_out,True,575929,450203,Willson Contreras,Charlie Morton,0,0,1,f4c6f761-e887-445e-bd83-51cece1f49c0,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,3.64,4.64,163.1,96.0,106.0,98.0,0.7040000000000001,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.13699999999999998,0.34299999999999997,0.379,86.0,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,89.0,92.0,87.0,0.068,0.317,0.08,,0.43200000000000005,0.10300000000000001,-1.26,0.25,-4.03,,1.79,0.86,94.9,89.1,94.2,,82.3,0.474,,0.292,0.177,0.296,0.25,,,,,,,,
9,2023-04-03,718727,Single,single,False,671739,663765,Michael Harris II,Jake Woodford,1,0,0,a371bee2-b3f2-4d9b-bb0f-3329ef4b2310,663765.0,jakewoodford,Woodford,Right,Jake Woodford,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.16699999999999998,0.429,0.11900000000000001,0.363,0.433,86.2,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.055999999999999994,0.23199999999999998,0.10099999999999999,0.040999999999999995,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,92.0,81.7,76.3,0.299,0.241,0.571,0.455,0.5,0.167,,,,,,,,
