,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vSL,vCU,FC_ba,FF_ba,SL_ba,CH_ba,CU_ba,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,ST_ba
0,2023-04-02,718740,Groundout,field_out,True,641313,677651,Tim Anderson,Luis Garcia,1,0,0,5f2668a9-052a-43b3-a642-a998b68353c2,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
1,2023-04-02,718740,Double,double,False,673357,677651,Luis Robert Jr.,Luis Garcia,1,0,0,d033d5e7-0f86-4630-837b-b0188ebf6089,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
2,2023-04-02,718740,Groundout,field_out,True,643217,677651,Andrew Benintendi,Luis Garcia,1,0,1,fabe8627-d99b-441d-9483-3e4a34202d3e,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
3,2023-04-02,718740,Strikeout,strikeout,True,650391,677651,Eloy Jiménez,Luis Garcia,0,0,0,11e72fb4-98c2-4b0c-9f7c-e884f28ad683,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
4,2023-04-02,718740,Flyout,field_out,True,665161,605182,Jeremy Peña,Mike Clevinger,0,0,0,b870a614-b06b-4d7f-a360-811fdc48c817,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
5,2023-04-02,718740,Strikeout,strikeout,True,608324,605182,Alex Bregman,Mike Clevinger,0,0,0,894ccbad-6ed1-42b1-833d-79897e65fb11,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
6,2023-04-02,718740,Walk,walk,False,663656,605182,Kyle Tucker,Mike Clevinger,1,0,0,ee02383c-2e44-4b88-b51b-0823fdc38206,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
7,2023-04-02,718740,Hit By Pitch,hit_by_pitch,False,547989,605182,José Abreu,Mike Clevinger,1,1,1,6402701e-cea1-43c8-a6dd-e29351ddf69c,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
8,2023-04-02,718740,Strikeout,strikeout,True,682073,605182,David Hensley,Mike Clevinger,0,0,0,874919c7-4ffc-405a-8e65-0a40370823fe,605182.0,mikeclevinger,Clevinger,Right,Mike Clevinger,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.26899999999999996,0.43700000000000006,86.1,80.0,96.0,95.0,80.0,96.0,97.0,101.0,103.0,100.0,113.0,97.0,104.0,90.0,100.0,100.0,0.479,0.08199999999999999,0.271,0.016,0.128,-0.21,-0.07,0.5,0.55,1.69,94.3,84.9,79.4,76.0,0.256,0.283,0.203,0.175,0.167,91.0,100.0,90.0,0.024,1.47,93.1,0.2,
9,2023-04-02,718740,Double,double,False,660162,677651,Yoán Moncada,Luis Garcia,0,0,0,37f37805-904d-418c-b68e-6a4e455a0d6e,677651.0,luisgarcia,"Garcia, L",Right,Luis Garcia,4.0,4.01,27.0,101.0,92.0,97.0,0.7070000000000001,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,84.4,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.42700000000000005,0.126,0.076,0.059000000000000004,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,78.4,76.2,0.192,0.407,0.1,0.222,0.25,,,,,,,,
