,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
0,2024-09-27,744797,Groundout,field_out,True,656941,592866,Kyle Schwarber,Trevor Williams,0,392eb3fb-255d-4a08-a37d-6e24c22e9141,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-27,744797,Flyout,field_out,True,607208,592866,Trea Turner,Trevor Williams,0,90aae454-1dbe-4f6d-82b9-63deadd7bb20,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-27,744797,Walk,walk,False,547180,592866,Bryce Harper,Trevor Williams,0,ab1c2a6b-792f-4693-8cd7-fede1e093863,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-27,744797,Pickoff 1B,pickoff_1b,True,592206,592866,Nick Castellanos,Trevor Williams,0,f272ddd5-741a-4939-beeb-cf1d64d3caea,592866.0,trevorwilliams,Williams,Right,Trevor Williams,WSN,2.03,3.13,66.2,104.0,81.0,94.0,0.796,7.97,2.43,6.89,0.41,1.17,0.279,0.41,0.148,0.311,0.382,70.0,102.0,91.0,63.0,110.0,96.0,90.0,101.0,94.0,100.0,99.0,93.0,0.121,0.364,0.347,0.168,2.46,1.1,0.78,-0.36,88.9,82.8,87.7,78.7,0.196,0.271,0.178,0.25,0.341,0.213,0.135,0.162,0.459,0.296,0.407,0.059,0.261,0.391,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-27,744797,Double,double,False,686611,624133,Dylan Crews,Ranger Suárez,0,62c3d4aa-44c8-439a-a5bf-30ee9a7aaf5a,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
5,2024-09-27,744797,Lineout,field_out,True,695578,624133,James Wood,Ranger Suárez,0,f2d76daa-8282-4d60-b2b2-a5cf74406f7f,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
6,2024-09-27,744797,Single,single,False,660766,624133,Juan Yepez,Ranger Suárez,1,12e9fc6f-d852-4d4c-af08-e5374a2e5f14,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
7,2024-09-27,744797,Groundout,field_out,True,660688,624133,Keibert Ruiz,Ranger Suárez,1,4268e89a-9641-411d-972e-b3635683a2df,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
8,2024-09-27,744797,Home Run,home_run,False,656448,624133,Stone Garrett,Ranger Suárez,1,733c589c-1822-4eb0-b1cd-98db888e0107,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
9,2024-09-27,744797,Single,single,False,671277,624133,Luis García Jr.,Ranger Suárez,0,506d8b82-75ec-4627-b07c-a3b5996ab488,624133.0,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.59,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.157,0.276,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,,,,,,,0.27,0.381,0.098,84.0,107.0,108.0,101.0,98.0,93.0,0.121,0.205,-1.68,1.02,86.5,74.4,0.189,0.342,0.335,0.302,0.642,0.162,,,,,,,,,,,,
