,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff
0,2024-09-10,744807,Lineout,field_out,True,671739,669022,Michael Harris II,MacKenzie Gore,0,c28eda75-6377-4f69-97ec-5e8e151f8c51,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.17,4.36,153.1,98.0,111.0,101.0,0.757,9.57,3.58,9.8,0.82,1.1,0.262,0.375,0.149,0.295,0.437,92.0,91.0,95.0,105.0,104.0,102.0,125.0,98.0,103.0,91.0,92.0,92.0,0.551,0.16,0.195,0.094,-0.13,-1.12,0.3,-1.64,96.1,85.9,90.7,82.9,0.287,0.424,0.222,0.233,0.316,0.326,0.265,0.439,0.32,0.298,0.511,0.516,0.444,0.667,0.263,,,,,,,,,,,,,,,,,,
1,2024-09-10,744807,Strikeout,strikeout,True,624585,669022,Jorge Soler,MacKenzie Gore,0,de24600f-15a3-480a-bed3-cd3b98eb7373,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.17,4.36,153.1,98.0,111.0,101.0,0.757,9.57,3.58,9.8,0.82,1.1,0.262,0.375,0.149,0.295,0.437,92.0,91.0,95.0,105.0,104.0,102.0,125.0,98.0,103.0,91.0,92.0,92.0,0.551,0.16,0.195,0.094,-0.13,-1.12,0.3,-1.64,96.1,85.9,90.7,82.9,0.287,0.424,0.222,0.233,0.316,0.326,0.265,0.439,0.32,0.298,0.511,0.516,0.444,0.667,0.263,,,,,,,,,,,,,,,,,,
2,2024-09-10,744807,Flyout,field_out,True,542303,669022,Marcell Ozuna,MacKenzie Gore,0,1f6d299b-9a45-4ee1-9a67-8f051829b2a6,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.17,4.36,153.1,98.0,111.0,101.0,0.757,9.57,3.58,9.8,0.82,1.1,0.262,0.375,0.149,0.295,0.437,92.0,91.0,95.0,105.0,104.0,102.0,125.0,98.0,103.0,91.0,92.0,92.0,0.551,0.16,0.195,0.094,-0.13,-1.12,0.3,-1.64,96.1,85.9,90.7,82.9,0.287,0.424,0.222,0.233,0.316,0.326,0.265,0.439,0.32,0.298,0.511,0.516,0.444,0.667,0.263,,,,,,,,,,,,,,,,,,
3,2024-09-10,744807,Groundout,field_out,True,682928,625643,CJ Abrams,Reynaldo López,0,330d0b23-c239-4100-b833-6150e2eda545,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,2.03,4.09,128.2,102.0,96.0,101.0,0.756,9.58,2.94,7.41,0.7,1.02,0.282,0.368,0.147,0.315,0.439,75.0,110.0,105.0,84.0,99.0,104.0,92.0,103.0,99.0,113.0,100.0,106.0,0.554,0.287,0.119,0.04,1.16,0.95,1.53,-3.58,95.5,86.1,84.9,77.0,0.264,0.37,0.165,0.154,0.269,0.367,0.184,0.283,0.426,0.263,0.737,0.349,,,,,,,,,,,,,,,,,,,,,
4,2024-09-10,744807,Double,double,False,695578,625643,James Wood,Reynaldo López,0,b87f107d-94fb-4a13-ba72-3a2312783820,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,2.03,4.09,128.2,102.0,96.0,101.0,0.756,9.58,2.94,7.41,0.7,1.02,0.282,0.368,0.147,0.315,0.439,75.0,110.0,105.0,84.0,99.0,104.0,92.0,103.0,99.0,113.0,100.0,106.0,0.554,0.287,0.119,0.04,1.16,0.95,1.53,-3.58,95.5,86.1,84.9,77.0,0.264,0.37,0.165,0.154,0.269,0.367,0.184,0.283,0.426,0.263,0.737,0.349,,,,,,,,,,,,,,,,,,,,,
5,2024-09-10,744807,Groundout,field_out,True,660688,625643,Keibert Ruiz,Reynaldo López,1,8f311580-f0c1-4dfe-9916-df18789e2ec9,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,2.03,4.09,128.2,102.0,96.0,101.0,0.756,9.58,2.94,7.41,0.7,1.02,0.282,0.368,0.147,0.315,0.439,75.0,110.0,105.0,84.0,99.0,104.0,92.0,103.0,99.0,113.0,100.0,106.0,0.554,0.287,0.119,0.04,1.16,0.95,1.53,-3.58,95.5,86.1,84.9,77.0,0.264,0.37,0.165,0.154,0.269,0.367,0.184,0.283,0.426,0.263,0.737,0.349,,,,,,,,,,,,,,,,,,,,,
6,2024-09-10,744807,Hit By Pitch,hit_by_pitch,False,665953,625643,Andrés Chaparro,Reynaldo López,0,1e75731c-7629-42d7-9d86-59fb250aba89,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,2.03,4.09,128.2,102.0,96.0,101.0,0.756,9.58,2.94,7.41,0.7,1.02,0.282,0.368,0.147,0.315,0.439,75.0,110.0,105.0,84.0,99.0,104.0,92.0,103.0,99.0,113.0,100.0,106.0,0.554,0.287,0.119,0.04,1.16,0.95,1.53,-3.58,95.5,86.1,84.9,77.0,0.264,0.37,0.165,0.154,0.269,0.367,0.184,0.283,0.426,0.263,0.737,0.349,,,,,,,,,,,,,,,,,,,,,
7,2024-09-10,744807,Strikeout,strikeout,True,677588,625643,José Tena,Reynaldo López,1,b6d61a1d-9857-4126-8270-fd8b4ca5c99e,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,2.03,4.09,128.2,102.0,96.0,101.0,0.756,9.58,2.94,7.41,0.7,1.02,0.282,0.368,0.147,0.315,0.439,75.0,110.0,105.0,84.0,99.0,104.0,92.0,103.0,99.0,113.0,100.0,106.0,0.554,0.287,0.119,0.04,1.16,0.95,1.53,-3.58,95.5,86.1,84.9,77.0,0.264,0.37,0.165,0.154,0.269,0.367,0.184,0.283,0.426,0.263,0.737,0.349,,,,,,,,,,,,,,,,,,,,,
8,2024-09-10,744807,Walk,walk,False,621566,669022,Matt Olson,MacKenzie Gore,0,da9f79b5-95e7-487f-b8e6-96d4d7cc3436,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.17,4.36,153.1,98.0,111.0,101.0,0.757,9.57,3.58,9.8,0.82,1.1,0.262,0.375,0.149,0.295,0.437,92.0,91.0,95.0,105.0,104.0,102.0,125.0,98.0,103.0,91.0,92.0,92.0,0.551,0.16,0.195,0.094,-0.13,-1.12,0.3,-1.64,96.1,85.9,90.7,82.9,0.287,0.424,0.222,0.233,0.316,0.326,0.265,0.439,0.32,0.298,0.511,0.516,0.444,0.667,0.263,,,,,,,,,,,,,,,,,,
9,2024-09-10,744807,Flyout,field_out,True,657656,669022,Ramón Laureano,MacKenzie Gore,0,eb9eee2d-855c-464b-9555-80ef737489d4,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.17,4.36,153.1,98.0,111.0,101.0,0.757,9.57,3.58,9.8,0.82,1.1,0.262,0.375,0.149,0.295,0.437,92.0,91.0,95.0,105.0,104.0,102.0,125.0,98.0,103.0,91.0,92.0,92.0,0.551,0.16,0.195,0.094,-0.13,-1.12,0.3,-1.64,96.1,85.9,90.7,82.9,0.287,0.424,0.222,0.233,0.316,0.326,0.265,0.439,0.32,0.298,0.511,0.516,0.444,0.667,0.263,,,,,,,,,,,,,,,,,,
