,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff
0,2024-08-07,744822,Walk,walk,False,664774,663623,LaMonte Wade Jr.,Jake Irvin,0,fd5548d2-69bb-4596-a8e4-825104a8f1f2,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
1,2024-08-07,744822,Strikeout,strikeout,True,671218,663623,Heliot Ramos,Jake Irvin,0,ef61b5cf-4fd7-4d3b-89c5-dadc4d9d971c,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
2,2024-08-07,744822,Grounded Into DP,grounded_into_double_play,True,624424,663623,Michael Conforto,Jake Irvin,1,3c1111bd-9062-46e6-9eb6-cc37a8a4956b,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
3,2024-08-07,744822,Groundout,field_out,True,682928,605483,CJ Abrams,Blake Snell,0,cae33eca-6025-4ecd-9d11-a66327706c54,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
4,2024-08-07,744822,Strikeout,strikeout,True,669743,605483,Alex Call,Blake Snell,0,e9ad9b0a-7c50-42a4-9b26-06c2e0ae173f,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
5,2024-08-07,744822,Single,single,False,660766,605483,Juan Yepez,Blake Snell,0,060a0307-9847-44b4-9385-7b0143dd6877,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
6,2024-08-07,744822,Groundout,field_out,True,623912,605483,Harold Ramírez,Blake Snell,1,c666a2de-54ec-49ba-acda-68b174901e7c,605483.0,blakesnell,Snell,Left,Blake Snell,SFG,3.76,2.79,79.0,97.0,120.0,103.0,0.648,12.08,4.1,5.92,0.68,0.97,0.281,0.393,0.18,0.236,0.352,110.0,103.0,111.0,147.0,98.0,109.0,110.0,95.0,98.0,,,,108.0,88.0,93.0,,,,,0.464,,0.104,0.273,0.16,0.78,,,-0.02,2.95,-0.94,95.8,,85.3,,88.6,81.1,0.214,0.339,0.251,0.079,0.139,0.497,,,,,,,0.341,0.477,0.421,0.185,0.296,0.426
7,2024-08-07,744822,Double,double,False,656305,663623,Matt Chapman,Jake Irvin,0,18c054ff-1180-42ca-a677-cefe750b4f2b,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
8,2024-08-07,744822,Flyout,field_out,True,672275,663623,Patrick Bailey,Jake Irvin,0,fae7c444-494f-4853-909c-b5d2a05d4325,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
9,2024-08-07,744822,Strikeout,strikeout,True,666149,663623,Tyler Fitzgerald,Jake Irvin,0,64881f8a-90dc-47f6-8d22-ea139043cc42,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,3.8,4.17,156.1,105.0,94.0,102.0,0.803,7.48,2.19,8.23,1.44,1.13,0.238,0.41,0.173,0.333,0.473,100.0,94.0,97.0,111.0,105.0,106.0,82.0,106.0,99.0,94.0,105.0,105.0,110.0,116.0,118.0,78.0,103.0,93.0,0.184,0.375,0.076,0.004,0.328,0.033,0.61,-0.21,-0.78,-14.36,0.43,0.77,94.0,89.9,88.4,93.2,85.9,81.1,0.204,0.376,0.243,0.215,0.419,0.249,0.333,0.492,0.124,0.295,0.545,0.202,0.182,0.182,0.303,,,
