,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-05-15,745015,Lineout,field_out,True,671289,592351,Tyler Freeman,Jon Gray,0,a1ef4bef-d214-43e4-a758-5664fdb98043,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-15,745015,Groundout,field_out,True,665926,592351,Andrés Giménez,Jon Gray,0,504082ed-f922-4516-8fc2-b29f35ae6143,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-15,745015,Walk,walk,False,608070,592351,José Ramírez,Jon Gray,0,af275507-767c-40aa-8d63-0f14e39521e3,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-15,745015,Lineout,field_out,True,647304,592351,Josh Naylor,Jon Gray,0,fe3b42a3-3683-4c0b-ad9e-b58783408ac0,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-15,745015,Groundout,field_out,True,543760,471911,Marcus Semien,Carlos Carrasco,0,b901e04b-03bd-4647-b9ab-b6f64492dfef,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,99.0,102.0,106.0,0.243,0.283,0.062,0.222,-2.15,-0.69,2.26,0.06,91.5,86.7,83.1,80.4,0.387,0.653,0.137,0.2,0.267,0.37,0.212,0.362,0.276,0.059,0.176,0.242,90.0,95.0,90.0,0.19,-1.29,91.1,0.295,0.541,0.123,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-05-15,745015,Walk,walk,False,608369,471911,Corey Seager,Carlos Carrasco,0,f0b3f49e-a10a-4896-8f37-39df46bddae2,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,99.0,102.0,106.0,0.243,0.283,0.062,0.222,-2.15,-0.69,2.26,0.06,91.5,86.7,83.1,80.4,0.387,0.653,0.137,0.2,0.267,0.37,0.212,0.362,0.276,0.059,0.176,0.242,90.0,95.0,90.0,0.19,-1.29,91.1,0.295,0.541,0.123,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-05-15,745015,Strikeout,strikeout,True,663993,471911,Nathaniel Lowe,Carlos Carrasco,0,5b7662b3-456e-4013-bbe7-328c652bb244,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,99.0,102.0,106.0,0.243,0.283,0.062,0.222,-2.15,-0.69,2.26,0.06,91.5,86.7,83.1,80.4,0.387,0.653,0.137,0.2,0.267,0.37,0.212,0.362,0.276,0.059,0.176,0.242,90.0,95.0,90.0,0.19,-1.29,91.1,0.295,0.541,0.123,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-15,745015,Pop Out,field_out,True,666969,471911,Adolis García,Carlos Carrasco,0,71773c5e-3ed5-46ad-a018-4958853b5a3c,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,106.0,102.0,105.0,63.0,94.0,85.0,99.0,102.0,106.0,0.243,0.283,0.062,0.222,-2.15,-0.69,2.26,0.06,91.5,86.7,83.1,80.4,0.387,0.653,0.137,0.2,0.267,0.37,0.212,0.362,0.276,0.059,0.176,0.242,90.0,95.0,90.0,0.19,-1.29,91.1,0.295,0.541,0.123,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-15,745015,Groundout,field_out,True,686823,592351,Will Brennan,Jon Gray,0,26cc46b1-abfb-48b2-b7c9-38a98956b87a,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-15,745015,Strikeout,strikeout,True,700932,592351,Kyle Manzardo,Jon Gray,0,3f685ded-26d7-486d-8e05-8f25d83d3bb3,592351.0,jongray,"Gray, Jn",Right,Jon Gray,TEX,3.96,4.83,86.1,103.0,83.0,97.0,0.769,7.61,2.4,9.49,0.83,1.0,0.239,0.386,0.136,0.382,0.447,74.0,97.0,92.0,98.0,96.0,103.0,72.0,103.0,91.0,94.0,105.0,104.0,0.447,0.438,0.045,0.069,-0.49,0.93,-1.3,-2.38,94.8,88.6,88.7,78.9,0.303,0.419,0.146,0.218,0.327,0.338,0.308,0.654,0.235,0.5,0.5,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
