,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-16,745054,Field Error,field_error,False,682998,686752,Corbin Carroll,Ryan Pepiot,0,983dbf54-84f5-41d0-a5c1-aa6c84de157e,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
1,2024-08-16,745054,Single,single,False,664983,686752,Jake McCarthy,Ryan Pepiot,1,aca5e54b-e9e9-4837-8722-f626e54717b2,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
2,2024-08-16,745054,Single,single,False,592626,686752,Joc Pederson,Ryan Pepiot,1,cf662a43-d8eb-4819-b4c7-c378941b2e6b,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
3,2024-08-16,745054,Grounded Into DP,grounded_into_double_play,True,605137,686752,Josh Bell,Ryan Pepiot,1,578c29a4-1e7c-4eaf-a9b6-dd1fd64e822a,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
4,2024-08-16,745054,Single,single,False,666971,686752,Lourdes Gurriel Jr.,Ryan Pepiot,1,62f0a837-5d8a-4562-b986-1c01122c4060,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
5,2024-08-16,745054,Groundout,field_out,True,680728,686752,Adrian Del Castillo,Ryan Pepiot,0,6e308b40-c37e-4bb1-a6e8-b6bc7f429677,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
6,2024-08-16,745054,Flyout,field_out,True,650490,669194,Yandy Díaz,Ryne Nelson,0,5e398c88-5aa8-4b1d-ab58-e7d1d08f80c2,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
7,2024-08-16,745054,Strikeout,strikeout,True,664040,669194,Brandon Lowe,Ryne Nelson,0,9648003a-1b48-4bda-b1d2-71375c3ee9ad,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
8,2024-08-16,745054,Strikeout,strikeout,True,666624,669194,Christopher Morel,Ryne Nelson,0,1a3289c5-94f7-4819-a811-2c3f88caa51f,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.322,0.627,0.195,0.245,0.367,0.153,0.307,0.491,0.143,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
9,2024-08-16,745054,Strikeout,strikeout,True,553993,686752,Eugenio Suárez,Ryan Pepiot,0,19a9e055-74d3-48d7-862c-7aa00dfb361c,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.61,3.73,104.2,98.0,117.0,104.0,0.733,9.46,2.92,6.79,1.2,0.82,0.277,0.398,0.175,0.303,0.417,120.0,105.0,116.0,136.0,71.0,79.0,115.0,97.0,101.0,120.0,96.0,106.0,101.0,102.0,98.0,0.496,0.042,0.198,0.033,0.231,1.5,-3.59,1.03,-1.59,-0.75,94.9,91.7,85.9,89.0,80.6,0.16,0.286,0.318,0.236,0.409,0.296,0.24,0.387,0.297,0.375,0.875,0.059,0.167,0.167,0.545,,,,,,,,,,,,,,,,,,,,,
