,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-07-21,745230,Pop Out,field_out,True,514888,693433,Jose Altuve,Bryan Woo,0,03fa81d3-d5d5-4a7b-9015-dbb20799a486,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.55,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,0.268,0.521,0.14,0.072,0.69,3.0,1.72,3.52,94.7,89.5,94.5,84.1,0.253,0.373,0.21,0.188,0.25,0.132,0.1,0.2,0.13,0.222,0.222,0.286,,,,,,,,,,,,,,,,,,
1,2024-07-21,745230,Groundout,field_out,True,608324,693433,Alex Bregman,Bryan Woo,0,a8d9330b-dab8-4195-ad8a-df4446a53281,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.55,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,0.268,0.521,0.14,0.072,0.69,3.0,1.72,3.52,94.7,89.5,94.5,84.1,0.253,0.373,0.21,0.188,0.25,0.132,0.1,0.2,0.13,0.222,0.222,0.286,,,,,,,,,,,,,,,,,,
2,2024-07-21,745230,Single,single,False,670541,693433,Yordan Alvarez,Bryan Woo,0,5bdc3422-b88c-4870-a333-9d4c697cef01,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.55,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,0.268,0.521,0.14,0.072,0.69,3.0,1.72,3.52,94.7,89.5,94.5,84.1,0.253,0.373,0.21,0.188,0.25,0.132,0.1,0.2,0.13,0.222,0.222,0.286,,,,,,,,,,,,,,,,,,
3,2024-07-21,745230,Groundout,field_out,True,673237,693433,Yainer Diaz,Bryan Woo,0,0ccae35c-4235-45e0-aa18-b30adb614316,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.55,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,0.268,0.521,0.14,0.072,0.69,3.0,1.72,3.52,94.7,89.5,94.5,84.1,0.253,0.373,0.21,0.188,0.25,0.132,0.1,0.2,0.13,0.222,0.222,0.286,,,,,,,,,,,,,,,,,,
4,2024-07-21,745230,Flyout,field_out,True,641487,669854,J.P. Crawford,Ronel Blanco,0,7c0a5f7f-ec66-4e39-8819-895d72de881d,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,94.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,0.368,0.323,0.255,0.02,,2.64,0.1,93.4,85.1,,86.3,0.179,0.439,0.188,,,,0.179,0.366,0.353,0.164,0.224,0.31,73.0,98.0,101.0,0.054,2.81,79.1,0.0,0.0,0.476,,,,,,,,,
5,2024-07-21,745230,Double,double,False,645302,669854,Victor Robles,Ronel Blanco,0,d7354947-72ea-46f4-b6af-cec612274fe4,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,94.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,0.368,0.323,0.255,0.02,,2.64,0.1,93.4,85.1,,86.3,0.179,0.439,0.188,,,,0.179,0.366,0.353,0.164,0.224,0.31,73.0,98.0,101.0,0.054,2.81,79.1,0.0,0.0,0.476,,,,,,,,,
6,2024-07-21,745230,Lineout,field_out,True,677594,669854,Julio Rodríguez,Ronel Blanco,0,ddba300a-6b69-4538-8c2b-4bc416c71e7b,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,94.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,0.368,0.323,0.255,0.02,,2.64,0.1,93.4,85.1,,86.3,0.179,0.439,0.188,,,,0.179,0.366,0.353,0.164,0.224,0.31,73.0,98.0,101.0,0.054,2.81,79.1,0.0,0.0,0.476,,,,,,,,,
7,2024-07-21,745230,Lineout,field_out,True,663728,669854,Cal Raleigh,Ronel Blanco,0,89dd898e-fb7a-4698-a3ed-028e3eff3fa4,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.56,3.56,109.0,99.0,94.0,97.0,0.732,8.26,3.47,5.28,1.32,0.89,0.215,0.461,0.18,0.313,0.405,124.0,103.0,106.0,81.0,94.0,87.0,,,,84.0,103.0,100.0,,0.368,0.323,0.255,0.02,,2.64,0.1,93.4,85.1,,86.3,0.179,0.439,0.188,,,,0.179,0.366,0.353,0.164,0.224,0.31,73.0,98.0,101.0,0.054,2.81,79.1,0.0,0.0,0.476,,,,,,,,,
8,2024-07-21,745230,Flyout,field_out,True,572138,693433,Jon Singleton,Bryan Woo,0,7dffc49e-c80d-4058-a1e0-d0848243677e,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.55,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,0.268,0.521,0.14,0.072,0.69,3.0,1.72,3.52,94.7,89.5,94.5,84.1,0.253,0.373,0.21,0.188,0.25,0.132,0.1,0.2,0.13,0.222,0.222,0.286,,,,,,,,,,,,,,,,,,
9,2024-07-21,745230,Groundout,field_out,True,665161,693433,Jeremy Peña,Bryan Woo,0,ad7f5320-4fae-4a7f-936a-f8c0b5d4e75b,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.45,2.55,44.0,108.0,104.0,107.0,0.82,5.93,1.02,6.95,0.61,0.91,0.321,0.343,0.119,0.239,0.525,88.0,102.0,96.0,96.0,109.0,107.0,121.0,111.0,110.0,109.0,102.0,105.0,0.268,0.521,0.14,0.072,0.69,3.0,1.72,3.52,94.7,89.5,94.5,84.1,0.253,0.373,0.21,0.188,0.25,0.132,0.1,0.2,0.13,0.222,0.222,0.286,,,,,,,,,,,,,,,,,,
