,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-26,745347,Flyout,field_out,True,457705,690986,Andrew McCutchen,Kyle Harrison,0,7cb5d926-0b96-4ec5-bc8e-3dbbb85e7527,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-26,745347,Lineout,field_out,True,668804,690986,Bryan Reynolds,Kyle Harrison,0,97f8f5f6-71da-4b96-a25e-96bf9eeefaa5,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-26,745347,Single,single,False,663647,690986,Ke'Bryan Hayes,Kyle Harrison,0,7b0c076a-1579-43e8-9162-dc63bf6cad72,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-26,745347,Double,double,False,656582,690986,Connor Joe,Kyle Harrison,1,e2f597b8-d81a-4574-903b-99c592e98c77,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-26,745347,Groundout,field_out,True,658668,690986,Edward Olivares,Kyle Harrison,0,64a33de9-d68f-4997-8b13-09ac8f8e1eb7,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-04-26,745347,Groundout,field_out,True,808982,682990,Jung Hoo Lee,Quinn Priester,0,703812fd-3757-4a95-a87c-9e62476a5c16,682990.0,quinnpriester,Priester,Right,Quinn Priester,PIT,4.43,4.16,40.2,101.0,91.0,97.0,0.778,6.42,2.66,10.4,1.55,2.55,0.157,0.457,0.15,0.336,0.431,83.0,89.0,86.0,95.0,98.0,100.0,55.0,106.0,92.0,106.0,103.0,105.0,0.149,0.253,0.152,0.116,-1.75,-1.73,-1.03,0.79,93.2,88.2,87.2,80.5,0.4,0.4,0.222,0.136,0.182,0.242,,,,0.261,0.478,0.276,99.0,103.0,97.0,0.33,0.45,93.0,0.284,0.493,0.142,0.357,0.5,0.463,,,,,,,,,,,,,,,,,,
6,2024-04-26,745347,Groundout,field_out,True,664774,682990,LaMonte Wade Jr.,Quinn Priester,0,93d16c29-9393-4691-b709-55a61d128d13,682990.0,quinnpriester,Priester,Right,Quinn Priester,PIT,4.43,4.16,40.2,101.0,91.0,97.0,0.778,6.42,2.66,10.4,1.55,2.55,0.157,0.457,0.15,0.336,0.431,83.0,89.0,86.0,95.0,98.0,100.0,55.0,106.0,92.0,106.0,103.0,105.0,0.149,0.253,0.152,0.116,-1.75,-1.73,-1.03,0.79,93.2,88.2,87.2,80.5,0.4,0.4,0.222,0.136,0.182,0.242,,,,0.261,0.478,0.276,99.0,103.0,97.0,0.33,0.45,93.0,0.284,0.493,0.142,0.357,0.5,0.463,,,,,,,,,,,,,,,,,,
7,2024-04-26,745347,Strikeout,strikeout,True,624585,682990,Jorge Soler,Quinn Priester,0,cabe03bd-92ce-4489-99ee-e7ca28767d8e,682990.0,quinnpriester,Priester,Right,Quinn Priester,PIT,4.43,4.16,40.2,101.0,91.0,97.0,0.778,6.42,2.66,10.4,1.55,2.55,0.157,0.457,0.15,0.336,0.431,83.0,89.0,86.0,95.0,98.0,100.0,55.0,106.0,92.0,106.0,103.0,105.0,0.149,0.253,0.152,0.116,-1.75,-1.73,-1.03,0.79,93.2,88.2,87.2,80.5,0.4,0.4,0.222,0.136,0.182,0.242,,,,0.261,0.478,0.276,99.0,103.0,97.0,0.33,0.45,93.0,0.284,0.493,0.142,0.357,0.5,0.463,,,,,,,,,,,,,,,,,,
8,2024-04-26,745347,Double,double,False,669707,690986,Jared Triolo,Kyle Harrison,0,81c4600f-fcb3-41cd-a7de-ae18bc30d324,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-26,745347,Strikeout,strikeout,True,665833,690986,Oneil Cruz,Kyle Harrison,0,5b5b51e7-94b7-4532-a907-f7c4015822c8,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,0.61,0.004,0.186,0.2,0.69,-11.76,-0.51,-2.37,92.7,85.4,88.2,81.3,0.237,0.377,0.212,0.306,0.471,0.224,0.295,0.477,0.302,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
