,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-05-01,745423,Groundout,field_out,True,666181,605397,Will Benson,Joe Musgrove,0,7e939d8e-f99f-452f-8073-12bea81ca5a1,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,129.0,97.0,107.0,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,0.051,0.242,0.189,0.221,0.211,0.086,-3.58,-0.26,1.06,0.31,-0.49,-3.04,92.4,89.9,86.8,92.1,81.6,81.2,0.349,0.698,0.208,0.405,0.541,0.247,0.237,0.421,0.342,0.211,0.579,0.333,0.35,0.65,0.389,0.364,0.364,0.136,,,,,,,,,
1,2024-05-01,745423,Strikeout,strikeout,True,682829,605397,Elly De La Cruz,Joe Musgrove,0,5baab4cf-926b-400b-a9d8-419daf12422c,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,129.0,97.0,107.0,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,0.051,0.242,0.189,0.221,0.211,0.086,-3.58,-0.26,1.06,0.31,-0.49,-3.04,92.4,89.9,86.8,92.1,81.6,81.2,0.349,0.698,0.208,0.405,0.541,0.247,0.237,0.421,0.342,0.211,0.579,0.333,0.35,0.65,0.389,0.364,0.364,0.136,,,,,,,,,
2,2024-05-01,745423,Home Run,home_run,False,668715,605397,Spencer Steer,Joe Musgrove,0,622d5c42-a7ba-407f-92ca-f04f68ad22a9,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,129.0,97.0,107.0,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,0.051,0.242,0.189,0.221,0.211,0.086,-3.58,-0.26,1.06,0.31,-0.49,-3.04,92.4,89.9,86.8,92.1,81.6,81.2,0.349,0.698,0.208,0.405,0.541,0.247,0.237,0.421,0.342,0.211,0.579,0.333,0.35,0.65,0.389,0.364,0.364,0.136,,,,,,,,,
3,2024-05-01,745423,Strikeout,strikeout,True,663697,605397,Jonathan India,Joe Musgrove,0,a47c52e4-3452-4886-a386-a6b804cdd84d,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,129.0,97.0,107.0,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,0.051,0.242,0.189,0.221,0.211,0.086,-3.58,-0.26,1.06,0.31,-0.49,-3.04,92.4,89.9,86.8,92.1,81.6,81.2,0.349,0.698,0.208,0.405,0.541,0.247,0.237,0.421,0.342,0.211,0.579,0.333,0.35,0.65,0.389,0.364,0.364,0.136,,,,,,,,,
4,2024-05-01,745423,Single,single,False,595777,668933,Jurickson Profar,Graham Ashcraft,0,3a99cb67-d48a-4db1-a758-063b0a7027be,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,,,,,,,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,,0.479,0.319,,0.03,,-1.58,-2.75,1.37,,-3.79,,95.6,90.5,94.8,88.4,,,,,0.329,0.52,0.161,,,,0.145,0.217,0.367,0.333,0.333,0.2,0.333,0.5,0.119,,,,,,,,,
5,2024-05-01,745423,Strikeout,strikeout,True,665487,668933,Fernando Tatis Jr.,Graham Ashcraft,0,33bb982e-a771-4914-b9af-70f460f5c487,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,,,,,,,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,,0.479,0.319,,0.03,,-1.58,-2.75,1.37,,-3.79,,95.6,90.5,94.8,88.4,,,,,0.329,0.52,0.161,,,,0.145,0.217,0.367,0.333,0.333,0.2,0.333,0.5,0.119,,,,,,,,,
6,2024-05-01,745423,Walk,walk,False,630105,668933,Jake Cronenworth,Graham Ashcraft,1,9a3c7a75-6d09-451c-8c83-a78425d8dce8,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,,,,,,,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,,0.479,0.319,,0.03,,-1.58,-2.75,1.37,,-3.79,,95.6,90.5,94.8,88.4,,,,,0.329,0.52,0.161,,,,0.145,0.217,0.367,0.333,0.333,0.2,0.333,0.5,0.119,,,,,,,,,
7,2024-05-01,745423,Flyout,field_out,True,592518,668933,Manny Machado,Graham Ashcraft,0,c47e650b-4a0b-47f7-bf91-7e49032f97f6,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,,,,,,,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,,0.479,0.319,,0.03,,-1.58,-2.75,1.37,,-3.79,,95.6,90.5,94.8,88.4,,,,,0.329,0.52,0.161,,,,0.145,0.217,0.367,0.333,0.333,0.2,0.333,0.5,0.119,,,,,,,,,
8,2024-05-01,745423,Strikeout,strikeout,True,688363,668933,Graham Pauley,Graham Ashcraft,0,15f25caa-ce16-4224-876a-42baf70711f7,668933.0,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,5.24,5.02,77.1,98.0,113.0,96.0,0.795,6.63,3.14,10.36,1.28,1.54,0.273,0.369,0.154,0.277,0.43,87.0,78.0,79.0,,,,,,,71.0,100.0,84.0,119.0,98.0,109.0,125.0,99.0,92.0,0.172,,0.479,0.319,,0.03,,-1.58,-2.75,1.37,,-3.79,,95.6,90.5,94.8,88.4,,,,,0.329,0.52,0.161,,,,0.145,0.217,0.367,0.333,0.333,0.2,0.333,0.5,0.119,,,,,,,,,
9,2024-05-01,745423,Groundout,field_out,True,605361,605397,Nick Martini,Joe Musgrove,0,1585b312-c00c-4724-b8f1-587f745a10ac,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,5.66,5.95,49.1,101.0,116.0,102.0,0.733,8.03,2.74,10.58,1.82,1.17,0.176,0.453,0.101,0.338,0.425,129.0,97.0,107.0,142.0,106.0,111.0,90.0,98.0,93.0,59.0,110.0,96.0,148.0,91.0,101.0,96.0,104.0,100.0,0.051,0.242,0.189,0.221,0.211,0.086,-3.58,-0.26,1.06,0.31,-0.49,-3.04,92.4,89.9,86.8,92.1,81.6,81.2,0.349,0.698,0.208,0.405,0.541,0.247,0.237,0.421,0.342,0.211,0.579,0.333,0.35,0.65,0.389,0.364,0.364,0.136,,,,,,,,,
