,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FS%,wFS/C,vFS
0,2024-08-26,745458,Single,single,False,664023,656605,Ian Happ,Mitch Keller,0,6934850c-47ca-42d0-a773-124ee541a985,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
1,2024-08-26,745458,Flyout,field_out,True,683737,656605,Michael Busch,Mitch Keller,0,c553fb5c-a28a-4bcb-b88a-fc27fd99ae87,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
2,2024-08-26,745458,Strikeout,strikeout,True,673548,656605,Seiya Suzuki,Mitch Keller,1,b39330a9-e2a3-48a6-bafe-cfa02ac466e4,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
3,2024-08-26,745458,Flyout,field_out,True,641355,656605,Cody Bellinger,Mitch Keller,0,75895c23-5626-4ddd-807f-7ed4e3269de6,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
4,2024-08-26,745458,Groundout,field_out,True,643396,592791,Isiah Kiner-Falefa,Jameson Taillon,0,4c494c7b-6210-4e16-8e6c-649efbc5f1c3,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
5,2024-08-26,745458,Flyout,field_out,True,668804,592791,Bryan Reynolds,Jameson Taillon,0,891246cc-3522-4fdc-8d7c-6f2815a4830c,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
6,2024-08-26,745458,Strikeout,strikeout,True,665833,592791,Oneil Cruz,Jameson Taillon,0,1e73f220-a0d8-4ef2-9868-5252c185ee9f,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
7,2024-08-26,745458,Lineout,field_out,True,670623,656605,Isaac Paredes,Mitch Keller,0,63b43f2d-3ea1-4ba8-a4a3-2e4a2c53b325,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
8,2024-08-26,745458,Double,double,False,663538,656605,Nico Hoerner,Mitch Keller,0,8df22e83-4f52-4bbb-be8f-8fc6d2ea3c9c,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
9,2024-08-26,745458,Strikeout,strikeout,True,621020,656605,Dansby Swanson,Mitch Keller,1,dcd7d093-d6a0-4d7f-b60b-8e183bbcdf0b,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
10,2024-08-26,745458,Single,single,False,691718,656605,Pete Crow-Armstrong,Mitch Keller,1,ab535fff-8d12-4e11-a392-8022d161c207,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
11,2024-08-26,745458,Single,single,False,665804,656605,Miguel Amaya,Mitch Keller,1,e10d436b-4f58-4639-80e7-2088900008c5,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
12,2024-08-26,745458,Double,double,False,664023,656605,Ian Happ,Mitch Keller,1,26c1f5f2-45ec-4a77-a75e-20f0776ddafe,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
13,2024-08-26,745458,Groundout,field_out,True,683737,656605,Michael Busch,Mitch Keller,0,5d0a7ecb-6666-4c0b-b616-0616477d21a0,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,104.0,105.0,101.0,112.0,98.0,105.0,88.0,103.0,96.0,83.0,101.0,94.0,132.0,104.0,113.0,96.0,99.0,98.0,0.224,0.313,0.123,0.241,0.093,0.007,0.37,-0.11,0.37,-0.54,-0.46,-11.28,94.5,90.5,90.2,93.6,85.0,78.4,0.25,0.388,0.236,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.302,0.54,0.233,0.265,0.529,0.286,0.75,1.25,0.0,,,
14,2024-08-26,745458,Flyout,field_out,True,693304,592791,Nick Gonzales,Jameson Taillon,0,f329b06b-fbc3-4cf6-a70b-fb6cb2e89191,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
15,2024-08-26,745458,Double,double,False,642133,592791,Rowdy Tellez,Jameson Taillon,0,f6baada4-b1f5-4e15-af22-eec8dc57f946,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
16,2024-08-26,745458,Flyout,field_out,True,650559,592791,Bryan De La Cruz,Jameson Taillon,0,2aaf017b-8fe5-4beb-af6c-5bc025493e21,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.85,4.0,133.1,108.0,86.0,103.0,0.82,7.02,1.76,9.05,1.35,0.94,0.221,0.437,0.14,0.33,0.462,77.0,100.0,99.0,106.0,112.0,113.0,67.0,106.0,96.0,74.0,102.0,91.0,103.0,117.0,121.0,94.0,104.0,99.0,0.093,0.304,0.239,0.162,0.158,0.043,-0.42,2.08,0.74,0.75,-1.53,-4.08,92.4,86.6,86.1,92.7,80.6,79.7,0.292,0.518,0.139,0.268,0.39,0.093,0.186,0.314,0.34,0.266,0.323,0.186,,,,0.253,0.462,0.229,0.32,0.68,0.116,,,
