,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC
0,2024-06-18,745650,Strikeout,strikeout,True,672580,663687,Maikel Garcia,Hogan Harris,0,fd1630dc-caa6-4d27-a7bf-26471a6f00b1,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-18,745650,Flyout,field_out,True,677951,663687,Bobby Witt Jr.,Hogan Harris,0,fcecbf4b-8032-4339-a740-3c4891f0a810,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-18,745650,Groundout,field_out,True,686469,663687,Vinnie Pasquantino,Hogan Harris,0,e1b94b73-0afc-4593-a84e-474b231018cd,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-18,745650,Walk,walk,False,680474,679525,Max Schuemann,Alec Marsh,0,2e5573a3-b77a-4b74-9d94-ced58b6a4717,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-18,745650,Double,double,False,668709,679525,JJ Bleday,Alec Marsh,1,80d3a0dd-9a3d-46ef-883f-dbbe8f6dc0f9,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-06-18,745650,Lineout,field_out,True,609280,679525,Miguel Andujar,Alec Marsh,1,4bb4618b-087b-4e5b-9afe-48a6c3b7d018,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-06-18,745650,Sac Fly,sac_fly,True,667670,679525,Brent Rooker,Alec Marsh,1,a9a26523-3dae-428c-9761-bf47927a7daf,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-06-18,745650,Strikeout,strikeout,True,691016,679525,Tyler Soderstrom,Alec Marsh,0,72fed53a-0619-4bcd-a5c7-08b43a09364d,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,121.0,98.0,106.0,0.376,0.221,0.156,0.108,0.97,0.02,-1.25,1.03,94.2,86.5,86.4,82.9,0.191,0.327,0.231,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,99.0,98.0,95.0,0.139,-2.75,93.5,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-06-18,745650,Strikeout,strikeout,True,521692,663687,Salvador Perez,Hogan Harris,0,e70953e5-e7ab-4cfc-912d-614066636d52,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-18,745650,Flyout,field_out,True,676369,663687,Nelson Velázquez,Hogan Harris,0,5a5329bf-ed12-4ed4-8944-663bb353aa16,663687.0,hoganharris,"Harris, H",Left,Hogan Harris,OAK,3.4,5.8,47.2,96.0,86.0,94.0,0.817,6.61,4.34,8.69,1.13,0.83,0.24,0.397,0.123,0.356,0.458,118.0,93.0,99.0,57.0,98.0,101.0,85.0,97.0,91.0,90.0,98.0,100.0,0.583,0.116,0.146,0.156,-0.49,-2.85,-0.4,0.81,93.2,81.0,79.3,72.7,0.283,0.485,0.173,0.25,0.536,0.222,0.259,0.296,0.304,0.154,0.192,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
