,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
0,2024-04-20,745760,Groundout,field_out,True,650490,641482,Yandy Díaz,Nestor Cortes,0,b5114ed4-94a8-4831-a3be-be407a894c7e,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
1,2024-04-20,745760,Strikeout,strikeout,True,668227,641482,Randy Arozarena,Nestor Cortes,0,d8a2b195-31ff-4d18-af5f-58bf06fb454d,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
2,2024-04-20,745760,Flyout,field_out,True,623912,641482,Harold Ramírez,Nestor Cortes,0,eebcbbdd-5f65-4007-a4f6-2e350fd3f97b,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
3,2024-04-20,745760,Groundout,field_out,True,683011,621107,Anthony Volpe,Zach Eflin,0,99de1545-2541-422e-9563-05adbda8efd0,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
4,2024-04-20,745760,Single,single,False,665742,621107,Juan Soto,Zach Eflin,0,7005ddc5-6692-4606-93bd-5a5f6807b583,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
5,2024-04-20,745760,Strikeout,strikeout,True,592450,621107,Aaron Judge,Zach Eflin,0,be693d04-a58a-4c0d-aaec-c9b08835c7a3,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
6,2024-04-20,745760,Single,single,False,519203,621107,Anthony Rizzo,Zach Eflin,1,c608895f-ced9-4f0f-b422-3133b2ea3029,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
7,2024-04-20,745760,Groundout,field_out,True,657077,621107,Alex Verdugo,Zach Eflin,0,cadbfb9d-1739-4bc9-9670-b1f370dbff7b,621107.0,zacheflin,Eflin,Right,Zach Eflin,TBR,4.14,3.39,104.1,108.0,94.0,104.0,0.816,7.16,1.12,9.4,1.12,1.16,0.215,0.44,0.153,0.31,0.463,84.0,107.0,111.0,63.0,105.0,96.0,91.0,109.0,104.0,121.0,107.0,112.0,86.0,103.0,97.0,0.31,0.095,0.265,0.101,0.032,-1.29,0.53,0.08,2.39,-2.78,92.6,87.8,85.0,91.7,80.0,0.25,0.425,0.278,0.253,0.424,0.167,0.167,0.361,0.25,0.278,0.5,0.13,0.269,0.403,0.134,111.0,116.0,112.0,0.197,-1.41,79.2,0.297,0.451,0.293,,,,,,,,,
8,2024-04-20,745760,Groundout,field_out,True,670623,641482,Isaac Paredes,Nestor Cortes,0,c2c4cd1a-1a64-41da-810d-1ae77516e04e,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
9,2024-04-20,745760,Strikeout,strikeout,True,642708,641482,Amed Rosario,Nestor Cortes,0,94b9e17e-bbdb-463a-b4b1-2ea85349755f,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,95.0,104.0,101.0,91.0,119.0,117.0,91.0,103.0,103.0,109.0,100.0,103.0,0.009,0.455,0.298,0.163,0.075,-0.19,1.48,2.16,0.14,-2.51,91.9,87.2,83.2,89.9,78.1,0.247,0.489,0.219,0.236,0.333,0.264,0.3,0.4,0.182,0.255,0.489,0.338,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,
