,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-09-02,745779,Pop Out,field_out,True,680776,622663,Jarren Duran,Luis Severino,0,8d480a63-bed0-4dc5-8135-f35c52f2bb18,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
1,2024-09-02,745779,Lineout,field_out,True,677800,622663,Wilyer Abreu,Luis Severino,0,0603582b-2db0-4692-aa19-2d1a013f2dfe,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
2,2024-09-02,745779,Strikeout,strikeout,True,641933,622663,Tyler O'Neill,Luis Severino,0,3067bccb-fe78-4edc-8558-a1becedf7784,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
3,2024-09-02,745779,Hit By Pitch,hit_by_pitch,False,596019,678394,Francisco Lindor,Brayan Bello,0,9b5e94d4-9f4c-4b99-ae93-52da4f994c7d,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
4,2024-09-02,745779,Flyout,field_out,True,607043,678394,Brandon Nimmo,Brayan Bello,0,4ffbad91-6bc3-454c-a0c6-af7266571cbd,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
5,2024-09-02,745779,Groundout,field_out,True,624413,678394,Pete Alonso,Brayan Bello,1,a82aa05a-fae5-4016-924f-f6327138332d,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
6,2024-09-02,745779,Strikeout,strikeout,True,608385,678394,Jesse Winker,Brayan Bello,0,6ed657e3-2651-4246-ad0b-d045792cafd4,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
7,2024-09-02,745779,Lineout,field_out,True,646240,622663,Rafael Devers,Luis Severino,0,592c0ca6-715d-49ed-9942-2628ca55588c,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
8,2024-09-02,745779,Single,single,False,671213,622663,Triston Casas,Luis Severino,0,4420e74b-4abf-40e0-9027-09d5a7c8d931,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
9,2024-09-02,745779,Walk,walk,False,807799,622663,Masataka Yoshida,Luis Severino,1,ee8b51a2-0168-4608-96bd-dfe3e0741236,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
