,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
0,2024-05-30,745898,Walk,walk,False,672580,663978,Maikel Garcia,Chris Paddack,0,bfbf214a-5a1d-4003-8c69-bb41a2ba468e,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-30,745898,Flyout,field_out,True,677951,663978,Bobby Witt Jr.,Chris Paddack,0,77091c0f-e452-487c-b434-ab6ede15fbba,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-30,745898,Home Run,home_run,False,686469,663978,Vinnie Pasquantino,Chris Paddack,1,e1c9599c-5452-440e-ac67-416a71957239,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-30,745898,Strikeout,strikeout,True,521692,663978,Salvador Perez,Chris Paddack,0,9537aed2-330c-4ea8-b637-d1a2c9029b2f,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-30,745898,Strikeout,strikeout,True,676369,663978,Nelson Velázquez,Chris Paddack,0,d35f734f-6767-43e7-9200-3fac94b8a7b8,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-05-30,745898,Single,single,False,622534,663738,Manuel Margot,Daniel Lynch IV,0,9b6e6bbd-3ef0-4f8b-9810-15c27a5a5824,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.381,0.524,0.256,0.077,0.308,0.433,0.333,0.667,0.286,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-05-30,745898,Groundout,field_out,True,621043,663738,Carlos Correa,Daniel Lynch IV,1,e0341fe4-2c65-4b3b-922c-a6de81c0cd6c,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.381,0.524,0.256,0.077,0.308,0.433,0.333,0.667,0.286,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-05-30,745898,Groundout,field_out,True,680777,663738,Ryan Jeffers,Daniel Lynch IV,0,3692f3de-b690-4ac0-b89e-00aea04a6c5f,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.381,0.524,0.256,0.077,0.308,0.433,0.333,0.667,0.286,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-30,745898,Flyout,field_out,True,669304,663738,Jose Miranda,Daniel Lynch IV,0,41fe9bb3-35fe-4852-b280-bc3e6c884282,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.381,0.524,0.256,0.077,0.308,0.433,0.333,0.667,0.286,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-30,745898,Groundout,field_out,True,679845,663978,Nick Loftin,Chris Paddack,0,86d5f14b-1e55-46c7-8732-62d45f6a215c,663978.0,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.73,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,71.0,97.0,96.0,0.429,0.177,0.136,0.259,0.61,-0.22,-1.7,-1.54,93.3,82.9,85.9,78.2,0.277,0.4,0.243,0.283,0.519,0.248,0.264,0.434,0.254,0.326,0.435,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
