,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-21,745936,Flyout,field_out,True,682998,650644,Corbin Carroll,Aaron Civale,0,50a93df4-d122-48a4-b77e-d83cef13c71e,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
1,2024-09-21,745936,Single,single,False,606466,650644,Ketel Marte,Aaron Civale,0,601aff22-b4f2-4eeb-9a97-f558762732c4,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
2,2024-09-21,745936,Home Run,home_run,False,592626,650644,Joc Pederson,Aaron Civale,1,444b2894-8c71-4e16-9a98-b57316bf4d1e,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
3,2024-09-21,745936,Pop Out,field_out,True,572233,650644,Christian Walker,Aaron Civale,0,d0ac2ff1-0e89-48b5-b2b2-6c87a9df7a91,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
4,2024-09-21,745936,Strikeout,strikeout,True,656976,650644,Pavin Smith,Aaron Civale,0,48f4cb72-0ca1-4cd9-83b2-9320bd63703a,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
5,2024-09-21,745936,Lineout,field_out,True,668930,518876,Brice Turang,Merrill Kelly,0,c3b3a5e3-2649-4a3d-987d-4237af1a48ee,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
6,2024-09-21,745936,Strikeout,strikeout,True,656555,518876,Rhys Hoskins,Merrill Kelly,0,d1888383-72f5-4a5f-8f33-d5f1e59e6580,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
7,2024-09-21,745936,Flyout,field_out,True,669003,518876,Garrett Mitchell,Merrill Kelly,0,ff03ad1d-58c7-4bc3-a631-83ebe8b1cad8,518876.0,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.71,5.11,68.0,104.0,99.0,100.0,0.803,7.28,2.38,7.81,1.46,1.14,0.217,0.465,0.136,0.323,0.373,119.0,108.0,107.0,72.0,105.0,97.0,84.0,97.0,90.0,117.0,111.0,111.0,95.0,101.0,96.0,,,,0.147,0.196,0.257,,0.116,0.08,-0.02,0.16,,-3.45,-0.64,-1.54,91.9,90.3,,92.3,85.5,82.3,0.275,0.49,0.11,0.39,0.683,0.097,,,,0.211,0.526,0.216,0.217,0.478,0.191,,,,0.281,0.469,0.413,121.0,108.0,106.0,0.204,4.72,88.4,0.095,0.095,0.296,,,,,,
8,2024-09-21,745936,Groundout,field_out,True,664983,650644,Jake McCarthy,Aaron Civale,0,793dabc9-4b0e-4389-a10b-441174b14268,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
9,2024-09-21,745936,Strikeout,strikeout,True,553993,650644,Eugenio Suárez,Aaron Civale,0,e1d246d2-a8dd-4fd8-92c3-54a5079f91a1,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.53,4.09,155.0,100.0,96.0,100.0,0.8,8.36,2.96,9.0,1.68,0.8,0.256,0.406,0.144,0.318,0.4,105.0,104.0,109.0,68.0,102.0,96.0,70.0,93.0,83.0,153.0,101.0,112.0,92.0,100.0,100.0,57.0,96.0,102.0,0.24,0.099,0.318,0.021,0.165,0.158,-1.89,0.92,-4.85,0.21,-0.97,-1.5,92.0,88.1,85.6,92.6,80.5,77.1,0.24,0.411,0.235,0.242,0.422,0.164,0.265,0.47,0.267,0.255,0.489,0.278,0.3,0.5,0.089,0.375,0.625,0.261,0.25,0.375,0.438,,,,,,,,,,,,,,,
