,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-04-26,746243,Strikeout,strikeout,True,680777,663776,Ryan Jeffers,Patrick Sandoval,0,db7ff57d-f2f9-4d77-a293-e81c956be2bf,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-26,746243,Flyout,field_out,True,621439,663776,Byron Buxton,Patrick Sandoval,0,3695e825-76bc-4409-9b13-a67fd8d56e68,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-26,746243,Strikeout,strikeout,True,622534,663776,Manuel Margot,Patrick Sandoval,0,073967fe-49e0-4314-ae4c-a3ecf231099d,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-26,746243,Lineout,field_out,True,545361,641927,Mike Trout,Bailey Ober,0,85ce51dd-d826-464b-b5b7-750f3723398c,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.012,0.251,-1.08,,1.95,4.25,1.52,91.9,83.4,,80.5,76.0,0.173,0.337,0.37,0.098,0.196,0.319,,,,0.307,0.606,0.247,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,
4,2024-04-26,746243,Groundout,field_out,True,694384,641927,Nolan Schanuel,Bailey Ober,0,1bc50e74-716f-41e3-9fcc-f487883dfb1a,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.012,0.251,-1.08,,1.95,4.25,1.52,91.9,83.4,,80.5,76.0,0.173,0.337,0.37,0.098,0.196,0.319,,,,0.307,0.606,0.247,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,
5,2024-04-26,746243,Flyout,field_out,True,621493,641927,Taylor Ward,Bailey Ober,0,5502ae54-325f-4617-8a61-42270b794061,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.012,0.251,-1.08,,1.95,4.25,1.52,91.9,83.4,,80.5,76.0,0.173,0.337,0.37,0.098,0.196,0.319,,,,0.307,0.606,0.247,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,
6,2024-04-26,746243,Groundout,field_out,True,669304,663776,Jose Miranda,Patrick Sandoval,0,3e3b4f61-889c-41fb-a7fb-4e934d6090c2,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-04-26,746243,Home Run,home_run,False,467793,663776,Carlos Santana,Patrick Sandoval,0,3169fce3-ef00-4e53-a279-25a28076d671,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-26,746243,Strikeout,strikeout,True,668885,663776,Austin Martin,Patrick Sandoval,0,f6bb30ed-a43c-476a-895e-ee8dc5d92a11,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-26,746243,Groundout,field_out,True,543877,663776,Christian Vázquez,Patrick Sandoval,0,fdbd0458-a2b0-4883-86de-e5883c22a837,663776.0,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,5.08,4.19,79.2,98.0,98.0,99.0,0.748,9.15,3.95,9.6,0.9,1.33,0.192,0.415,0.141,0.308,0.421,96.0,101.0,104.0,96.0,94.0,100.0,56.0,95.0,83.0,63.0,96.0,88.0,149.0,98.0,106.0,0.174,0.16,0.293,0.09,0.283,-2.17,-1.82,0.25,2.02,0.72,93.7,82.9,93.7,86.8,76.3,0.208,0.292,0.385,0.235,0.471,0.281,0.413,0.565,0.142,0.381,0.524,0.16,0.118,0.118,0.256,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-04-26,746243,Strikeout,strikeout,True,593934,641927,Miguel Sanó,Bailey Ober,0,c7dd32db-c755-4c75-90c8-eedb8f2aa4d1,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.012,0.251,-1.08,,1.95,4.25,1.52,91.9,83.4,,80.5,76.0,0.173,0.337,0.37,0.098,0.196,0.319,,,,0.307,0.606,0.247,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,
11,2024-04-26,746243,Pop Out,field_out,True,592273,641927,Brandon Drury,Bailey Ober,0,2bd5e26f-049c-4405-b422-c0138a460cae,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.012,0.251,-1.08,,1.95,4.25,1.52,91.9,83.4,,80.5,76.0,0.173,0.337,0.37,0.098,0.196,0.319,,,,0.307,0.606,0.247,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,
12,2024-04-26,746243,Flyout,field_out,True,666176,641927,Jo Adell,Bailey Ober,0,45de84f5-6cae-4cc8-9d32-6872e0063903,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,,0.389,0.128,0.012,0.251,-1.08,,1.95,4.25,1.52,91.9,83.4,,80.5,76.0,0.173,0.337,0.37,0.098,0.196,0.319,,,,0.307,0.606,0.247,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,
