,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC
0,2024-09-03,746264,Strikeout,strikeout,True,680757,663903,Steven Kwan,Brady Singer,0,b68ba658-5941-4dc4-91fa-53389e19c22e,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-03,746264,Lineout,field_out,True,665926,663903,Andrés Giménez,Brady Singer,0,52b248de-d0e5-4feb-b36e-57b95669d466,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-03,746264,Walk,walk,False,608070,663903,José Ramírez,Brady Singer,0,0c794e68-ea60-4972-90d9-c00f423d3eb8,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-03,746264,Lineout,field_out,True,647304,663903,Josh Naylor,Brady Singer,0,0bd43c4c-e6e2-4dce-9d12-1362b55eae3f,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-03,746264,Pop Out,field_out,True,502054,676440,Tommy Pham,Tanner Bibee,0,e163880a-5073-4e83-9da4-2a7b53c61681,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
5,2024-09-03,746264,Single,single,False,677951,676440,Bobby Witt Jr.,Tanner Bibee,0,893ffdcf-7632-4e90-baaa-2af40f5919e6,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
6,2024-09-03,746264,Flyout,field_out,True,686681,676440,Michael Massey,Tanner Bibee,0,e58b4d58-c887-43ca-9736-0627ca9e71ff,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
7,2024-09-03,746264,Hit By Pitch,hit_by_pitch,False,521692,676440,Salvador Perez,Tanner Bibee,1,19690f5d-cc86-4159-a6f7-faef97f3b024,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
8,2024-09-03,746264,Groundout,field_out,True,657557,676440,Paul DeJong,Tanner Bibee,0,fb2b22a4-0c5d-4ada-9a27-f5e8781d09a5,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.56,3.88,154.0,103.0,100.0,105.0,0.769,9.7,2.4,7.77,1.17,0.77,0.282,0.415,0.141,0.301,0.451,83.0,100.0,109.0,93.0,103.0,99.0,,,,114.0,103.0,111.0,0.0,0.441,0.27,0.181,-0.72,-3.47,1.59,0.13,94.6,82.5,92.5,86.1,,,,0.156,0.255,0.347,0.279,0.48,0.212,,,,0.239,0.419,0.27,121.0,110.0,113.0,0.107,-0.82,81.4,0.197,0.434,0.232,,,,,,,,,,,,,,,,,,,,,
9,2024-09-03,746264,Single,single,False,686823,663903,Will Brennan,Brady Singer,0,98335849-8c37-46b0-835a-2207ef2a7c74,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-09-03,746264,Single,single,False,700932,663903,Kyle Manzardo,Brady Singer,1,56ff57c4-e259-4d9a-ac31-a9e5bdf32895,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-03,746264,Forceout,force_out,True,682177,663903,Daniel Schneemann,Brady Singer,1,6c8aa7d6-ab4a-4a65-9eff-2d9d6c3871df,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.42,4.49,163.1,99.0,84.0,94.0,0.772,8.43,2.53,8.71,0.94,1.65,0.201,0.408,0.163,0.316,0.414,80.0,77.0,69.0,63.0,96.0,86.0,71.0,102.0,93.0,106.0,99.0,102.0,0.41,0.115,0.454,0.021,-1.89,0.96,0.15,-5.71,91.7,88.1,92.2,82.9,0.266,0.378,0.12,0.208,0.362,0.352,0.341,0.585,0.185,0.324,0.486,0.364,0.429,0.5,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
