,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-06-21,746460,Lineout,field_out,True,502054,656427,Tommy Pham,Jack Flaherty,0,5c9f1251-9af4-486d-8e3d-97a123cc19e2,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,103.0,104.0,108.0,0.024,0.44,0.313,0.191,0.033,0.74,-7.15,0.85,2.33,-0.51,93.6,86.0,90.7,84.9,77.5,0.226,0.377,0.25,0.205,0.426,0.391,0.161,0.194,0.445,0.143,0.429,0.133,0.75,1.5,0.3,,,,,,,,,
1,2024-06-21,746460,Groundout,field_out,True,670032,656427,Nicky Lopez,Jack Flaherty,0,0c20b5c6-830f-4a8c-bdd0-17cb44a23fe7,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,103.0,104.0,108.0,0.024,0.44,0.313,0.191,0.033,0.74,-7.15,0.85,2.33,-0.51,93.6,86.0,90.7,84.9,77.5,0.226,0.377,0.25,0.205,0.426,0.391,0.161,0.194,0.445,0.143,0.429,0.133,0.75,1.5,0.3,,,,,,,,,
2,2024-06-21,746460,Walk,walk,False,673357,656427,Luis Robert Jr.,Jack Flaherty,0,722927bf-0cc9-4b08-8a48-3bf8495d6975,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,103.0,104.0,108.0,0.024,0.44,0.313,0.191,0.033,0.74,-7.15,0.85,2.33,-0.51,93.6,86.0,90.7,84.9,77.5,0.226,0.377,0.25,0.205,0.426,0.391,0.161,0.194,0.445,0.143,0.429,0.133,0.75,1.5,0.3,,,,,,,,,
3,2024-06-21,746460,Single,single,False,657757,656427,Gavin Sheets,Jack Flaherty,1,80917653-f3f8-4aba-97fa-cfc0c42e344e,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,103.0,104.0,108.0,0.024,0.44,0.313,0.191,0.033,0.74,-7.15,0.85,2.33,-0.51,93.6,86.0,90.7,84.9,77.5,0.226,0.377,0.25,0.205,0.426,0.391,0.161,0.194,0.445,0.143,0.429,0.133,0.75,1.5,0.3,,,,,,,,,
4,2024-06-21,746460,Strikeout,strikeout,True,683734,656427,Andrew Vaughn,Jack Flaherty,1,197c1f13-3281-4427-8cb1-13ffd46e47d3,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,94.0,82.0,78.0,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,103.0,104.0,108.0,0.024,0.44,0.313,0.191,0.033,0.74,-7.15,0.85,2.33,-0.51,93.6,86.0,90.7,84.9,77.5,0.226,0.377,0.25,0.205,0.426,0.391,0.161,0.194,0.445,0.143,0.429,0.133,0.75,1.5,0.3,,,,,,,,,
5,2024-06-21,746460,Lineout,field_out,True,663837,607200,Matt Vierling,Erick Fedde,0,21ad8522-842d-45bf-9ff6-88aeffb73261,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,,,,0.216,0.295,0.142,0.246,0.358,0.203,78.0,104.0,97.0,0.299,1.18,90.1,0.242,0.387,0.258
6,2024-06-21,746460,Single,single,False,690993,607200,Colt Keith,Erick Fedde,0,1b591dcf-2014-4323-b55e-c0d662f61244,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,,,,0.216,0.295,0.142,0.246,0.358,0.203,78.0,104.0,97.0,0.299,1.18,90.1,0.242,0.387,0.258
7,2024-06-21,746460,Strikeout,strikeout,True,682985,607200,Riley Greene,Erick Fedde,0,4ce9b661-b1f1-4eb1-a5d8-3a91d5fda587,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,,,,0.216,0.295,0.142,0.246,0.358,0.203,78.0,104.0,97.0,0.299,1.18,90.1,0.242,0.387,0.258
8,2024-06-21,746460,Walk,walk,False,592192,607200,Mark Canha,Erick Fedde,1,089584b2-0bb3-47e3-9dc3-246785130bdc,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,,,,0.216,0.295,0.142,0.246,0.358,0.203,78.0,104.0,97.0,0.299,1.18,90.1,0.242,0.387,0.258
9,2024-06-21,746460,Lineout,field_out,True,570482,607200,Gio Urshela,Erick Fedde,0,438d403f-0f44-457b-aa8f-4952a41e11bd,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,,,,0.306,0.001,0.198,,0.196,-1.85,0.74,0.47,,0.17,94.1,87.9,93.2,83.7,,,,,0.184,0.382,0.26,,,,0.216,0.295,0.142,0.246,0.358,0.203,78.0,104.0,97.0,0.299,1.18,90.1,0.242,0.387,0.258
