,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-04-18,746485,Home Run,home_run,False,543760,628317,Marcus Semien,Kenta Maeda,0,d595a501-09b6-4f1d-a521-2b1020c21682,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-18,746485,Single,single,False,608369,628317,Corey Seager,Kenta Maeda,0,5d8146da-16fb-4946-9425-1c6a997e82d3,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-18,746485,Grounded Into DP,grounded_into_double_play,True,694497,628317,Evan Carter,Kenta Maeda,1,558f700d-0c8e-4e44-b2f9-177ad66d16e8,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-18,746485,Groundout,field_out,True,666969,628317,Adolis García,Kenta Maeda,0,cc600540-372c-44c3-8dac-619fa0790171,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-18,746485,Strikeout,strikeout,True,682985,683004,Riley Greene,Jack Leiter,0,6693e259-dc0b-4fe8-ac5f-dfafe5cc5fb3,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,81.0,102.0,103.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,,,,,0.502,,0.239,0.12,-6.23,,,-2.18,0.86,95.6,,,85.6,80.0,0.444,0.444,0.0,,,,0.393,0.893,0.281,,,,0.25,0.25,0.222,119.0,88.0,97.0,59.0,65.0,57.0,0.057,0.081,-13.35,1.27,91.1,88.6,0.2,0.2,0.333,,,,,,,,,
5,2024-04-18,746485,Single,single,False,592192,683004,Mark Canha,Jack Leiter,0,d319b5ee-79cc-47b1-9424-9621e0305166,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,81.0,102.0,103.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,,,,,0.502,,0.239,0.12,-6.23,,,-2.18,0.86,95.6,,,85.6,80.0,0.444,0.444,0.0,,,,0.393,0.893,0.281,,,,0.25,0.25,0.222,119.0,88.0,97.0,59.0,65.0,57.0,0.057,0.081,-13.35,1.27,91.1,88.6,0.2,0.2,0.333,,,,,,,,,
6,2024-04-18,746485,Strikeout,strikeout,True,681481,683004,Kerry Carpenter,Jack Leiter,0,bfc1172a-3d8d-45dc-bee3-36d600b90043,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,81.0,102.0,103.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,,,,,0.502,,0.239,0.12,-6.23,,,-2.18,0.86,95.6,,,85.6,80.0,0.444,0.444,0.0,,,,0.393,0.893,0.281,,,,0.25,0.25,0.222,119.0,88.0,97.0,59.0,65.0,57.0,0.057,0.081,-13.35,1.27,91.1,88.6,0.2,0.2,0.333,,,,,,,,,
7,2024-04-18,746485,Walk,walk,False,679529,683004,Spencer Torkelson,Jack Leiter,1,6d57c15f-f7fd-4ee4-a0e5-61034203e4ac,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,81.0,102.0,103.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,,,,,0.502,,0.239,0.12,-6.23,,,-2.18,0.86,95.6,,,85.6,80.0,0.444,0.444,0.0,,,,0.393,0.893,0.281,,,,0.25,0.25,0.222,119.0,88.0,97.0,59.0,65.0,57.0,0.057,0.081,-13.35,1.27,91.1,88.6,0.2,0.2,0.333,,,,,,,,,
8,2024-04-18,746485,Flyout,field_out,True,663837,683004,Matt Vierling,Jack Leiter,0,69be25a0-140d-4ee3-b98f-8c2b451a960f,683004.0,jackleiter,Leiter,Right,Jack Leiter,TEX,16.39,9.36,9.1,95.0,111.0,99.0,0.804,6.75,5.79,17.36,2.89,0.72,0.2,0.475,0.15,0.25,0.421,81.0,102.0,103.0,125.0,95.0,101.0,,,,108.0,103.0,105.0,,,,,0.502,,0.239,0.12,-6.23,,,-2.18,0.86,95.6,,,85.6,80.0,0.444,0.444,0.0,,,,0.393,0.893,0.281,,,,0.25,0.25,0.222,119.0,88.0,97.0,59.0,65.0,57.0,0.057,0.081,-13.35,1.27,91.1,88.6,0.2,0.2,0.333,,,,,,,,,
9,2024-04-18,746485,Walk,walk,False,669701,628317,Josh Smith,Kenta Maeda,0,155b8ffb-97ca-4eb3-9f7f-70de0d813082,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
