,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff
0,2024-04-06,746498,Pop Out,field_out,True,676116,628317,Ryan Noda,Kenta Maeda,0,2947041a-9c5a-4865-9dea-cc5951ca7989,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,
1,2024-04-06,746498,Walk,walk,False,680869,628317,Zack Gelof,Kenta Maeda,0,36b95b21-7fc4-436c-b2cc-015d3be60d41,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,
2,2024-04-06,746498,Groundout,field_out,True,668709,628317,JJ Bleday,Kenta Maeda,1,55ebc3c6-4b77-4efb-adc6-0b6c2a7716c9,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,
3,2024-04-06,746498,Home Run,home_run,False,667670,628317,Brent Rooker,Kenta Maeda,1,ca6d4338-3542-4244-b1a1-abf7138088b2,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,
4,2024-04-06,746498,Strikeout,strikeout,True,664913,628317,Seth Brown,Kenta Maeda,0,41a0826b-5e01-4f50-9a32-857b89e0eced,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,
5,2024-04-06,746498,Flyout,field_out,True,678009,621112,Parker Meadows,Paul Blackburn,0,89b5af0a-bcc9-4b87-9095-6dbd230fea4a,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,,,,0.102,0.221,,0.173,0.112,-1.7,,-1.74,1.33,1.8,92.1,,91.4,81.6,79.6,0.129,0.258,0.288,,,,0.233,0.7,0.18,0.409,0.545,0.086,0.125,0.25,0.324,90.0,108.0,107.0,104.0,107.0,100.0,0.199,0.191,0.5,2.4,89.2,85.5,0.316,0.421,0.272,0.162,0.189,0.317
6,2024-04-06,746498,Lineout,field_out,True,679529,621112,Spencer Torkelson,Paul Blackburn,0,486fa388-0521-4440-ab46-c6ed5e9e60c8,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,,,,0.102,0.221,,0.173,0.112,-1.7,,-1.74,1.33,1.8,92.1,,91.4,81.6,79.6,0.129,0.258,0.288,,,,0.233,0.7,0.18,0.409,0.545,0.086,0.125,0.25,0.324,90.0,108.0,107.0,104.0,107.0,100.0,0.199,0.191,0.5,2.4,89.2,85.5,0.316,0.421,0.272,0.162,0.189,0.317
7,2024-04-06,746498,Double,double,False,681481,621112,Kerry Carpenter,Paul Blackburn,0,c9dea954-16d2-49b0-b365-841ae389264b,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,,,,0.102,0.221,,0.173,0.112,-1.7,,-1.74,1.33,1.8,92.1,,91.4,81.6,79.6,0.129,0.258,0.288,,,,0.233,0.7,0.18,0.409,0.545,0.086,0.125,0.25,0.324,90.0,108.0,107.0,104.0,107.0,100.0,0.199,0.191,0.5,2.4,89.2,85.5,0.316,0.421,0.272,0.162,0.189,0.317
8,2024-04-06,746498,Groundout,field_out,True,682985,621112,Riley Greene,Paul Blackburn,0,7fed6168-6819-43d7-b0e7-18696fc6ec33,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.11,4.64,46.0,105.0,95.0,102.0,0.762,7.04,2.54,7.83,1.17,1.51,0.225,0.406,0.181,0.239,0.41,94.0,107.0,107.0,77.0,98.0,93.0,74.0,110.0,97.0,122.0,105.0,110.0,,,,0.102,0.221,,0.173,0.112,-1.7,,-1.74,1.33,1.8,92.1,,91.4,81.6,79.6,0.129,0.258,0.288,,,,0.233,0.7,0.18,0.409,0.545,0.086,0.125,0.25,0.324,90.0,108.0,107.0,104.0,107.0,100.0,0.199,0.191,0.5,2.4,89.2,85.5,0.316,0.421,0.272,0.162,0.189,0.317
9,2024-04-06,746498,Flyout,field_out,True,605204,628317,J.D. Davis,Kenta Maeda,0,1c879e3d-7993-4131-a7a8-da83eb7dc07a,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,80.0,77.0,79.0,65.0,95.0,88.0,62.0,100.0,90.0,99.0,95.0,97.0,109.0,104.0,107.0,0.069,0.251,0.301,0.355,0.023,-2.92,0.11,-0.54,-0.92,-5.16,90.5,83.7,90.4,81.6,76.5,0.24,0.32,0.267,0.2,0.388,0.273,0.362,0.707,0.125,0.3,0.35,0.143,0.667,1.0,0.0,,,,,,,,,,,,,,,,,,
