,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,CU%,CH%,wFC/C,wFS/C,wSI/C,wCU/C,wCH/C,vFC,vFS,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-15,746506,Single,single,False,664023,615698,Ian Happ,Cal Quantrill,0,c3314e0b-863e-4a89-9ecc-59a99ab3b147,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
1,2024-09-15,746506,Pop Out,field_out,True,621020,615698,Dansby Swanson,Cal Quantrill,0,c0db984c-d1f7-4ed4-a133-dfbf34bbe25f,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
2,2024-09-15,746506,Single,single,False,673548,615698,Seiya Suzuki,Cal Quantrill,1,7300eb35-6112-4d1a-8763-63ba30462ce9,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
3,2024-09-15,746506,Strikeout,strikeout,True,641355,615698,Cody Bellinger,Cal Quantrill,0,21d818b4-96a4-49a8-acfa-e792f4945e12,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
4,2024-09-15,746506,Walk,walk,False,670623,615698,Isaac Paredes,Cal Quantrill,1,811c7e39-149a-4078-99a6-1bf65eca5b08,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
5,2024-09-15,746506,Groundout,field_out,True,683737,615698,Michael Busch,Cal Quantrill,0,5666302c-94a2-4c08-9ded-19a28fb213b0,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
6,2024-09-15,746506,Flyout,field_out,True,678662,543294,Ezequiel Tovar,Kyle Hendricks,0,c1505655-4edc-4040-b3fc-068b4a03d903,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.25,5.02,118.0,105.0,94.0,100.0,0.824,6.33,3.05,10.37,1.6,1.35,0.23,0.404,0.207,0.294,0.4,106.0,107.0,107.0,87.0,110.0,108.0,97.0,106.0,96.0,,,,,,,0.357,,,0.133,0.382,,,-0.86,0.18,-0.99,,,81.0,87.7,74.4,0.335,0.508,0.111,,,,,,,0.239,0.326,0.25,0.269,0.428,0.239,58.0,93.0,85.0,0.128,-1.63,87.8,0.243,0.568,0.218,,,,,,,,,,,,
7,2024-09-15,746506,Groundout,field_out,True,595909,543294,Jake Cave,Kyle Hendricks,0,d9243245-ada8-4f90-b026-930483d2228d,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.25,5.02,118.0,105.0,94.0,100.0,0.824,6.33,3.05,10.37,1.6,1.35,0.23,0.404,0.207,0.294,0.4,106.0,107.0,107.0,87.0,110.0,108.0,97.0,106.0,96.0,,,,,,,0.357,,,0.133,0.382,,,-0.86,0.18,-0.99,,,81.0,87.7,74.4,0.335,0.508,0.111,,,,,,,0.239,0.326,0.25,0.269,0.428,0.239,58.0,93.0,85.0,0.128,-1.63,87.8,0.243,0.568,0.218,,,,,,,,,,,,
8,2024-09-15,746506,Flyout,field_out,True,686668,543294,Brenton Doyle,Kyle Hendricks,0,a8fe293a-6b11-4ebd-8ebe-bd10325beb93,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.25,5.02,118.0,105.0,94.0,100.0,0.824,6.33,3.05,10.37,1.6,1.35,0.23,0.404,0.207,0.294,0.4,106.0,107.0,107.0,87.0,110.0,108.0,97.0,106.0,96.0,,,,,,,0.357,,,0.133,0.382,,,-0.86,0.18,-0.99,,,81.0,87.7,74.4,0.335,0.508,0.111,,,,,,,0.239,0.326,0.25,0.269,0.428,0.239,58.0,93.0,85.0,0.128,-1.63,87.8,0.243,0.568,0.218,,,,,,,,,,,,
9,2024-09-15,746506,Flyout,field_out,True,663538,615698,Nico Hoerner,Cal Quantrill,0,22fb2adc-0a33-4281-91bd-31454d1aa818,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.68,5.12,140.1,96.0,91.0,94.0,0.805,6.73,4.04,9.17,1.28,1.3,0.218,0.43,0.131,0.359,0.407,88.0,97.0,103.0,98.0,101.0,104.0,79.0,95.0,89.0,77.0,96.0,92.0,110.0,95.0,97.0,0.397,0.136,0.326,0.122,0.019,-0.37,0.55,-1.98,-0.22,1.81,87.8,86.5,84.9,93.9,79.6,0.348,0.603,0.184,0.2,0.312,0.241,0.294,0.515,0.211,0.241,0.448,0.288,0.222,0.222,0.167,,,,,,,,,,,,,,,,,,,,,
