,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-25,746646,Strikeout,strikeout,True,680776,663474,Jarren Duran,Triston McKenzie,0,2799cb4e-7fca-4006-aab1-aa1c7fb93bab,663474.0,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.54,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,97.0,102.0,100.0,98.0,86.0,87.0,106.0,87.0,90.0,0.524,0.21,0.266,-2.21,1.46,-0.18,91.1,85.4,77.7,0.303,0.652,0.103,0.176,0.341,0.373,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-25,746646,Single,single,False,646240,663474,Rafael Devers,Triston McKenzie,0,f6954460-2467-4f89-bd5f-a2b4bc51d631,663474.0,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.54,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,97.0,102.0,100.0,98.0,86.0,87.0,106.0,87.0,90.0,0.524,0.21,0.266,-2.21,1.46,-0.18,91.1,85.4,77.7,0.303,0.652,0.103,0.176,0.341,0.373,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-25,746646,Strikeout,strikeout,True,608701,663474,Rob Refsnyder,Triston McKenzie,0,25633716-f4d2-4f95-a37f-249367a83cd8,663474.0,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.54,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,97.0,102.0,100.0,98.0,86.0,87.0,106.0,87.0,90.0,0.524,0.21,0.266,-2.21,1.46,-0.18,91.1,85.4,77.7,0.303,0.652,0.103,0.176,0.341,0.373,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-25,746646,Pop Out,field_out,True,677800,663474,Wilyer Abreu,Triston McKenzie,0,3d021deb-0215-4da8-934d-d63cc0f6606c,663474.0,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.54,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,97.0,102.0,100.0,98.0,86.0,87.0,106.0,87.0,90.0,0.524,0.21,0.266,-2.21,1.46,-0.18,91.1,85.4,77.7,0.303,0.652,0.103,0.176,0.341,0.373,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-25,746646,Pop Out,field_out,True,680757,502624,Steven Kwan,Chase Anderson,0,aa9a4e67-4134-4c56-be58-63e112a3bad9,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,94.0,94.0,88.0,77.0,95.0,85.0,123.0,98.0,101.0,0.139,0.164,0.045,-1.5,2.12,1.44,93.5,80.5,78.8,0.3,0.35,0.25,,,,0.132,0.237,0.273,122.0,107.0,111.0,83.0,91.0,82.0,101.0,100.0,98.0,0.019,0.333,0.3,-1.81,4.28,1.79,88.7,83.9,92.9,0.148,0.279,0.327,0.333,0.667,0.178,0.0,0.0,0.125,,,,,,,,,
5,2024-04-25,746646,Walk,walk,False,671289,502624,Tyler Freeman,Chase Anderson,0,ea1d66ba-a88e-4e26-b79e-4bbca71d7830,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,94.0,94.0,88.0,77.0,95.0,85.0,123.0,98.0,101.0,0.139,0.164,0.045,-1.5,2.12,1.44,93.5,80.5,78.8,0.3,0.35,0.25,,,,0.132,0.237,0.273,122.0,107.0,111.0,83.0,91.0,82.0,101.0,100.0,98.0,0.019,0.333,0.3,-1.81,4.28,1.79,88.7,83.9,92.9,0.148,0.279,0.327,0.333,0.667,0.178,0.0,0.0,0.125,,,,,,,,,
6,2024-04-25,746646,Single,single,False,608070,502624,José Ramírez,Chase Anderson,1,e131ccef-b8b0-4151-8c3c-19e096e489b3,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,94.0,94.0,88.0,77.0,95.0,85.0,123.0,98.0,101.0,0.139,0.164,0.045,-1.5,2.12,1.44,93.5,80.5,78.8,0.3,0.35,0.25,,,,0.132,0.237,0.273,122.0,107.0,111.0,83.0,91.0,82.0,101.0,100.0,98.0,0.019,0.333,0.3,-1.81,4.28,1.79,88.7,83.9,92.9,0.148,0.279,0.327,0.333,0.667,0.178,0.0,0.0,0.125,,,,,,,,,
7,2024-04-25,746646,Pop Out,field_out,True,647304,502624,Josh Naylor,Chase Anderson,0,403498d1-5cc3-4088-9df6-b45eef82ab2d,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,94.0,94.0,88.0,77.0,95.0,85.0,123.0,98.0,101.0,0.139,0.164,0.045,-1.5,2.12,1.44,93.5,80.5,78.8,0.3,0.35,0.25,,,,0.132,0.237,0.273,122.0,107.0,111.0,83.0,91.0,82.0,101.0,100.0,98.0,0.019,0.333,0.3,-1.81,4.28,1.79,88.7,83.9,92.9,0.148,0.279,0.327,0.333,0.667,0.178,0.0,0.0,0.125,,,,,,,,,
8,2024-04-25,746646,Groundout,field_out,True,681807,502624,David Fry,Chase Anderson,0,fd740ddf-b18b-4a73-97a6-cd29ba5863a2,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,94.0,94.0,88.0,77.0,95.0,85.0,123.0,98.0,101.0,0.139,0.164,0.045,-1.5,2.12,1.44,93.5,80.5,78.8,0.3,0.35,0.25,,,,0.132,0.237,0.273,122.0,107.0,111.0,83.0,91.0,82.0,101.0,100.0,98.0,0.019,0.333,0.3,-1.81,4.28,1.79,88.7,83.9,92.9,0.148,0.279,0.327,0.333,0.667,0.178,0.0,0.0,0.125,,,,,,,,,
9,2024-04-25,746646,Walk,walk,False,622569,663474,Pablo Reyes,Triston McKenzie,0,a35b78d7-3d44-461a-b154-ce85a230f584,663474.0,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.54,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,97.0,102.0,100.0,98.0,86.0,87.0,106.0,87.0,90.0,0.524,0.21,0.266,-2.21,1.46,-0.18,91.1,85.4,77.7,0.303,0.652,0.103,0.176,0.341,0.373,0.143,0.143,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
