,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
0,2024-07-27,746768,Strikeout,strikeout,True,645302,607200,Victor Robles,Erick Fedde,0,6e626100-5e7b-4a35-a7db-e8b200bce67a,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
1,2024-07-27,746768,Strikeout,strikeout,True,668227,607200,Randy Arozarena,Erick Fedde,0,27d4f72e-66f3-4c1a-9638-743ac7e19407,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
2,2024-07-27,746768,Flyout,field_out,True,663728,607200,Cal Raleigh,Erick Fedde,0,9352fe30-8e78-44d8-ae56-e5f7486f2322,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
3,2024-07-27,746768,Strikeout,strikeout,True,673357,693433,Luis Robert Jr.,Bryan Woo,0,650caa4b-0765-4be2-8dae-9f896340b989,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
4,2024-07-27,746768,Groundout,field_out,True,657757,693433,Gavin Sheets,Bryan Woo,0,3a10cea6-8126-451b-8151-d59af8ee38a5,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
5,2024-07-27,746768,Flyout,field_out,True,502054,693433,Tommy Pham,Bryan Woo,0,56fdfee8-84fa-41df-aad8-2c6fcdd1b718,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
6,2024-07-27,746768,Flyout,field_out,True,593871,607200,Jorge Polanco,Erick Fedde,0,31c19228-5258-45ee-b027-3252c3f341fb,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
7,2024-07-27,746768,Flyout,field_out,True,571745,607200,Mitch Haniger,Erick Fedde,0,2c4cbd48-22bb-4c5c-836c-da1d2f3091b4,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
8,2024-07-27,746768,Triple,triple,False,613564,607200,Jason Vosler,Erick Fedde,0,e0fc0be9-1880-4c1e-86db-9097bfef6296,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
9,2024-07-27,746768,Pop Out,field_out,True,682988,607200,Tyler Locklear,Erick Fedde,0,9f2fed1b-53c2-45a6-9565-9f4ed79c5ffd,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,23.0,81.0,60.0,77.0,106.0,94.0,125.0,101.0,106.0,79.0,105.0,98.0,0.302,0.002,0.318,0.206,0.172,-13.43,-0.06,0.68,1.64,-0.24,92.4,89.9,87.8,93.0,83.5,0.266,0.509,0.237,0.241,0.345,0.204,0.148,0.296,0.254,0.23,0.32,0.153,,,,,,,,,,,,,,,
10,2024-07-27,746768,Strikeout,strikeout,True,683734,693433,Andrew Vaughn,Bryan Woo,0,dcedd624-6212-4d15-9eea-047deaa56d62,693433.0,bryanwoo,Woo,Right,Bryan Woo,SEA,2.05,2.29,87.2,108.0,103.0,108.0,0.812,6.98,0.92,6.37,0.62,1.06,0.287,0.346,0.154,0.213,0.512,82.0,101.0,95.0,97.0,110.0,108.0,118.0,111.0,111.0,113.0,103.0,110.0,,,,0.237,0.509,,0.16,0.094,1.75,,2.42,1.59,2.87,94.7,,89.5,94.5,84.2,,,,0.211,0.289,0.101,0.087,0.087,0.333,0.122,0.195,0.148,0.208,0.319,0.25,0.261,0.348,0.208,,,,,,,,,
