,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-06-24,746780,Strikeout,strikeout,True,660271,676979,Shohei Ohtani,Garrett Crochet,0,340162f6-9a92-4266-8149-eaa7b026b6b9,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,0.061,1.77,2.05,-2.87,-0.38,97.0,91.4,90.8,84.1,0.188,0.274,0.31,0.213,0.283,0.351,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-24,746780,Flyout,field_out,True,669257,676979,Will Smith,Garrett Crochet,0,b8cc676e-c659-49f0-8981-f032069eb90c,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,0.061,1.77,2.05,-2.87,-0.38,97.0,91.4,90.8,84.1,0.188,0.274,0.31,0.213,0.283,0.351,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-24,746780,Single,single,False,518692,676979,Freddie Freeman,Garrett Crochet,0,8b554a35-236f-4642-ad66-9d9d8ca5bbea,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,0.061,1.77,2.05,-2.87,-0.38,97.0,91.4,90.8,84.1,0.188,0.274,0.31,0.213,0.283,0.351,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-24,746780,Single,single,False,681624,676979,Andy Pages,Garrett Crochet,1,22cba2b5-ce82-4707-9631-cc8d53d05472,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,0.061,1.77,2.05,-2.87,-0.38,97.0,91.4,90.8,84.1,0.188,0.274,0.31,0.213,0.283,0.351,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-24,746780,Groundout,field_out,True,500743,676979,Miguel Rojas,Garrett Crochet,0,351870fe-18ed-4bd3-93d9-dbb25662c686,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,105.0,103.0,103.0,138.0,99.0,103.0,92.0,107.0,104.0,0.552,0.273,0.114,0.061,1.77,2.05,-2.87,-0.38,97.0,91.4,90.8,84.1,0.188,0.274,0.31,0.213,0.283,0.351,0.227,0.614,0.372,0.179,0.321,0.279,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-06-24,746780,Strikeout,strikeout,True,502054,572020,Tommy Pham,James Paxton,0,a765c764-f2fa-47c7-843a-c7de150566b7,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.308,0.769,0.13,,,,0.217,0.348,0.31,65.0,98.0,92.0,79.0,96.0,96.0,0.032,0.284,-4.92,-0.23,92.6,80.8,0.224,0.355,0.358,0.462,0.692,0.095,,,,,,
6,2024-06-24,746780,Flyout,field_out,True,683734,572020,Andrew Vaughn,James Paxton,0,3c61919a-825d-48a5-8914-2b12bc213ca2,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.308,0.769,0.13,,,,0.217,0.348,0.31,65.0,98.0,92.0,79.0,96.0,96.0,0.032,0.284,-4.92,-0.23,92.6,80.8,0.224,0.355,0.358,0.462,0.692,0.095,,,,,,
7,2024-06-24,746780,Walk,walk,False,673357,572020,Luis Robert Jr.,James Paxton,0,86fdf75f-b6e6-4e58-a89b-a59a902711ed,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.308,0.769,0.13,,,,0.217,0.348,0.31,65.0,98.0,92.0,79.0,96.0,96.0,0.032,0.284,-4.92,-0.23,92.6,80.8,0.224,0.355,0.358,0.462,0.692,0.095,,,,,,
8,2024-06-24,746780,Single,single,False,650391,572020,Eloy Jiménez,James Paxton,1,5f3d006a-c2ae-48b2-babf-8538691b7336,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.308,0.769,0.13,,,,0.217,0.348,0.31,65.0,98.0,92.0,79.0,96.0,96.0,0.032,0.284,-4.92,-0.23,92.6,80.8,0.224,0.355,0.358,0.462,0.692,0.095,,,,,,
9,2024-06-24,746780,Strikeout,strikeout,True,657557,572020,Paul DeJong,James Paxton,0,141f1f60-a454-41c9-a931-de0512ad00bc,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.308,0.769,0.13,,,,0.217,0.348,0.31,65.0,98.0,92.0,79.0,96.0,96.0,0.032,0.284,-4.92,-0.23,92.6,80.8,0.224,0.355,0.358,0.462,0.692,0.095,,,,,,
