,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff
0,2024-05-01,746800,Flyout,field_out,True,666135,623167,Alex Kirilloff,Chris Flexen,0,2a16cd06-0180-4e8e-9ca4-022884fc0e5d,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
1,2024-05-01,746800,Strikeout,strikeout,True,666397,623167,Edouard Julien,Chris Flexen,0,45ef493b-6561-43af-ba77-86e0f5d327c0,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
2,2024-05-01,746800,Walk,walk,False,621043,623167,Carlos Correa,Chris Flexen,0,9a8878e0-192b-428c-b22d-9d7b9c44a453,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
3,2024-05-01,746800,Flyout,field_out,True,596146,623167,Max Kepler,Chris Flexen,0,a21b31d3-e342-450c-b86a-05795e07d352,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
4,2024-05-01,746800,Double,double,False,543257,641927,Robbie Grossman,Bailey Ober,0,0d2ebaef-a1a0-47b1-b26e-0ed0fd7db65b,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
5,2024-05-01,746800,Double,double,False,502054,641927,Tommy Pham,Bailey Ober,1,3480cbfb-051d-4074-8603-803babbb593b,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
6,2024-05-01,746800,Groundout,field_out,True,657757,641927,Gavin Sheets,Bailey Ober,1,6ee653f8-04a9-4205-8b26-5bfc04063948,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
7,2024-05-01,746800,Single,single,False,683734,641927,Andrew Vaughn,Bailey Ober,1,353045be-2c64-4795-9258-3a7527604ca9,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
8,2024-05-01,746800,Grounded Into DP,grounded_into_double_play,True,643217,641927,Andrew Benintendi,Bailey Ober,1,f9f2a0bc-6560-48e8-b8e7-84b9021dbdea,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
9,2024-05-01,746800,Single,single,False,621439,623167,Byron Buxton,Chris Flexen,0,bedf93e3-663d-43d5-8593-4ddb18ac1aeb,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
