,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-06-17,746868,Strikeout,strikeout,True,689172,665871,Brett Wisely,Javier Assad,0,132a2f0e-1ac7-4acd-bb9c-ba73373daff4,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
1,2024-06-17,746868,Strikeout,strikeout,True,671218,665871,Heliot Ramos,Javier Assad,0,a67eb61f-b14a-43af-b41a-645291f3fae0,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
2,2024-06-17,746868,Groundout,field_out,True,672275,665871,Patrick Bailey,Javier Assad,0,52849d24-47ad-4c2d-996e-7d4428e71f22,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
3,2024-06-17,746868,Walk,walk,False,643565,663855,Mike Tauchman,Jordan Hicks,0,f3f6134c-9680-438e-948f-abcdec8dd307,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
4,2024-06-17,746868,Double Play,double_play,True,666624,663855,Christopher Morel,Jordan Hicks,1,46801312-c702-4a01-b1f3-dd032e887627,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
5,2024-06-17,746868,Lineout,field_out,True,641355,663855,Cody Bellinger,Jordan Hicks,0,9ea8121b-3eae-4df3-8620-fb98635556c2,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
6,2024-06-17,746868,Strikeout,strikeout,True,656305,665871,Matt Chapman,Javier Assad,0,00cf893f-d6b9-4f8b-9099-5ff5be831a86,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
7,2024-06-17,746868,Flyout,field_out,True,624424,665871,Michael Conforto,Javier Assad,0,ba78cfae-7649-4165-a355-eab0325672b1,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
8,2024-06-17,746868,Double,double,False,624585,665871,Jorge Soler,Javier Assad,0,8a51a743-d09e-4449-827a-dae453f4c4ef,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
9,2024-06-17,746868,Strikeout,strikeout,True,573262,665871,Mike Yastrzemski,Javier Assad,0,ebe9650d-c5ef-40ac-999e-02d6fb751a37,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
10,2024-06-17,746868,Strikeout,strikeout,True,673548,663855,Seiya Suzuki,Jordan Hicks,0,5bb73488-9df4-4ace-8df0-99514871cbca,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
11,2024-06-17,746868,Walk,walk,False,664023,663855,Ian Happ,Jordan Hicks,0,c495ba34-b2b4-44df-af34-710e7cf68dce,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
12,2024-06-17,746868,Flyout,field_out,True,663538,663855,Nico Hoerner,Jordan Hicks,0,d491eb38-1a96-440f-aa87-b8ba74a0d2dc,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
13,2024-06-17,746868,Groundout,field_out,True,683737,663855,Michael Busch,Jordan Hicks,0,7e011d18-7203-42bc-a190-c1d9ea1d80a6,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
14,2024-06-17,746868,Single,single,False,642731,665871,Thairo Estrada,Javier Assad,0,aadde8de-b6f7-49de-a450-bfd260ea2886,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
15,2024-06-17,746868,Walk,walk,False,670092,665871,Trenton Brooks,Javier Assad,1,871c6528-b8ed-4da7-9434-6ed92cf1406a,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
16,2024-06-17,746868,Flyout,field_out,True,689172,665871,Brett Wisely,Javier Assad,1,b2615db1-2037-4f9c-aee8-82499d0821cf,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
17,2024-06-17,746868,Strikeout,strikeout,True,671218,665871,Heliot Ramos,Javier Assad,0,59ff03e8-6433-4217-9cc1-e01653675da6,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
18,2024-06-17,746868,Flyout,field_out,True,672275,665871,Patrick Bailey,Javier Assad,1,7c31d3a8-425c-4456-b53a-b07046c0b7e4,665871.0,javierassad,Assad,Right,Javier Assad,CHC,3.27,4.73,85.1,100.0,87.0,95.0,0.851,8.33,3.69,8.44,1.27,1.08,0.284,0.36,0.144,0.288,0.428,79.0,90.0,86.0,98.0,106.0,101.0,72.0,106.0,97.0,78.0,99.0,91.0,121.0,99.0,106.0,98.0,97.0,94.0,0.37,0.185,0.202,0.096,0.11,0.037,-0.69,-1.88,1.32,-3.1,0.3,-1.03,91.9,87.9,84.3,91.7,80.2,76.7,0.213,0.309,0.097,0.333,0.737,0.174,0.163,0.245,0.31,0.326,0.478,0.238,0.261,0.609,0.318,0.25,0.25,0.091,,,,,,,,,
19,2024-06-17,746868,Strikeout,strikeout,True,621020,663855,Dansby Swanson,Jordan Hicks,0,8c907ce2-4547-472e-badc-6843938a3d07,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
20,2024-06-17,746868,Strikeout,strikeout,True,665804,663855,Miguel Amaya,Jordan Hicks,0,8a3e0eb0-d14d-4fff-9094-9053ee185c42,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
21,2024-06-17,746868,Single,single,False,643565,663855,Mike Tauchman,Jordan Hicks,0,5d3587a1-0612-47c8-8abe-82002f89f981,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
22,2024-06-17,746868,Forceout,force_out,True,666624,663855,Christopher Morel,Jordan Hicks,1,9a2ff7a7-c25f-46c4-8248-5b14b3eeb2ef,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,,,,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,,,,0.507,0.052,,0.23,,,-3.81,,0.19,0.18,,,95.5,,,94.4,81.0,,0.337,0.484,0.122,,,,,,,0.263,0.421,0.194,0.145,0.319,0.377,,,,121.0,92.0,106.0,0.21,-0.21,84.2,0.165,0.271,0.399
