,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-05-08,746879,Hit By Pitch,hit_by_pitch,False,650333,669713,Luis Arraez,Hayden Wesneski,0,409334ac-2e86-4d8c-9b82-b9fa5906a106,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
1,2024-05-08,746879,Flyout,field_out,True,665487,669713,Fernando Tatis Jr.,Hayden Wesneski,0,87448b3e-477a-441a-a9de-76ed12eeba20,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
2,2024-05-08,746879,Groundout,field_out,True,630105,669713,Jake Cronenworth,Hayden Wesneski,1,a1938e2b-420e-422a-863a-fe91880690a6,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
3,2024-05-08,746879,Single,single,False,592518,669713,Manny Machado,Hayden Wesneski,1,2941bd1e-117a-4ba8-9542-60ceb5e68d28,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
4,2024-05-08,746879,Forceout,force_out,True,595777,669713,Jurickson Profar,Hayden Wesneski,1,8de93e41-8e3b-4db0-ada5-3a1258bc50b4,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
5,2024-05-08,746879,Groundout,field_out,True,663538,656302,Nico Hoerner,Dylan Cease,0,c504c856-86f9-4682-a1b5-55c4dcc998bd,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
6,2024-05-08,746879,Flyout,field_out,True,643565,656302,Mike Tauchman,Dylan Cease,0,1c52c41d-7877-4558-aa12-526d311c938c,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
7,2024-05-08,746879,Flyout,field_out,True,641355,656302,Cody Bellinger,Dylan Cease,0,e5d49c9d-7edc-41d4-b65c-9b8797a5d765,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,,,,113.0,101.0,105.0,113.0,89.0,90.0,,0.435,0.01,0.462,0.013,-0.1,-5.15,,1.62,-4.3,96.8,91.8,69.5,,87.1,0.244,0.445,0.225,0.182,0.273,0.379,,,,0.25,1.0,0.0,0.25,1.0,0.2,108.0,99.0,104.0,0.081,-0.64,82.7,0.242,0.455,0.333,,,,,,
8,2024-05-08,746879,Strikeout,strikeout,True,593428,669713,Xander Bogaerts,Hayden Wesneski,0,d8e8849e-57f9-477d-80c8-95047b9f4400,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
9,2024-05-08,746879,Strikeout,strikeout,True,701538,669713,Jackson Merrill,Hayden Wesneski,0,8ded980e-be6d-4d74-95a1-9d60a94afa48,669713.0,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.94,4.36,61.2,100.0,91.0,98.0,0.764,8.46,3.06,7.74,1.61,1.11,0.275,0.418,0.214,0.269,0.402,94.0,101.0,101.0,50.0,100.0,85.0,91.0,100.0,95.0,132.0,100.0,111.0,76.0,97.0,98.0,0.121,0.368,0.085,0.399,0.027,-0.5,2.33,-0.74,0.19,1.36,94.5,88.1,86.9,93.5,82.2,0.25,0.444,0.132,0.185,0.383,0.428,0.273,0.545,0.123,0.182,0.182,0.209,0.143,0.143,0.214,,,,,,,,,,,,,,,
