,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,SL%,wFC/C,wFS/C,wSI/C,wSL/C,vFC,vFS,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,CH%,wFA/C,wCU/C,wCH/C,vFA,vCH,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff
0,2024-07-11,746935,Walk,walk,False,668709,656557,JJ Bleday,Tanner Houck,0,933ef4c7-ac63-433c-9d49-4c2c22d6a577,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-11,746935,Forceout,force_out,True,609280,656557,Miguel Andujar,Tanner Houck,1,ef9a4f72-2c59-4abd-aaf9-180ac3160b82,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-11,746935,Forceout,force_out,True,667670,656557,Brent Rooker,Tanner Houck,1,b38b29a8-a78c-4504-aea0-10b83d2ed8a5,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-11,746935,Flyout,field_out,True,671732,656557,Lawrence Butler,Tanner Houck,1,08440326-5624-4556-8238-ecb400ca65c6,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-11,746935,Walk,walk,False,680776,665622,Jarren Duran,Luis Medina,0,e7d0a834-62f7-4d27-8e75-1483b763e82a,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
5,2024-07-11,746935,Double,double,False,666152,665622,David Hamilton,Luis Medina,1,1475c647-8b68-4035-81ea-2a198c19acaf,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
6,2024-07-11,746935,Strikeout,strikeout,True,641933,665622,Tyler O'Neill,Luis Medina,0,3e1b0145-82c2-4e75-85d5-74fa415fec3a,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
7,2024-07-11,746935,Strikeout,strikeout,True,646240,665622,Rafael Devers,Luis Medina,0,2d20856c-0496-4429-bc69-93eece24bb8f,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
8,2024-07-11,746935,Walk,walk,False,657136,665622,Connor Wong,Luis Medina,0,65df41f9-b5dc-4d3d-84fb-444ab4ee0f66,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
9,2024-07-11,746935,Single,single,False,807799,665622,Masataka Yoshida,Luis Medina,1,c17c416a-9de2-4d08-8e17-7ab36f7a310f,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
10,2024-07-11,746935,Double,double,False,677800,665622,Wilyer Abreu,Luis Medina,1,00d24bd8-4a2e-4035-9e59-b38228479e00,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
11,2024-07-11,746935,Groundout,field_out,True,642086,665622,Dominic Smith,Luis Medina,0,7be443b6-540f-497a-a4fb-ca7adfea35ed,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
12,2024-07-11,746935,Strikeout,strikeout,True,680869,656557,Zack Gelof,Tanner Houck,0,2d8307a7-7a96-4d3f-9419-195abaeac76a,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-07-11,746935,Groundout,field_out,True,664913,656557,Seth Brown,Tanner Houck,0,9b8e3742-1871-4209-b71d-9ecd7cb3d211,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-07-11,746935,Strikeout,strikeout,True,668832,656557,Kyle McCann,Tanner Houck,0,00f718a8-eeac-40d7-bb6d-e9380c3f73f2,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-07-11,746935,Groundout,field_out,True,678882,665622,Ceddanne Rafaela,Luis Medina,0,9c1e89d1-2d52-4bd2-aa55-66bc04547af5,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
16,2024-07-11,746935,Strikeout,strikeout,True,680776,665622,Jarren Duran,Luis Medina,0,ca232969-c237-46e8-a810-4600e1bde748,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
17,2024-07-11,746935,Single,single,False,666152,665622,David Hamilton,Luis Medina,0,9f80fcfd-ff85-471f-ac71-7e6c85d4c033,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
18,2024-07-11,746935,Pickoff Caught Stealing 2B,pickoff_caught_stealing_2b,True,641933,665622,Tyler O'Neill,Luis Medina,0,be97eff6-3d9a-49af-8282-335119aa47c9,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
19,2024-07-11,746935,Groundout,field_out,True,695391,656557,Brett Harris,Tanner Houck,0,42cdc9f2-0a7d-467c-b81f-6f86016f6309,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-07-11,746935,Walk,walk,False,680474,656557,Max Schuemann,Tanner Houck,0,793d7023-1714-46c9-8395-62756b04ceb0,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-07-11,746935,Strikeout,strikeout,True,668709,656557,JJ Bleday,Tanner Houck,0,5931079c-7d69-494b-8f8b-76564c9dff61,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-07-11,746935,Flyout,field_out,True,609280,656557,Miguel Andujar,Tanner Houck,0,3838e418-ffb5-472f-8112-3e6760cf732f,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-07-11,746935,Strikeout,strikeout,True,641933,665622,Tyler O'Neill,Luis Medina,0,b4147a5e-9095-49cc-ab27-5ed9ae5752ae,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
24,2024-07-11,746935,Groundout,field_out,True,646240,665622,Rafael Devers,Luis Medina,0,a078dd26-2a03-474f-9de0-2e5d06199374,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
25,2024-07-11,746935,Home Run,home_run,False,657136,665622,Connor Wong,Luis Medina,0,d5187efd-2ae3-481c-9e21-0e72628d6e3c,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
26,2024-07-11,746935,Lineout,field_out,True,807799,665622,Masataka Yoshida,Luis Medina,0,757783c7-d509-49ee-8b2e-72e01fa3b1a1,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
27,2024-07-11,746935,Strikeout,strikeout,True,667670,656557,Brent Rooker,Tanner Houck,0,452388b7-c890-4bf9-8675-664296d7a7de,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-07-11,746935,Strikeout,strikeout,True,671732,656557,Lawrence Butler,Tanner Houck,0,bd74b382-69c2-4f18-ae7a-57debd769c0e,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-07-11,746935,Groundout,field_out,True,680869,656557,Zack Gelof,Tanner Houck,0,fb4dabc4-6d4e-4a07-9feb-663723e9669c,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,0.022,0.255,0.423,-0.99,1.83,0.49,1.85,87.1,88.4,93.4,83.1,0.191,0.275,0.294,0.275,0.344,0.129,0.188,0.234,0.233,0.2,0.4,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-07-11,746935,Home Run,home_run,False,677800,665622,Wilyer Abreu,Luis Medina,0,14d5a15b-367e-456e-b391-1b456165a7eb,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
31,2024-07-11,746935,Groundout,field_out,True,642086,665622,Dominic Smith,Luis Medina,0,f0488347-d8d9-40de-8c42-c64d0d221437,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
32,2024-07-11,746935,Groundout,field_out,True,678882,665622,Ceddanne Rafaela,Luis Medina,0,b118f977-d765-4d77-be7d-2e47fcf7a88f,665622.0,luismedina,Medina,Right,Luis Medina,OAK,5.18,4.48,40.0,95.0,105.0,96.0,0.81,7.2,4.5,9.68,0.9,0.94,0.291,0.457,0.173,0.307,0.438,108.0,97.0,97.0,111.0,90.0,95.0,,,,,,,0.143,,,0.251,,,-2.94,-0.29,,,95.9,85.8,0.262,0.357,0.308,0.429,0.667,0.118,,,,,,,103.0,88.0,87.0,107.0,102.0,104.0,100.0,98.0,96.0,0.425,0.101,0.079,0.46,-0.18,-2.65,95.9,89.6,81.2,0.238,0.365,0.122,0.353,0.529,0.067,0.154,0.308,0.433
