,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-09,747090,Pop Out,field_out,True,668715,450203,Spencer Steer,Charlie Morton,0,3f4bd1bf-fafa-4687-9b65-86e704dcaa87,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
1,2024-09-09,747090,Strikeout,strikeout,True,682829,450203,Elly De La Cruz,Charlie Morton,0,8f698b61-b30c-4554-99ca-8cfa1ec0be05,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
2,2024-09-09,747090,Flyout,field_out,True,663886,450203,Tyler Stephenson,Charlie Morton,0,de3f7ec6-d0de-4e39-a791-b37d9f248661,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
3,2024-09-09,747090,Strikeout,strikeout,True,671739,607259,Michael Harris II,Nick Martinez,0,a57805c7-5d7a-411c-b2d9-6ffdf71ad0dc,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
4,2024-09-09,747090,Pop Out,field_out,True,624585,607259,Jorge Soler,Nick Martinez,0,5d5a1935-99bf-40e4-8f56-fcc44915b6be,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
5,2024-09-09,747090,Walk,walk,False,542303,607259,Marcell Ozuna,Nick Martinez,0,19498d25-9c73-4316-837f-567eae80e8cd,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
6,2024-09-09,747090,Single,single,False,621566,607259,Matt Olson,Nick Martinez,1,fc4d389e-eb92-40b6-a1bd-94075b6b5f21,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
7,2024-09-09,747090,Groundout,field_out,True,669221,607259,Sean Murphy,Nick Martinez,0,868e8ef8-9685-41b6-b132-e897f820b9c3,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.46,3.39,122.1,109.0,99.0,107.0,0.789,7.21,1.32,8.68,0.96,0.9,0.253,0.395,0.197,0.237,0.439,114.0,114.0,117.0,108.0,102.0,105.0,93.0,111.0,110.0,84.0,103.0,96.0,96.0,108.0,104.0,0.163,0.234,0.203,0.121,0.212,0.77,0.78,0.82,-2.21,1.09,92.6,89.0,80.1,92.0,80.9,0.382,0.676,0.27,0.213,0.343,0.206,0.211,0.325,0.404,0.227,0.373,0.075,0.305,0.467,0.118,102.0,109.0,110.0,0.067,-0.88,84.9,0.25,0.429,0.385,,,,,,,,,,,,
8,2024-09-09,747090,Hit By Pitch,hit_by_pitch,False,670770,450203,TJ Friedl,Charlie Morton,0,23dc4faa-686b-44b4-8269-9dd25a910323,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
9,2024-09-09,747090,Double,double,False,664034,450203,Ty France,Charlie Morton,1,6e1ada74-d43f-46aa-baa0-608f75aa7553,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.11,4.52,149.0,98.0,95.0,97.0,0.755,9.36,3.44,8.4,1.27,1.45,0.233,0.434,0.146,0.34,0.409,87.0,96.0,94.0,122.0,98.0,108.0,70.0,100.0,89.0,78.0,96.0,88.0,74.0,92.0,87.0,0.096,0.289,0.081,0.422,0.112,-1.3,-1.26,0.61,0.65,-1.03,94.1,88.5,84.9,93.5,81.5,0.203,0.319,0.344,0.28,0.51,0.183,0.279,0.541,0.324,0.321,0.434,0.076,0.313,0.625,0.148,,,,,,,,,,,,,,,,,,,,,
