,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-08,747169,Strikeout,strikeout,True,656941,656756,Kyle Schwarber,Jordan Montgomery,0,db8fcddc-a2c9-4703-bec2-fb6fe95eb579,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
1,2024-08-08,747169,Groundout,field_out,True,607208,656756,Trea Turner,Jordan Montgomery,0,922e2382-4ac0-4119-afd2-4f1f9a9de14c,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
2,2024-08-08,747169,Single,single,False,547180,656756,Bryce Harper,Jordan Montgomery,0,ccfc9e94-4439-43d7-a07e-2c36232c25d9,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
3,2024-08-08,747169,Flyout,field_out,True,664761,656756,Alec Bohm,Jordan Montgomery,0,3166bbf8-58c4-4654-8321-ed817f9cd001,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
4,2024-08-08,747169,Flyout,field_out,True,606466,663465,Ketel Marte,Kolby Allard,0,44eb9b28-057e-43aa-9d3c-e48c632f0d4f,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
5,2024-08-08,747169,Single,single,False,664983,663465,Jake McCarthy,Kolby Allard,0,927249d8-77b8-4568-b8ca-32d0713e846c,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
6,2024-08-08,747169,Single,single,False,666971,663465,Lourdes Gurriel Jr.,Kolby Allard,1,ef12487f-078f-4635-a1f8-541e640c5160,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
7,2024-08-08,747169,Grounded Into DP,grounded_into_double_play,True,605137,663465,Josh Bell,Kolby Allard,1,08484c35-30d3-4eab-997e-0336fed48415,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
8,2024-08-08,747169,Groundout,field_out,True,592663,656756,J.T. Realmuto,Jordan Montgomery,0,53fa7e24-36b7-40d6-ad4e-8891c7e1aa1d,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
9,2024-08-08,747169,Single,single,False,592206,656756,Nick Castellanos,Jordan Montgomery,0,9fc84026-f6c2-4a2f-8790-e8f8a737c5f6,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
