,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,wFA/C,wSL/C,wKC/C,vFA,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-07-28,747173,Single,single,False,457705,700270,Andrew McCutchen,Yilber Diaz,0,bf196748-3cad-4baf-906b-c5f0d145faac,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-28,747173,Walk,walk,False,665833,700270,Oneil Cruz,Yilber Diaz,1,0544cfc6-3786-4730-8b2a-e4c1d192e080,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-28,747173,Strikeout,strikeout,True,656582,700270,Connor Joe,Yilber Diaz,0,3a0affab-791c-4cd3-a60c-7f70b225f73d,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-28,747173,Pop Out,field_out,True,641943,700270,Joshua Palacios,Yilber Diaz,0,906e8ac5-b189-43ac-a34f-9e7b9f8ace7c,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-28,747173,Forceout,force_out,True,663647,700270,Ke'Bryan Hayes,Yilber Diaz,1,efb2db6a-7d74-4aa8-ab28-bc2bba9f7fc7,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-28,747173,Flyout,field_out,True,682998,656605,Corbin Carroll,Mitch Keller,0,4e06fe35-0f21-4138-98f2-fccd53eda019,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,88.0,103.0,96.0,132.0,104.0,113.0,,,,0.313,0.241,,0.37,-0.54,,94.5,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,104.0,105.0,101.0,112.0,98.0,105.0,83.0,101.0,94.0,96.0,99.0,98.0,0.224,0.123,0.093,0.007,-0.11,0.37,-0.46,-11.28,90.5,90.2,93.6,78.4,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.75,1.25,0.0,,,,,,,,,
6,2024-07-28,747173,Groundout,field_out,True,672695,656605,Geraldo Perdomo,Mitch Keller,0,582e0776-1ff5-4a7c-bfdd-249b5b9a5cee,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,88.0,103.0,96.0,132.0,104.0,113.0,,,,0.313,0.241,,0.37,-0.54,,94.5,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,104.0,105.0,101.0,112.0,98.0,105.0,83.0,101.0,94.0,96.0,99.0,98.0,0.224,0.123,0.093,0.007,-0.11,0.37,-0.46,-11.28,90.5,90.2,93.6,78.4,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.75,1.25,0.0,,,,,,,,,
7,2024-07-28,747173,Walk,walk,False,592626,656605,Joc Pederson,Mitch Keller,0,ff43af46-a119-479a-9e08-60a3de686aee,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,88.0,103.0,96.0,132.0,104.0,113.0,,,,0.313,0.241,,0.37,-0.54,,94.5,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,104.0,105.0,101.0,112.0,98.0,105.0,83.0,101.0,94.0,96.0,99.0,98.0,0.224,0.123,0.093,0.007,-0.11,0.37,-0.46,-11.28,90.5,90.2,93.6,78.4,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.75,1.25,0.0,,,,,,,,,
8,2024-07-28,747173,Strikeout,strikeout,True,572233,656605,Christian Walker,Mitch Keller,0,34d9cec9-f2e9-44a5-9be4-be7a4c12526a,656605.0,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,3.84,3.92,152.1,102.0,100.0,100.0,0.809,8.15,2.48,8.68,1.0,1.09,0.289,0.384,0.14,0.318,0.446,88.0,103.0,96.0,132.0,104.0,113.0,,,,0.313,0.241,,0.37,-0.54,,94.5,85.0,,0.25,0.388,0.236,0.302,0.54,0.233,0.265,0.529,0.286,104.0,105.0,101.0,112.0,98.0,105.0,83.0,101.0,94.0,96.0,99.0,98.0,0.224,0.123,0.093,0.007,-0.11,0.37,-0.46,-11.28,90.5,90.2,93.6,78.4,0.248,0.355,0.129,0.208,0.352,0.237,0.243,0.514,0.207,0.75,1.25,0.0,,,,,,,,,
9,2024-07-28,747173,Strikeout,strikeout,True,669261,700270,Jack Suwinski,Yilber Diaz,0,502d6347-2f7f-4afe-bb68-0187e4fda3f3,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-07-28,747173,Groundout,field_out,True,669707,700270,Jared Triolo,Yilber Diaz,0,d274860e-81b6-4745-b438-58a082fb042a,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-07-28,747173,Groundout,field_out,True,678225,700270,Ji Hwan Bae,Yilber Diaz,0,207e4e31-554b-4b57-8a16-7cec33fc9770,700270.0,yilberdiaz,Diaz,Right,Yilber Diaz,ARI,4.05,4.29,20.0,90.0,74.0,89.0,0.822,6.3,3.6,8.1,0.9,0.95,0.311,0.311,0.131,0.377,0.441,73.0,93.0,86.0,86.0,99.0,103.0,57.0,65.0,77.0,0.597,0.253,0.15,-0.76,1.04,0.7,95.9,83.4,78.2,0.278,0.5,0.105,0.154,0.154,0.407,0.143,0.286,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
