,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,SL%,wFC/C,wFS/C,wSL/C,vFC,vFS,vSL,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff
0,2024-10-17,775303,Home Run,home_run,False,660271,500779,Shohei Ohtani,Jose Quintana,0,00066095-9ef3-4a0c-a95e-981a63dff5ef,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-10-17,775303,Flyout,field_out,True,605141,500779,Mookie Betts,Jose Quintana,0,66d60c16-eb2e-422a-af25-be34e77b030d,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-10-17,775303,Groundout,field_out,True,606192,500779,Teoscar Hernández,Jose Quintana,0,e45eac2d-8067-430d-9e41-54422f6bdd3e,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-10-17,775303,Strikeout,strikeout,True,669242,500779,Tommy Edman,Jose Quintana,0,fff029e2-a905-407e-b2a2-2baa8d7d55ad,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-10-17,775303,Groundout,field_out,True,596019,808967,Francisco Lindor,Yoshinobu Yamamoto,0,2bb23b28-0541-40a7-87e7-4d7ea2cdb326,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
5,2024-10-17,775303,Home Run,home_run,False,668901,808967,Mark Vientos,Yoshinobu Yamamoto,0,408ffe71-a68f-4540-a8a7-1df8e71ccddb,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
6,2024-10-17,775303,Strikeout,strikeout,True,624413,808967,Pete Alonso,Yoshinobu Yamamoto,0,cc6ab35c-deae-48c5-a134-153c9aab58b5,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
7,2024-10-17,775303,Strikeout,strikeout,True,607043,808967,Brandon Nimmo,Yoshinobu Yamamoto,0,f83bbe99-6038-490a-8301-148ff30b93e9,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
8,2024-10-17,775303,Flyout,field_out,True,571771,500779,Enrique Hernández,Jose Quintana,0,31be0384-4244-4cdc-8edc-83b1391aeb81,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-10-17,775303,Walk,walk,False,571970,500779,Max Muncy,Jose Quintana,0,305a242e-b8b0-4c50-a0b0-985fa59ab8e4,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-10-17,775303,Forceout,force_out,True,669257,500779,Will Smith,Jose Quintana,1,199fd1ad-353b-47cb-8071-416e8b9e6fad,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-10-17,775303,Forceout,force_out,True,681624,500779,Andy Pages,Jose Quintana,1,fe5b2fcc-a029-454d-ac76-8592f9eafd9e,500779.0,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,76.0,97.0,91.0,0.304,0.225,0.278,0.193,-0.32,0.82,-0.04,0.5,90.7,85.7,90.8,77.7,0.249,0.431,0.131,0.265,0.444,0.264,0.227,0.427,0.169,0.203,0.26,0.367,0.195,0.366,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-10-17,775303,Strikeout,strikeout,True,516782,808967,Starling Marte,Yoshinobu Yamamoto,0,b58accbf-2c24-4fe2-990e-8bc794db0924,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
13,2024-10-17,775303,Strikeout,strikeout,True,502110,808967,J.D. Martinez,Yoshinobu Yamamoto,0,57aed4f8-5e87-4fbc-a1c4-9789b3725ea3,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
14,2024-10-17,775303,Single,single,False,578428,808967,Jose Iglesias,Yoshinobu Yamamoto,0,406c474d-2775-4357-b2cf-b0ae9c220f7c,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,0.029,0.404,0.231,,0.77,-1.65,1.14,,95.5,,94.9,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,,,,116.0,110.0,120.0,91.0,97.0,91.0,121.0,112.0,119.0,0.061,0.242,0.033,0.28,0.25,0.53,91.5,90.2,86.3,0.17,0.266,0.386,0.35,0.55,0.2,0.158,0.211,0.357,,,
