date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2023-07-28,7:15 PM.,BOS,SF,home,Clear.,62,676710,2B,3,0,0,0,0,0,0,0,0,1,2,0.175,0.231,0.267,0.498,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.04,3.25,129.1,102.0,105.0,104.0,0.761,9.39,2.51,7.45,1.18,0.71,0.219,0.427,0.188,0.319,0.418,,,,111.0,107.0,108.0,113.0,110.0,113.0,92.0,101.0,103.0,108.0,94.0,95.0,0.391,0.281,0.132,0.119,,1.44,0.35,1.5,-1.47,,93.6,88.6,,82.5,79.4,0.163,0.326,0.258,0.15,0.25,0.376,0.34,0.642,0.2,0.289,0.43,0.244,,,,,,,,,,,,,,,,,,,,,,0.214,0.357,0.214,88.0,95.0,103.0,0.077,-0.82,82.4,,,,,,
2023-07-26,6:45 PM.,OAK,SF,home,Cloudy.,61,676206,2B,1,0,1,0,0,0,1,0,0,0,0,0.179,0.236,0.274,0.51,676206,freddytarnok,Tarnok,Right,Freddy Tarnok,OAK,4.91,7.3,14.2,94.0,105.0,96.0,0.798,8.59,6.75,6.75,2.45,0.43,0.225,0.4,0.125,0.375,0.387,80.0,82.0,83.0,108.0,95.0,98.0,118.0,94.0,97.0,,,,,,,0.516,,0.258,,0.122,-1.64,,-2.68,,3.78,95.2,,85.8,86.3,,0.3,0.633,0.147,0.2,0.8,0.214,0.0,0.0,0.222,,,,0.0,0.0,0.529,83.0,108.0,97.0,,,,,0.105,,5.02,,79.8,,,,,,,,,,,,,,,,,,,,,
2023-07-25,6:46 PM.,OAK,SF,home,Partly Cloudy.,67,605463,2B,3,0,0,0,0,0,0,0,0,1,2,0.172,0.23,0.267,0.497,605463,taylerscott,"Scott, Tay",Right,Tayler Scott,- - -,5.6,5.16,17.2,97.0,97.0,101.0,0.791,8.66,5.09,11.72,1.53,0.72,0.328,0.293,0.103,0.448,0.391,118.0,79.0,89.0,68.0,88.0,86.0,115.0,101.0,112.0,,,,,,,0.089,,0.473,,0.112,0.01,,-0.15,,-4.09,94.0,,87.3,84.1,,0.143,0.143,0.267,0.25,0.417,0.273,,,,,,,0.125,0.5,0.5,,,,72.0,99.0,92.0,0.325,,-4.04,,93.8,,0.522,0.957,0.125,,,,,,,,,,,,,,,,,,
2023-07-23,1:35 PM.,WSH,SF,away,Partly Cloudy.,87,669022,SS,3,0,0,0,0,0,0,0,0,2,1,0.177,0.236,0.274,0.51,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,112.0,98.0,100.0,101.0,97.0,102.0,,,,,,,0.595,,0.188,,0.029,-0.27,,0.77,,1.1,95.0,,86.5,88.5,,0.279,0.503,0.216,0.213,0.415,0.375,0.257,0.416,0.379,,,,0.188,0.25,0.382,72.0,99.0,104.0,,,,,0.188,,-0.85,,83.2,,,,,,,,,,,,,,,,,,,,,
2023-07-22,7:06 PM.,WSH,SF,away,Partly Cloudy.,84,680686,2B,3,0,0,0,0,0,0,0,0,0,1,0.182,0.242,0.282,0.524,680686,josiahgray,"Gray, Js",Right,Josiah Gray,WSN,3.91,5.03,159.0,95.0,88.0,91.0,0.762,8.09,4.53,8.6,1.25,0.92,0.253,0.453,0.21,0.313,0.389,44.0,96.0,90.0,82.0,91.0,83.0,84.0,92.0,96.0,,,,95.0,95.0,83.0,0.166,0.181,0.299,,0.016,-1.21,-0.09,-0.07,,0.6,93.5,88.8,88.6,85.1,,0.291,0.557,0.2019999999999999,0.163,0.233,0.429,0.221,0.358,0.349,0.243,0.461,0.205,0.286,0.357,0.1,96.0,95.0,97.0,93.0,101.0,90.0,0.176,0.161,0.15,0.24,93.1,82.2,0.313,0.385,0.138,,,,,,,,,,,,,,,,,,
2023-07-21,7:05 PM.,WSH,SF,away,Partly Cloudy.,87,663623,2B,1,0,0,0,0,0,0,0,1,0,0,0.187,0.248,0.29,0.538,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,92.0,100.0,94.0,,,,,,,,,,0.356,,,,0.051,-0.01,,,,1.21,94.5,,87.8,,,0.208,0.376,0.192,,,,0.197,0.362,0.257,,,,0.25,0.5,0.156,110.0,100.0,103.0,101.0,101.0,98.0,0.287,0.306,-0.75,0.08,93.9,80.9,0.348,0.525,0.093,,,,,,,,,,,,,,,,,,
2023-07-20,12:36 PM.,CIN,SF,away,Cloudy.,85,671096,2B,2,0,0,0,0,0,0,0,1,2,0,0.189,0.243,0.292,0.535,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,72.0,96.0,91.0,81.0,99.0,91.0,106.0,107.0,113.0,,,,,,,0.501,,0.165,,0.163,-0.02,,1.61,,0.99,92.7,,86.6,82.9,,0.249,0.459,0.198,0.174,0.304,0.29,0.367,0.65,0.26,,,,0.203,0.27,0.3939999999999999,99.0,103.0,103.0,,,,,0.171,,-2.27,,80.9,,,,,,,,,,,,,,,,,,,,,
2023-07-19,7:11 PM.,CIN,SF,away,Partly Cloudy.,82,668933,2B,3,0,0,0,0,0,0,0,1,1,2,0.192,0.241,0.298,0.539,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,166.0,102.0,114.0,,,,116.0,98.0,100.0,,0.529,0.373,,0.0,,0.15,-0.37,,-25.75,,95.8,90.4,88.3,,,,,0.221,0.461,0.3289999999999999,,,,0.292,0.436,0.171,,,,,,,57.0,90.0,82.0,0.097,,-1.17,,96.5,,0.286,0.429,0.1,,,,,,,,,,,,,,,,,,
2023-07-18,8:31 PM.,CIN,SF,away,Cloudy.,78,596133,2B,3,3,1,0,0,0,0,0,2,2,0,0.198,0.241,0.307,0.548,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,,,,99.0,103.0,102.0,0.435,0.11,0.137,0.118,0.2,-1.47,0.87,-2.22,-1.56,-2.01,94.0,90.3,86.1,85.8,81.7,0.311,0.543,0.175,0.235,0.294,0.321,0.255,0.691,0.1669999999999999,0.218,0.473,0.252,0.316,0.547,0.3229999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-17,7:11 PM.,CIN,SF,away,Partly Cloudy.,85,682227,2B,4,1,1,1,0,0,0,0,0,2,1,0.194,0.223,0.306,0.529,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,64.0,99.0,86.0,132.0,104.0,113.0,,,,106.0,102.0,98.0,0.372,0.298,0.102,,0.165,-0.15,1.71,-1.33,,-0.51,92.8,89.3,84.0,81.7,,0.269,0.433,0.171,0.0,0.0,0.273,0.333,0.6,0.143,0.252,0.433,0.185,0.183,0.39,0.3989999999999999,98.0,96.0,103.0,,,,,0.064,,-1.75,,73.1,,,,,,,,,,,,,,,,,,,,,
