date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023-09-30,6:07 PM.,LAA,OAK,away,Overcast.,66,681806,DH,3,0,0,0,0,0,0,0,0,1,2,0.226,0.293,0.357,0.65,681806,andrewwantz,Wantz,Right,Andrew Wantz,LAA,3.89,4.04,39.1,101.0,112.0,103.0,0.762,7.55,3.43,6.41,0.92,0.6,0.234,0.414,0.261,0.279,0.418,88.0,108.0,99.0,,,,112.0,99.0,99.0,,,,120.0,105.0,115.0,,0.389,0.26,,0.064,-1.07,,4.53,,0.16,94.0,87.7,,83.8,,0.167,0.25,0.444,0.067,0.089,0.258,0.295,0.568,0.244,,,,,,,,,,109.0,97.0,99.0,0.287,,1.1,,89.4,,0.244,0.439,0.258,,,,,,,,,,,,,,,,,,
2023-09-27,6:41 PM.,MIN,OAK,away,Partly Cloudy.,69,641154,PH,0,0,0,0,0,0,0,0,0,0,0,0.23,0.297,0.364,0.661,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,0.106,0.345,0.214,0.125,0.211,0.1,2.08,1.34,0.25,-0.17,94.9,88.4,94.5,84.4,82.5,0.257,0.41,0.284,0.173,0.287,0.366,0.268,0.468,0.315,0.278,0.342,0.126,0.202,0.33,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-24,1:07 PM.,DET,OAK,home,Sunny.,69,593958,C,2,0,1,0,0,0,0,0,1,0,1,0.23,0.293,0.364,0.657,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,0.093,0.454,0.072,,0.189,0.65,1.11,3.12,,0.71,92.2,85.9,92.4,84.5,,0.233,0.292,0.317,0.089,0.178,0.395,0.278,0.431,0.222,0.165,0.228,0.135,,,,,,,90.0,101.0,98.0,0.192,,0.51,,88.8,,0.2,0.471,0.1939999999999999,,,,,,,,,,,,,,,,,,
2023-09-21,6:41 PM.,DET,OAK,home,Clear.,64,669373,DH,2,0,0,0,0,0,0,0,0,1,1,0.227,0.287,0.362,0.649,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,,,,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,0.122,0.36,0.207,,0.244,2.49,2.7,-0.49,,3.25,95.8,84.3,95.9,87.6,,0.167,0.205,0.506,0.224,0.448,0.24,0.206,0.299,0.256,0.229,0.286,0.173,0.143,0.214,0.36,81.0,90.0,93.0,,,,,0.068,,0.54,,76.4,,,,,,,,,,,,,,,,,,,,,
2023-09-16,1:07 PM.,SD,OAK,home,Overcast.,68,663362,C,4,0,1,0,0,0,0,0,0,0,3,0.23,0.291,0.366,0.657,663362,mattwaldron,Waldron,Right,Matt Waldron,SDP,4.35,4.48,41.1,106.0,88.0,101.0,0.832,6.75,2.61,8.49,1.96,0.96,0.238,0.415,0.215,0.308,0.456,,,,,,,76.0,105.0,98.0,81.0,106.0,95.0,101.0,100.0,109.0,0.236,0.205,0.16,,,-0.95,0.75,-0.44,,,91.3,,91.3,79.8,,,,,0.269,0.5,0.204,0.259,0.519,0.217,0.239,0.457,0.095,,,,,,,104.0,114.0,109.0,0.131,,0.15,,86.7,,0.214,0.464,0.193,,,,,,,,,,,,,76.6,0.267,-1.01,0.242,0.485,0.247
2023-09-10,1:38 PM.,TEX,OAK,away,Roof Closed.,74,592351,PH,1,0,0,0,0,0,0,0,0,0,0,0.229,0.291,0.369,0.66,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,0.424,0.398,0.062,0.116,-1.83,,2.33,-1.69,1.71,95.7,88.8,,87.2,78.2,0.211,0.268,0.213,0.105,0.211,0.324,0.346,0.551,0.179,,,,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,6:09 PM.,TEX,OAK,away,Roof Closed.,74,543135,PH,1,0,0,0,0,0,0,0,0,1,1,0.231,0.293,0.372,0.665,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,101.0,113.0,109.0,,0.372,0.04,0.135,,0.41,,-3.23,0.86,,95.1,,,83.9,76.0,,,,0.303,0.606,0.1369999999999999,0.234,0.423,0.183,,,,0.2,0.22,0.417,,,,86.0,98.0,92.0,0.176,,1.33,,90.6,,0.238,0.417,0.198,125.0,101.0,106.0,0.276,1.26,87.9,,,,0.196,0.314,0.355,,,,,,
2023-09-06,12:37 PM.,TOR,OAK,home,Sunny.,70,547943,C,4,2,2,0,0,1,2,0,0,0,0,0.232,0.295,0.374,0.669,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,0.095,0.317,,0.171,0.228,-0.51,3.34,,-1.45,-2.1,88.6,78.1,87.7,,68.9,0.276,0.448,0.25,,,,0.265,0.633,0.119,0.133,0.133,0.091,0.286,0.429,0.352,,,,92.0,107.0,97.0,0.189,,1.27,,85.1,,0.238,0.357,0.207,,,,,,,,,,,,,,,,,,
2023-09-03,1:07 PM.,LAA,OAK,home,Partly Cloudy.,71,542881,DH,3,1,1,0,0,0,0,0,0,2,3,0.225,0.29,0.351,0.641,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,0.055,0.374,0.007,0.002,0.338,-1.25,-3.61,-1.06,-0.33,0.08,90.1,80.0,88.5,78.1,72.9,0.238,0.381,0.3979999999999999,0.2,0.2,0.3329999999999999,0.301,0.566,0.193,0.36,0.68,0.102,,,,,,,104.0,103.0,98.0,0.224,,0.48,,85.1,,0.239,0.366,0.268,,,,0.001,-4.72,90.1,,,,,,,,,,,,
2023-09-01,6:40 PM.,LAA,OAK,home,Cloudy.,65,663776,1B,1,0,0,0,0,0,0,0,1,0,0,0.223,0.289,0.351,0.64,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,0.111,0.256,0.285,0.09,0.258,-1.22,0.36,0.02,0.27,0.3,93.0,83.0,93.2,86.5,76.5,0.184,0.33,0.432,0.2,0.5,0.306,0.336,0.507,0.156,0.269,0.327,0.129,0.286,0.286,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
