date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C
2023-05-27,1:07 PM.,HOU,OAK,home,Partly Cloudy.,62,664285,1B,3,0,0,0,0,0,0,0,0,0,1,0.221,0.281,0.385,0.666,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.468,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,0.189,0.405,0.4379999999999999,,,,0.182,0.182,0.435,,,,0.274,0.455,0.126,0.158,0.211,0.402,96.0,98.0,94.0,0.157,0.73,90.1,0.231,0.342,0.311,,,,,,,,,
2023-05-23,6:40 PM.,SEA,OAK,away,Cloudy.,62,594835,1B,3,0,0,0,0,0,0,0,0,0,2,0.228,0.288,0.396,0.684,594835,marcogonzales,"Gonzales, M",Left,Marco Gonzales,SEA,5.22,5.27,50.0,109.0,87.0,101.0,0.818,6.12,3.24,9.9,0.9,1.16,0.202,0.46,0.129,0.294,0.429,96.0,108.0,105.0,78.0,104.0,96.0,,,,,,,92.0,104.0,90.0,,,,0.002,0.366,0.088,,,0.242,-1.28,-2.98,,6.42,,1.1,89.0,85.9,,88.8,,79.3,,,,0.333,0.556,0.124,0.389,0.667,0.176,,,,,,,0.294,0.353,0.135,89.0,116.0,105.0,0.302,1.36,79.9,0.222,0.358,0.295,,,,,,,,,
2023-05-21,1:12 PM.,HOU,OAK,away,Roof Closed.,73,664285,1B,3,0,1,0,0,0,0,0,0,1,0,0.235,0.296,0.408,0.704,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,118.0,98.0,106.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,99.0,99.0,95.0,,,,0.468,0.001,0.034,,0.087,0.253,-16.35,0.45,,0.93,-0.32,1.07,95.7,89.1,,95.3,84.7,80.2,0.189,0.405,0.4379999999999999,,,,0.182,0.182,0.435,,,,0.274,0.455,0.126,0.158,0.211,0.402,96.0,98.0,94.0,0.157,0.73,90.1,0.231,0.342,0.311,,,,,,,,,
2023-05-16,6:42 PM.,AZ,OAK,home,Clear.,70,674072,1B,2,0,0,0,0,0,0,0,0,2,0,0.232,0.295,0.411,0.706,674072,tommyhenry,Henry,Left,Tommy Henry,ARI,4.15,4.3,89.0,96.0,83.0,91.0,0.788,6.47,3.54,8.7,1.21,0.82,0.277,0.403,0.162,0.317,0.407,95.0,101.0,102.0,72.0,91.0,83.0,,,,92.0,101.0,93.0,,,,,,,,0.49,,,0.127,0.191,-0.88,,,,2.53,0.71,90.7,,,,83.1,79.1,0.158,0.281,0.287,0.292,0.523,0.155,,,,,,,,,,0.229,0.325,0.21,91.0,102.0,99.0,0.193,-0.09,84.0,0.278,0.444,0.331,,,,,,,,,
2023-05-14,1:07 PM.,TEX,OAK,home,Sunny.,71,571760,1B,4,0,0,0,0,0,0,0,0,2,0,0.237,0.301,0.419,0.72,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,80.0,143.0,68.0,107.0,99.0,99.0,,,,94.0,104.0,108.0,,,,,,,,0.579,,,0.252,0.0,0.1,,,,-1.35,-3.87,92.5,,,,82.0,74.4,0.259,0.443,0.296,0.236,0.431,0.256,,,,,,,,,,,,,101.0,97.0,92.0,0.169,-0.11,84.0,0.274,0.452,0.24,,,,,,,,,
2023-05-12,6:41 PM.,TEX,OAK,home,Clear.,65,527048,1B,3,0,0,0,0,0,0,0,1,0,0,0.247,0.313,0.438,0.751,527048,martinperez,"Pérez, M",Left,Martín Pérez,TEX,4.45,4.9,141.2,104.0,74.0,95.0,0.837,5.91,3.11,9.53,1.33,1.28,0.223,0.431,0.139,0.294,0.399,78.0,101.0,100.0,75.0,102.0,99.0,73.0,102.0,95.0,88.0,94.0,96.0,79.0,99.0,88.0,,,,0.428,0.04,0.221,,0.01,0.037,3.25,-2.02,,0.44,2.0,3.35,91.8,89.2,,91.6,83.4,79.1,0.0,0.0,0.2,0.167,0.222,0.146,0.342,0.64,0.1169999999999999,,,,0.244,0.394,0.0969999999999999,0.063,0.063,0.353,71.0,110.0,99.0,0.265,-0.75,84.1,0.316,0.447,0.278,,,,,,,,,
2023-05-09,7:10 PM.,NYY,OAK,away,Partly Cloudy.,62,657376,1B,2,0,0,0,0,0,0,0,0,1,5,0.256,0.316,0.453,0.769,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,,,,,,,68.0,103.0,88.0,109.0,99.0,107.0,96.0,106.0,105.0,,,,0.241,,0.279,,0.274,,,0.27,,-0.2,-0.59,,,91.3,,93.4,86.0,,0.276,0.559,0.263,,,,0.28,0.457,0.222,,,,0.288,0.447,0.11,0.198,0.314,0.345,31.0,95.0,88.0,0.015,-7.35,89.4,0.5,0.5,0.091,146.0,100.0,118.0,0.191,-0.46,83.7,,,
2023-05-08,7:08 PM.,NYY,OAK,away,Clear.,73,641482,1B,2,1,1,0,0,0,0,0,1,0,2,0.262,0.323,0.464,0.787,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,4.97,3.66,63.1,103.0,104.0,104.0,0.79,9.52,2.84,8.38,1.56,0.46,0.233,0.432,0.176,0.29,0.441,,,,102.0,106.0,106.0,138.0,99.0,111.0,92.0,103.0,103.0,110.0,102.0,102.0,,,,0.005,0.521,0.288,,0.158,,0.68,0.39,,4.05,-1.47,,91.6,86.6,,89.3,76.9,,0.2,0.2,0.429,0.213,0.352,0.249,0.26,0.545,0.206,,,,,,,,,,92.0,111.0,110.0,0.028,-6.99,83.4,0.5,0.6,0.294,,,,,,,,,
2023-05-07,1:13 PM.,KC,OAK,away,Sunny.,86,642232,DH,2,0,0,0,0,0,0,0,0,1,1,0.256,0.311,0.463,0.774,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,102.0,98.0,108.0,,,,76.0,108.0,89.0,,,,77.0,106.0,93.0,,,,0.002,0.308,0.248,,,0.26,0.59,1.48,,1.21,,-0.24,87.0,84.2,,88.2,,71.9,,,,0.283,0.37,0.127,0.289,0.378,0.121,,,,,,,0.208,0.386,0.382,61.0,105.0,94.0,0.182,-2.4,78.5,0.329,0.6,0.2769999999999999,,,,,,,,,
2023-05-06,6:16 PM.,KC,OAK,away,Clear.,93,663903,PH,1,0,0,0,0,0,0,0,0,1,1,0.263,0.318,0.475,0.793,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,86.0,101.0,104.0,,,,,,,0.51,0.002,,,0.426,,-2.24,,,-1.24,0.01,,90.9,,,92.1,84.0,,0.0,0.0,0.6,,,,,,,,,,0.339,0.555,0.113,,,,53.0,96.0,88.0,0.063,-0.3,87.7,0.265,0.353,0.104,,,,,,,,,
