date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,ST_ba,ST_slg,ST_whiff
2023-09-30,6:07 PM.,LAA,OAK,away,Overcast.,66,681806,CF,1,0,0,0,0,0,0,0,0,0,2,0.21,0.24,0.345,0.585,681806,andrewwantz,Wantz,Right,Andrew Wantz,LAA,3.89,4.04,39.1,101.0,112.0,103.0,0.762,7.55,3.43,6.41,0.92,0.6,0.234,0.414,0.261,0.279,0.418,88.0,108.0,99.0,,,,112.0,99.0,99.0,,,,120.0,105.0,115.0,,0.389,0.26,,0.064,-1.07,,4.53,,0.16,94.0,87.7,,83.8,,0.295,0.568,0.244,,,,,,,0.167,0.25,0.444,0.067,0.089,0.258,,,,109.0,97.0,99.0,0.287,1.1,89.4,0.244,0.439,0.258,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,6:39 PM.,LAA,OAK,away,Cloudy.,69,681217,CF,4,0,1,0,0,0,0,0,0,1,1,0.212,0.242,0.347,0.589,681217,chasesilseth,Silseth,Right,Chase Silseth,LAA,3.96,4.27,52.1,97.0,93.0,97.0,0.741,9.63,4.47,7.05,1.55,1.68,0.153,0.496,0.117,0.401,0.411,,,,107.0,93.0,97.0,93.0,90.0,85.0,82.0,105.0,97.0,102.0,94.0,102.0,0.148,0.349,0.229,0.024,,-1.53,1.39,1.7,-5.15,,95.0,,94.3,82.0,79.4,0.255,0.553,0.248,0.333,1.333,0.0,0.344,0.469,0.14,,,,0.143,0.571,0.143,,,,99.0,92.0,92.0,0.084,3.24,90.3,0.167,0.167,0.268,84.0,108.0,116.0,0.167,1.35,87.2,0.137,0.294,0.345,,,,,,,,,,,,,,,
2023-09-28,12:13 PM.,MIN,OAK,away,Cloudy.,65,543243,CF,3,0,0,0,0,0,0,0,0,1,1,0.211,0.242,0.351,0.593,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,91.0,98.0,101.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,0.157,0.271,0.205,0.168,0.067,0.61,-0.46,3.25,0.87,-0.63,92.9,87.9,92.8,84.3,79.6,0.301,0.422,0.1639999999999999,0.257,0.371,0.282,0.275,0.413,0.177,0.27,0.405,0.174,0.096,0.117,0.413,0.001,-0.41,72.9,118.0,102.0,102.0,0.131,1.3,87.6,0.265,0.368,0.278,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-27,6:41 PM.,MIN,OAK,away,Partly Cloudy.,69,641154,CF,3,2,2,2,0,0,0,0,0,1,1,0.216,0.248,0.36,0.608,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,90.0,108.0,109.0,93.0,110.0,114.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,0.106,0.345,0.214,0.125,0.211,0.1,2.08,1.34,0.25,-0.17,94.9,88.4,94.5,84.4,82.5,0.268,0.468,0.315,0.202,0.33,0.364,0.278,0.342,0.126,0.257,0.41,0.284,0.173,0.287,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,6:41 PM.,MIN,OAK,away,Overcast.,64,641927,CF,4,0,0,0,0,0,0,0,0,4,2,0.204,0.237,0.333,0.57,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,100.0,108.0,106.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,0.457,0.196,0.067,0.28,0.75,,-0.7,1.44,1.08,91.3,83.7,,81.0,77.5,0.232,0.425,0.2769999999999999,0.194,0.306,0.161,,,,0.226,0.35,0.298,0.255,0.48,0.3289999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-24,1:07 PM.,DET,OAK,home,Sunny.,69,593958,CF,2,0,0,0,0,0,0,0,1,0,1,0.212,0.245,0.346,0.591,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,84.0,117.0,107.0,103.0,107.0,106.0,0.093,0.454,0.072,,0.189,0.65,1.11,3.12,,0.71,92.2,85.9,92.4,84.5,,0.278,0.431,0.222,,,,0.165,0.228,0.135,0.233,0.292,0.317,0.089,0.178,0.395,,,,90.0,101.0,98.0,0.192,0.51,88.8,0.2,0.471,0.1939999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-23,1:07 PM.,DET,OAK,home,Partly Cloudy.,67,622766,CF,3,0,0,0,0,0,0,0,0,0,2,0.216,0.243,0.353,0.596,622766,migueldiaz,"Díaz, M",Right,Miguel Díaz,DET,0.64,2.75,14.0,100.0,105.0,102.0,0.735,10.29,3.21,5.14,0.0,0.93,0.273,0.242,0.182,0.303,0.409,117.0,107.0,112.0,,,,96.0,91.0,89.0,101.0,103.0,99.0,102.0,100.0,101.0,0.269,0.212,0.269,,0.25,4.09,0.01,4.05,,1.3,95.1,88.7,94.4,84.5,,0.091,0.182,0.318,,,,0.333,0.333,0.042,0.235,0.294,0.387,0.0,0.0,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-22,6:40 PM.,DET,OAK,home,Clear.,63,687830,CF,3,1,1,0,0,0,1,0,0,0,0,0.222,0.25,0.364,0.614,687830,sawyergipsonlong,Gipson-Long,Right,Sawyer Gipson-Long,DET,2.7,2.52,20.0,101.0,108.0,103.0,0.662,11.7,3.6,6.3,0.9,0.74,0.271,0.438,0.125,0.208,0.378,121.0,95.0,102.0,,,,112.0,99.0,99.0,115.0,104.0,95.0,94.0,105.0,110.0,0.188,0.238,0.318,,0.244,2.45,4.55,-0.88,,-1.53,93.6,85.8,92.4,82.4,,0.174,0.304,0.1889999999999999,,,,0.083,0.167,0.258,0.176,0.412,0.5,0.273,0.455,0.409,,,,83.0,103.0,101.0,0.012,-1.39,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,12:37 PM.,SEA,OAK,home,Sunny.,69,669923,CF,3,0,1,0,0,0,0,0,0,0,1,0.219,0.25,0.365,0.615,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,0.216,0.394,0.197,,0.018,1.34,0.43,1.03,,-5.31,96.1,86.6,95.8,86.3,,0.234,0.392,0.28,0.265,0.458,0.159,0.261,0.383,0.131,0.5,0.9,0.125,0.264,0.377,0.22,0.115,0.35,81.8,,,,,,,,,,95.0,103.0,110.0,0.061,1.07,84.9,0.143,0.286,0.357,,,,,,,75.1,0.001,0.26,,,,,,
2023-09-18,6:41 PM.,SEA,OAK,home,Clear.,67,693433,CF,2,0,0,0,0,0,0,0,0,1,0,0.215,0.247,0.366,0.613,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,,,,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,0.255,0.469,0.24,,0.037,0.69,1.34,-0.83,,-2.37,95.1,89.7,95.0,86.0,,0.207,0.407,0.303,,,,0.213,0.372,0.208,0.4,0.4,0.222,0.257,0.457,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
