date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff
2023/09/30,6:05 PM.,SF,LAD,away,Overcast.,65,663941,C,3,0,0,0,0,0,0,0,0,0,3,.180,.256,.242,.498,663941,tristanbeck,Beck,Right,Tristan Beck,SFG,3.92,3.71,85.0,99.0,102.0,101.0,0.782,7.2,2.22,8.79,1.06,1.03,0.243,0.384,0.152,0.312,0.43,75.0,84.0,78.0,88.0,97.0,98.0,85.0,96.0,93.0,118.0,102.0,108.0,0.367,0.55,0.079,0.004,3.24,-0.35,-2.73,-2.94,94.7,86.6,85.5,79.2,0.17,0.189,0.174,0.309,0.489,0.23,0.385,0.577,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/28,6:40 PM.,COL,LAD,away,Partly Cloudy.,81,623167,C,3,1,2,0,0,0,0,0,1,1,0,.183,.260,.246,.506,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,122.0,107.0,111.0,0.409,0.097,0.022,0.16,-2.66,-2.44,2.61,0.72,91.9,81.0,80.8,71.6,0.379,0.739,0.174,0.389,0.444,0.14800000000000002,0.125,0.125,0.35700000000000004,0.213,0.32,0.397,87.0,100.0,94.0,0.293,-0.47,87.9,0.287,0.504,0.20199999999999999,49.0,106.0,76.0,0.019,-7.15,90.9,0.6,0.7,0.111,,,,,,,,,,,,,,,,,,
2023/09/26,1:12 PM.,COL,LAD,away,Sunny.,72,502624,C,3,0,1,1,0,0,0,0,1,0,0,.174,.250,.238,.488,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,104.0,114.0,115.0,0.312,0.082,0.041,0.229,-2.17,0.92,-4.22,2.14,93.3,83.9,80.6,77.6,0.351,0.619,0.17300000000000001,0.172,0.172,0.24600000000000002,0.3,0.9,0.125,0.163,0.25,0.287,108.0,98.0,97.0,0.263,0.63,89.2,0.244,0.444,0.226,70.0,96.0,82.0,0.073,-5.45,92.6,0.545,0.955,0.073,,,,,,,,,,,,,,,,,,
2023/09/23,6:10 PM.,SF,LAD,home,Clear.,72,605154,C,3,2,1,0,0,0,0,0,1,1,0,.172,.245,.231,.476,605154,johnbrebbia,Brebbia,Right,John Brebbia,SFG,3.99,3.25,38.1,105.0,108.0,105.0,0.748,11.03,3.29,7.28,1.41,0.54,0.34,0.34,0.14,0.35,0.43,114.0,-42.0,-5.0,,,,107.0,104.0,104.0,108.0,107.0,107.0,0.458,0.539,,0.003,1.09,-0.13,,6.56,94.5,89.2,82.8,,0.2,0.236,0.297,0.227,0.511,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/20,7:10 PM.,DET,LAD,home,Partly Cloudy.,68,681857,C,2,1,0,0,0,0,0,0,1,1,0,.169,.239,.229,.468,681857,reeseolson,Olson,Right,Reese Olson,DET,3.99,4.73,103.2,100.0,104.0,101.0,0.743,8.94,2.86,7.21,1.22,1.17,0.189,0.4,0.13,0.354,0.4,98.0,94.0,97.0,95.0,93.0,95.0,93.0,103.0,101.0,132.0,98.0,104.0,0.285,0.306,0.058,0.151,0.85,-0.14,0.83,0.98,94.8,87.8,84.8,78.8,0.171,0.381,0.158,0.217,0.433,0.41600000000000004,0.167,0.222,0.311,0.208,0.283,0.359,,,,,,,,,,82.0,108.0,100.0,0.2,1.25,94.8,0.278,0.367,0.121,,,,,,,,,,,,,,,,,,
2023/09/17,1:10 PM.,SEA,LAD,away,Partly Cloudy.,64,669302,C,3,1,1,0,0,1,2,0,1,0,1,.171,.238,.232,.470,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,133.0,101.0,99.0,0.419,0.297,,,0.01,1.84,,,95.7,,88.7,,0.28,0.491,0.177,0.211,0.349,0.322,0.214,0.371,0.306,,,,,,,,,,,,,55.0,90.0,81.0,0.003,-11.33,93.7,0.667,1.0,0.25,110.0,95.0,103.0,0.134,0.39,80.3,98.0,103.0,117.0,0.148,0.25,85.6,,,,0.174,0.34,0.35
2023/09/13,7:10 PM.,SD,LAD,home,Clear.,71,605483,C,3,0,0,0,0,0,0,0,0,1,1,.168,.232,.211,.443,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,107.0,91.0,94.0,0.486,0.131,0.198,0.184,0.07,0.68,2.55,2.65,95.5,86.7,88.4,81.0,0.255,0.389,0.195,0.123,0.26,0.536,0.079,0.14,0.563,0.185,0.266,0.46799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/10,1:35 PM.,WSH,LAD,away,Cloudy.,80,592866,C,4,0,2,0,0,0,1,0,0,1,3,.171,.236,.215,.451,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,80.0,107.0,96.0,94.0,114.0,103.0,0.433,0.182,0.069,0.171,-0.77,-1.7,-1.93,-2.25,89.7,83.3,80.9,76.7,0.283,0.563,0.16699999999999998,0.313,0.5,0.281,0.314,0.629,0.2,0.315,0.483,0.19899999999999998,,,,,,,,,,91.0,100.0,95.0,0.146,-0.45,88.2,0.325,0.458,0.188,,,,,,,,,,,,,,,,,,
2023/09/07,6:40 PM.,MIA,LAD,away,Roof Closed.,72,666129,C,5,0,0,0,0,0,0,0,0,1,5,.162,.231,.208,.439,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,80.0,97.0,95.0,79.0,101.0,93.0,100.0,102.0,102.0,0.075,0.258,0.084,0.088,-1.84,0.45,-4.44,0.73,90.8,84.1,82.8,77.7,0.325,0.575,0.159,0.169,0.302,0.408,0.5,1.059,0.2,0.286,0.327,0.327,95.0,100.0,97.0,0.177,1.53,87.5,0.243,0.477,0.247,91.0,102.0,97.0,0.317,1.06,90.5,0.256,0.377,0.107,,,,,,,,,,,,,,,,,,
2023/09/05,6:41 PM.,MIA,LAD,away,Roof Closed.,72,666200,C,3,0,0,0,0,0,0,0,0,1,2,.168,.238,.215,.453,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,,,,106.0,103.0,100.0,111.0,97.0,105.0,0.457,0.289,,0.21,0.93,-0.26,,-0.09,96.7,88.3,85.1,,0.232,0.384,0.19399999999999998,0.233,0.389,0.518,,,,0.248,0.429,0.361,68.0,87.0,76.0,0.004,0.74,91.4,,,,82.0,100.0,97.0,0.04,-0.81,96.5,0.314,0.686,0.102,,,,,,,,,,,,,,,,,,
