date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/09/30,1:43 PM.,CLE,DET,home,Sunny.,72,663474,CF,4,1,0,0,0,0,0,1,1,0,4,.240,.336,.380,.716,663474,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.06,4.64,16.0,94.0,100.0,94.0,0.77,9.0,7.31,6.75,0.56,0.65,0.25,0.386,0.114,0.295,0.397,,,,113.0,107.0,103.0,99.0,92.0,93.0,,,,89.0,86.0,91.0,,,,,0.633,,0.2,0.167,,-0.33,,,1.5,-0.41,,92.4,,,,85.2,78.8,,,,,,,0.22,0.39,0.174,0.083,0.167,0.5770000000000001,0.286,0.429,0.261,,,,,,,,,,,,,,,,,,
2023/09/29,6:40 PM.,CLE,DET,home,Cloudy.,69,615698,CF,5,0,2,0,1,0,2,0,0,0,3,.248,.341,.393,.734,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,103.0,110.0,111.0,75.0,77.0,73.0,86.0,96.0,90.0,,,,103.0,94.0,93.0,0.416,0.01,0.241,,0.109,0.101,-2.44,-0.89,0.18,,1.28,-2.42,93.8,88.1,86.1,93.7,,82.0,0.277,0.428,0.16899999999999998,0.33,0.495,0.221,0.333,0.667,0.2,,,,0.188,0.313,0.158,0.344,0.625,0.182,,,,,,,113.0,104.0,104.0,0.123,-1.13,86.8,0.241,0.362,0.225
2023/09/28,3:10 PM.,KC,DET,home,Overcast.,63,666142,CF,4,1,3,0,0,0,1,0,0,1,0,.241,.338,.375,.713,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,90.0,97.0,103.0,,,,108.0,100.0,100.0,,,,126.0,114.0,125.0,89.0,92.0,87.0,,0.401,0.134,0.104,,0.237,0.24,1.47,,2.79,,2.84,96.5,91.8,86.6,,86.6,,,,,0.27,0.378,0.23800000000000002,0.234,0.411,0.27899999999999997,0.18,0.2,0.4,0.194,0.306,0.295,0.152,0.192,0.344,,,,0.124,-0.05,81.8,,,,,,,,,
2023/09/27,6:40 PM.,KC,DET,home,Overcast.,64,680742,CF,5,0,1,0,0,0,0,0,0,2,0,.222,.325,.361,.686,680742,jonathanbowlan,Bowlan,Right,Jonathan Bowlan,KCR,3.0,5.37,3.0,104.0,106.0,106.0,0.727,9.0,0.0,15.0,3.0,0.6,0.364,0.273,0.273,0.273,0.482,88.0,114.0,115.0,87.0,79.0,98.0,112.0,100.0,103.0,86.0,109.0,99.0,109.0,105.0,109.0,,,,0.125,0.393,,0.411,0.018,0.054,-2.56,,-5.38,1.68,-48.81,2.63,94.9,,87.3,94.7,85.7,76.7,,,,,,,0.25,0.625,0.231,0.333,0.333,0.5379999999999999,,,,,,,,,,,,,,,,,,,,,
2023/09/26,6:40 PM.,KC,DET,home,Cloudy.,65,425844,CF,4,2,2,0,0,1,1,0,0,0,1,.223,.331,.369,.700,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,94.0,103.0,106.0,100.0,113.0,103.0,0.157,0.265,0.07,0.2,0.141,0.166,0.25,-0.94,-0.92,1.12,-2.99,0.06,89.5,85.2,86.5,89.8,79.2,72.5,0.333,0.609,0.081,0.32,0.5,0.18600000000000003,0.276,0.472,0.159,0.214,0.282,0.231,0.386,0.729,0.155,0.241,0.37,0.207,,,,0.0,-3.64,57.9,,,,,,,,,
2023/09/24,1:07 PM.,OAK,DET,away,Sunny.,69,676664,CF,4,1,2,1,0,0,0,0,0,1,2,.212,.325,.333,.658,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,93.0,102.0,106.0,,,,0.001,0.501,,0.346,,0.151,-0.84,,0.63,-0.06,,0.36,93.1,,84.1,92.1,81.4,,,,,,,,0.256,0.478,0.217,0.21,0.395,0.28300000000000003,,,,0.277,0.438,0.225,,,,,,,,,,,,,,,
2023/09/23,1:07 PM.,OAK,DET,away,Partly Cloudy.,67,671212,CF,3,0,1,1,0,0,0,1,1,2,3,.200,.319,.316,.635,671212,joeboyle,Boyle,Right,Joe Boyle,OAK,1.69,2.25,16.0,100.0,132.0,106.0,0.811,8.44,2.81,4.5,0.56,0.55,0.3,0.25,0.175,0.3,0.413,,,,141.0,92.0,103.0,120.0,98.0,103.0,,,,126.0,115.0,127.0,,,,,0.583,,0.321,0.096,,1.62,,,1.53,3.62,,97.8,,,,88.0,81.5,,,,,,,0.156,0.313,0.21600000000000003,0.158,0.211,0.32299999999999995,0.0,0.0,0.16699999999999998,,,,,,,,,,,,,,,,,,
2023/09/21,6:41 PM.,OAK,DET,away,Clear.,64,665622,CF,3,1,1,0,0,0,0,0,1,2,3,.196,.312,.304,.616,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,,,,0.142,0.415,,0.238,0.117,0.087,-0.35,,-0.8,-0.8,-0.73,1.25,96.1,,87.3,95.5,85.3,79.6,0.313,0.406,0.141,,,,0.272,0.494,0.121,0.233,0.456,0.484,0.146,0.366,0.308,0.256,0.282,0.304,,,,,,,,,,,,,,,
2023/09/20,7:10 PM.,LAD,DET,away,Partly Cloudy.,68,676272,CF,4,1,0,0,0,0,0,1,0,1,1,.191,.305,.303,.608,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,107.0,99.0,100.0,153.0,110.0,121.0,,,,0.192,0.289,,0.174,0.185,0.16,1.2,,1.75,-1.0,1.25,0.6,99.0,,88.2,98.8,89.7,80.6,0.258,0.382,0.17800000000000002,,,,0.258,0.367,0.20600000000000002,0.5,0.75,0.25,0.184,0.303,0.36,0.133,0.307,0.39899999999999997,,,,,,,,,,,,,,,
2023/09/19,7:10 PM.,LAD,DET,away,Clear.,68,657571,CF,3,1,1,0,0,1,1,0,0,0,3,.200,.317,.318,.635,657571,calebferguson,Ferguson,Left,Caleb Ferguson,LAD,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.296,0.361,0.166,0.32,0.451,,,,,,,108.0,102.0,101.0,,,,120.0,87.0,98.0,107.0,101.0,99.0,,0.665,0.307,0.028,,,0.19,-0.37,,0.92,,,95.8,86.6,,,80.0,,,,,0.253,0.427,0.271,0.277,0.34,0.26,0.25,0.25,0.125,,,,,,,,,,,,,,,,,,,,,
