date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2023/09/24,1:41 PM.,CLE,BAL,away,Overcast.,68,663474,RF,0,0,0,0,0,0,0,0,0,0,0,.254,.316,.361,.677,663474,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.06,4.64,16.0,94.0,100.0,94.0,0.77,9.0,7.31,6.75,0.56,0.65,0.25,0.386,0.114,0.295,0.397,,,,113.0,107.0,103.0,99.0,92.0,93.0,,,,,,,,0.633,,0.167,,-0.33,,,-0.41,,92.4,,,,78.8,0.286,0.429,0.261,,,,,,,,,,89.0,86.0,91.0,0.2,1.5,85.2,0.22,0.39,0.174,0.083,0.167,0.5770000000000001,,,,,,,,,,,,,,,,,,,,,
2023/09/22,7:10 PM.,CLE,BAL,away,Clear.,72,669456,LF,0,1,0,0,0,0,0,0,0,0,0,.254,.316,.361,.677,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,95.0,94.0,93.0,,0.352,0.269,,0.035,0.87,0.43,,,-4.04,91.3,86.5,87.2,,,0.237,0.368,0.32299999999999995,0.316,0.465,0.293,,,,0.5,0.571,0.083,111.0,107.0,109.0,0.207,0.84,84.6,0.257,0.434,0.09300000000000001,0.18,0.331,0.326,155.0,104.0,109.0,0.137,-1.29,82.5,,,,,,,,,,,,,,,
2023/09/08,7:12 PM.,BOS,BAL,away,Cloudy.,82,656557,RF,0,0,0,0,0,0,0,0,1,0,0,.254,.316,.361,.677,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,5.01,4.21,106.0,100.0,101.0,100.0,0.727,8.41,3.48,8.83,1.19,1.92,0.151,0.489,0.123,0.353,0.418,,,,,,,95.0,96.0,88.0,111.0,102.0,101.0,80.0,100.0,92.0,0.295,0.099,0.108,,,-2.8,0.73,-0.38,,,93.9,91.3,,93.4,,,,,0.229,0.354,0.21600000000000003,0.306,0.507,0.187,,,,113.0,99.0,107.0,0.383,0.98,83.9,0.325,0.55,0.157,0.178,0.301,0.387,,,,,,,67.0,105.0,92.0,0.114,-1.52,87.6,0.31,0.452,0.40399999999999997,,,,,,
2023/09/06,6:39 PM.,LAA,BAL,away,Clear.,77,663776,RF,0,0,0,0,0,0,0,0,0,0,0,.254,.311,.361,.672,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,,,,0.111,0.256,,0.09,0.258,-1.22,,0.36,0.27,0.3,93.0,,83.0,93.2,76.5,0.286,0.286,0.237,,,,0.269,0.327,0.129,0.184,0.33,0.43200000000000005,123.0,100.0,107.0,0.285,0.02,86.5,0.336,0.507,0.156,0.2,0.5,0.306,,,,,,,,,,,,,,,,,,,,,
2023/09/05,6:39 PM.,LAA,BAL,away,Cloudy.,71,672282,CF,3,0,0,0,0,0,0,0,0,1,3,.254,.311,.361,.672,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,,,,,0.432,,0.194,0.054,-0.38,,,0.14,-2.03,94.3,,84.8,,74.7,0.191,0.326,0.28600000000000003,,,,,,,0.242,0.424,0.24600000000000002,124.0,100.0,102.0,0.319,0.91,88.7,0.291,0.505,0.212,0.0,0.0,0.267,,,,,,,,,,,,,,,,,,,,,
2023/09/03,1:10 PM.,AZ,BAL,away,Roof Closed.,78,668678,RF,1,0,0,0,0,0,0,0,0,1,1,.261,.318,.370,.688,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,,,,104.0,104.0,106.0,97.0,95.0,92.0,106.0,99.0,94.0,0.007,0.491,0.092,,0.139,1.59,-2.24,-3.38,,1.05,93.6,90.2,86.8,93.0,,0.21,0.344,0.405,0.352,0.648,0.205,0.286,0.714,0.125,0.21,0.336,0.314,105.0,116.0,112.0,0.045,0.34,87.4,0.238,0.36,0.192,0.25,0.389,0.265,121.0,104.0,112.0,0.227,0.46,82.5,,,,,,,,,,,,,,,
2023/09/02,5:10 PM.,AZ,BAL,away,Roof Closed.,78,677944,RF,0,0,0,0,0,0,0,0,0,0,0,.263,.321,.373,.694,677944,sladececconi,Cecconi,Right,Slade Cecconi,ARI,4.33,4.77,27.0,99.0,96.0,99.0,0.842,6.67,1.33,9.0,1.33,0.91,0.247,0.376,0.118,0.376,0.483,102.0,78.0,85.0,87.0,94.0,101.0,90.0,103.0,98.0,,,,,,,,0.586,,0.098,0.014,0.54,,,-1.57,-1.94,94.1,,81.7,,73.2,0.375,0.375,0.133,,,,,,,,,,111.0,98.0,103.0,0.27,0.2,83.0,0.265,0.5,0.13,0.2,0.32,0.36,,,,,,,,,,0.031,-12.1,80.8,0.333,1.333,0.0,,,,,,
2023/08/29,7:07 PM.,CWS,BAL,home,Overcast.,79,669947,RF,2,2,2,1,0,0,2,2,0,0,0,.263,.321,.373,.694,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,104.0,104.0,106.0,73.0,99.0,93.0,,,,,,,,0.435,,0.165,0.035,0.27,,,-0.51,0.73,92.8,,85.4,,74.0,0.245,0.469,0.34299999999999997,,,,,,,0.111,0.111,0.154,82.0,98.0,101.0,0.366,-1.82,85.4,0.266,0.462,0.14,0.354,0.472,0.23399999999999999,,,,,,,,,,,,,,,,,,,,,
2023/08/28,7:06 PM.,CWS,BAL,home,Cloudy.,79,656629,LF,3,2,1,0,0,0,2,1,1,1,3,.250,.310,.353,.663,656629,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.43,5.77,129.1,91.0,108.0,94.0,0.755,9.32,6.33,8.0,2.02,0.75,0.243,0.41,0.155,0.347,0.384,73.0,82.0,76.0,96.0,97.0,97.0,116.0,89.0,94.0,,,,,,,,0.614,,0.04,0.074,-0.71,,,-0.94,0.15,95.2,,88.7,,80.6,0.158,0.474,0.19399999999999998,,,,,,,0.133,0.3,0.33899999999999997,102.0,97.0,99.0,0.272,-1.5,84.8,0.244,0.462,0.264,0.258,0.516,0.27399999999999997,,,,,,,,,,,,,,,,,,,,,
2023/08/26,7:05 PM.,COL,BAL,home,Partly Cloudy.,90,623167,RF,0,0,0,0,0,0,0,0,0,0,0,.248,.304,.354,.658,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,87.0,100.0,94.0,0.019,0.409,0.293,0.022,0.16,-2.66,-0.47,-7.15,2.61,0.72,91.9,87.9,81.0,90.9,71.6,0.125,0.125,0.35700000000000004,0.287,0.504,0.20199999999999999,0.6,0.7,0.111,0.213,0.32,0.397,122.0,107.0,111.0,0.097,-2.44,80.8,0.379,0.739,0.174,0.389,0.444,0.14800000000000002,,,,,,,,,,,,,,,,,,,,,
