date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023/09/29,7:15 PM.,SF,LAD,away,Partly Cloudy.,62,676775,C,3,2,1,0,0,1,2,0,0,2,0,.259,.357,.437,.794,676775,keatonwinn,Winn,Right,Keaton Winn,SFG,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.211,0.455,0.098,0.366,0.451,,,,,,,91.0,105.0,98.0,119.0,107.0,104.0,0.258,0.035,,,-1.55,2.19,,,95.9,,85.9,,0.24,0.68,0.299,,,,,,,,,,85.0,92.0,90.0,,,,,,,0.153,,,,-0.06,,,95.5,,,,,0.25,0.417,0.2,143.0,99.0,110.0,0.554,1.11,88.7,0.221,0.347,0.344,,,,,,,,,
2023/09/27,6:41 PM.,COL,LAD,away,Clear.,82,663562,C,3,0,1,0,0,0,1,0,0,0,1,.258,.356,.431,.787,663562,noahdavis,Davis,Right,Noah Davis,COL,8.7,4.8,30.0,95.0,85.0,90.0,0.823,7.8,4.5,12.9,1.8,1.31,0.267,0.396,0.129,0.366,0.459,82.0,81.0,79.0,110.0,77.0,95.0,63.0,89.0,80.0,103.0,99.0,102.0,0.017,0.143,0.075,0.092,1.13,0.59,-2.62,-7.33,91.0,84.7,83.8,78.4,0.333,0.333,0.33299999999999996,0.143,0.357,0.22899999999999998,0.267,0.267,0.20800000000000002,0.533,0.867,0.292,75.0,97.0,86.0,,,,95.0,102.0,95.0,0.504,0.17,,0.75,-2.48,,88.3,93.5,,0.143,0.357,0.32,0.4,0.6,0.115,,,,,,,,,,,,,,,,,,
2023/09/26,6:42 PM.,COL,LAD,away,Clear.,78,663372,C,5,0,0,0,0,0,1,0,0,1,4,.258,.356,.432,.788,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,5.82,4.64,43.1,101.0,96.0,100.0,0.81,7.89,5.82,9.35,0.42,1.29,0.241,0.331,0.188,0.248,0.448,93.0,90.0,96.0,91.0,110.0,117.0,96.0,100.0,93.0,95.0,106.0,105.0,0.278,0.313,0.089,0.147,-0.01,1.27,-2.31,2.91,94.8,84.1,88.6,79.7,0.25,0.295,0.225,0.178,0.289,0.163,0.333,0.4,0.11800000000000001,0.08,0.08,0.42100000000000004,103.0,99.0,95.0,,,,,,,0.173,,,,-4.88,,,94.3,,,,,0.475,0.675,0.15,,,,,,,,,,,,,,,,,,
2023/09/24,4:11 PM.,SF,LAD,home,Sunny.,77,676254,C,3,0,0,0,0,0,0,0,1,1,1,.261,.360,.437,.797,676254,ryanwalker,"Walker, R",Right,Ryan Walker,SFG,3.23,3.06,61.1,101.0,115.0,104.0,0.714,11.45,3.52,8.95,1.17,1.18,0.233,0.421,0.233,0.189,0.418,,,,139.0,42.0,53.0,,,,128.0,100.0,113.0,,0.503,0.001,,,-0.84,-5.8,,,,83.2,72.7,,,,0.248,0.473,0.419,,,,,,,101.0,101.0,95.0,,,,,,,0.496,,,,0.41,,,94.8,,,,,0.279,0.356,0.175,,,,,,,,,,,,,,,,,,
2023/09/22,7:10 PM.,SF,LAD,home,Overcast.,67,640455,C,4,0,1,0,0,0,0,0,0,0,4,.262,.360,.439,.799,640455,seanmanaea,Manaea,Left,Sean Manaea,SFG,4.44,4.21,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.143,0.305,0.448,90.0,97.0,94.0,,,,90.0,105.0,95.0,92.0,95.0,98.0,0.562,0.26,,0.17,0.91,-0.93,,1.06,93.6,86.6,82.3,,0.235,0.39,0.233,0.122,0.143,0.36700000000000005,,,,0.224,0.342,0.183,121.0,109.0,108.0,,,,,,,0.008,0.0,,-5.8,-6.19,,90.3,94.0,,,,,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,
2023/09/21,7:10 PM.,SF,LAD,home,Partly Cloudy.,67,690986,C,4,1,1,0,1,0,0,0,0,0,1,.262,.361,.441,.802,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.15,4.55,34.2,99.0,95.0,98.0,0.796,9.09,2.86,7.53,2.08,0.5,0.351,0.361,0.155,0.32,0.427,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,86.0,99.0,105.0,0.607,0.017,0.265,0.111,0.66,-4.23,-2.28,-0.87,93.6,86.6,87.5,82.2,0.182,0.39,0.248,,,,,,,0.25,0.45,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,0.606,0.242,,,
2023/09/19,7:10 PM.,DET,LAD,home,Clear.,68,622766,C,4,0,1,0,0,0,0,0,0,0,2,.263,.362,.438,.800,622766,migueldiaz,"Díaz, M",Right,Miguel Díaz,DET,0.64,2.75,14.0,100.0,105.0,102.0,0.735,10.29,3.21,5.14,0.0,0.93,0.273,0.242,0.182,0.303,0.409,117.0,107.0,112.0,,,,96.0,91.0,89.0,102.0,100.0,101.0,0.212,0.269,,0.25,4.09,4.05,,1.3,95.1,88.7,84.5,,0.091,0.182,0.318,0.0,0.0,0.33299999999999996,,,,0.235,0.294,0.387,101.0,103.0,99.0,,,,,,,0.269,,,,0.01,,,94.4,,,,,0.333,0.333,0.042,,,,,,,,,,,,,,,,,,
2023/09/18,7:11 PM.,DET,LAD,home,Partly Cloudy.,69,593958,C,3,0,0,0,0,0,1,0,0,1,1,.263,.362,.440,.802,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,DET,3.3,4.04,152.2,103.0,83.0,97.0,0.781,8.43,2.83,7.55,0.88,1.1,0.279,0.407,0.152,0.311,0.429,91.0,102.0,103.0,,,,73.0,101.0,91.0,103.0,107.0,106.0,0.454,0.072,,0.189,0.65,3.12,,0.71,92.2,85.9,84.5,,0.278,0.431,0.222,0.089,0.178,0.395,,,,0.233,0.292,0.317,84.0,117.0,107.0,,,,90.0,101.0,98.0,0.093,0.192,,0.51,1.11,,88.8,92.4,,0.2,0.471,0.19399999999999998,0.165,0.228,0.135,,,,,,,,,,,,,,,,,,
2023/09/16,6:41 PM.,SEA,LAD,away,Clear.,72,682243,C,4,1,0,0,0,0,0,0,1,1,3,.265,.365,.443,.808,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,112.0,100.0,107.0,0.585,0.274,0.009,0.056,0.3,0.14,-8.41,0.66,95.1,85.0,85.0,78.2,0.256,0.45,0.271,0.3,0.475,0.174,0.667,1.333,0.125,0.167,0.433,0.179,104.0,101.0,99.0,,,,,,,0.076,,,,1.22,,,95.1,,,,,0.26,0.36,0.096,,,,,,,,,,,,,,,,,,
2023/09/15,7:11 PM.,SEA,LAD,away,Clear.,77,669923,C,3,1,0,0,0,0,0,0,0,2,2,.267,.366,.447,.813,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,126.0,106.0,112.0,0.394,0.197,,0.018,1.34,1.03,,-5.31,96.1,86.6,86.3,,0.234,0.392,0.28,0.264,0.377,0.22,0.265,0.458,0.159,0.5,0.9,0.125,106.0,110.0,109.0,,,,,,,0.216,,0.115,,0.43,0.35,,95.8,81.8,,,,0.261,0.383,0.131,95.0,103.0,110.0,0.061,1.07,84.9,0.143,0.286,0.35700000000000004,,,,,,,75.1,0.001,0.26
