date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/19,6:40 PM.,TB,LAA,away,Dome.,72,1.0,3,4,4,2,0,0,25,6.10
2023/09/17,1:08 PM.,DET,LAA,home,Cloudy.,74,1.0,0,0,0,1,2,0,20,5.48
2023/09/13,1:11 PM.,SEA,LAA,away,Partly Cloudy.,70,1.0,0,0,0,0,1,0,7,5.59
2023/09/11,6:40 PM.,SEA,LAA,away,Clear.,69,1.1,3,1,0,0,2,0,21,5.72
2023/09/07,6:38 PM.,CLE,LAA,home,Clear.,79,1.0,3,2,2,0,0,0,25,5.89
2023/09/05,6:39 PM.,BAL,LAA,home,Cloudy.,71,1.0,1,0,0,0,2,0,17,5.61
2023/09/02,1:07 PM.,OAK,LAA,away,Cloudy.,72,1.0,0,0,0,0,0,0,13,5.74
2023/08/30,1:09 PM.,PHI,LAA,away,Partly Cloudy.,83,0.2,1,2,2,1,1,0,19,5.88
2023/08/28,6:43 PM.,PHI,LAA,away,Partly Cloudy.,77,0.2,1,0,0,0,0,0,12,5.53
2023/08/26,7:10 PM.,NYM,LAA,away,Clear.,82,1.2,3,0,0,0,3,0,33,5.63
2023/08/23,1:09 PM.,CIN,LAA,home,Sunny.,85,0.1,2,2,2,0,0,0,7,5.87
2023/08/22,6:39 PM.,CIN,LAA,home,Clear.,81,1.0,1,0,0,0,1,0,8,5.45
2023/08/18,6:38 PM.,TB,LAA,home,Clear.,81,0.1,1,0,0,0,0,0,9,5.59
2023/08/15,7:08 PM.,TEX,LAA,away,Roof Closed.,74,0.2,1,1,1,0,1,1,10,5.65
2023/08/14,7:07 PM.,TEX,LAA,away,Roof Closed.,74,0.2,2,2,2,1,0,1,21,5.50
2023/08/12,6:16 PM.,HOU,LAA,away,Roof Closed.,73,1.0,1,0,0,0,0,0,13,5.09
2023/08/08,6:39 PM.,SF,LAA,home,Partly Cloudy.,77,1.0,1,1,1,0,0,0,13,5.24
2023/08/07,6:38 PM.,SF,LAA,home,Clear.,78,0.2,3,1,1,0,2,0,13,5.13
2023/08/05,6:07 PM.,SEA,LAA,home,Clear.,84,1.0,1,0,0,1,2,0,25,4.96
2023/08/04,6:38 PM.,SEA,LAA,home,Clear.,82,1.0,1,1,1,1,0,1,13,5.12
2023/07/31,7:21 PM.,ATL,LAA,away,Clear.,89,1.0,0,0,0,0,0,0,10,4.99
2023/07/29,3:11 PM.,TOR,LAA,away,Roof Closed.,68,0.2,3,2,2,2,0,1,27,5.16
2023/07/27,4:11 PM.,DET,LAA,away,Clear.,84,0.1,1,0,0,0,0,0,6,4.66
2023/07/25,6:42 PM.,DET,LAA,away,Overcast.,85,1.0,0,0,0,0,2,0,11,4.71
2023/07/21,6:39 PM.,PIT,LAA,home,Partly Cloudy.,79,0.2,1,0,0,0,0,0,9,4.88
