date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/07,7:09 PM.,DET,NYY,home,Partly Cloudy.,90,2.0,3,2,2,0,3,1,30,4.73
2023/08/31,1:10 PM.,DET,NYY,away,Sunny.,68,1.0,1,0,0,2,2,0,28,4.58
2023/08/27,1:40 PM.,TB,NYY,away,Dome.,72,1.0,1,1,1,0,1,0,23,4.66
2023/08/24,1:09 PM.,WSH,NYY,home,Cloudy.,74,1.0,0,0,0,1,0,0,14,4.58
2023/08/19,1:08 PM.,BOS,NYY,home,Partly Cloudy.,73,3.0,4,2,1,2,1,1,56,4.67
2023/08/14,7:20 PM.,ATL,NYY,away,Partly Cloudy.,91,3.0,4,3,3,3,2,1,49,4.76
2023/08/09,7:11 PM.,CWS,NYY,away,Cloudy.,76,0.1,2,3,3,1,0,0,14,4.50
2023/08/06,1:38 PM.,HOU,NYY,home,Partly Cloudy.,81,1.0,0,0,0,0,1,0,10,3.97
2023/08/04,7:08 PM.,HOU,NYY,home,Cloudy.,74,1.2,1,2,2,2,1,0,40,4.05
2023/08/01,7:08 PM.,TB,NYY,home,Partly Cloudy.,78,1.0,0,0,0,1,0,0,11,3.80
2023/07/30,7:12 PM.,BAL,NYY,away,Clear.,83,2.0,2,0,0,1,3,0,34,3.89
2023/07/25,7:10 PM.,NYM,NYY,home,Cloudy.,70,0.2,0,0,0,1,1,0,11,4.07
2023/07/18,6:38 PM.,LAA,NYY,away,Clear.,82,2.0,1,0,0,0,4,0,26,4.14
2023/07/14,6:40 PM.,COL,NYY,away,Partly Cloudy.,82,1.0,1,1,1,0,0,1,11,4.35
2023/07/06,7:08 PM.,BAL,NYY,home,Clear.,85,0.2,4,6,6,3,0,1,44,4.23
2023/07/04,1:43 PM.,BAL,NYY,home,Partly Cloudy.,75,1.0,1,1,0,0,1,0,15,2.87
2023/07/01,1:17 PM.,STL,NYY,away,Partly Cloudy.,90,0.2,0,0,0,0,1,0,9,2.95
2023/06/29,12:37 PM.,OAK,NYY,away,Sunny.,69,1.0,0,0,0,0,2,0,8,3.00
2023/06/22,7:09 PM.,SEA,NYY,home,Cloudy.,69,2.0,1,0,0,1,4,0,31,3.09
2023/06/16,7:10 PM.,BOS,NYY,away,Cloudy.,73,1.2,3,2,0,0,2,0,34,3.27
2023/06/14,7:47 PM.,NYM,NYY,away,Partly Cloudy.,70,1.1,0,1,0,0,2,0,20,3.45
2023/06/09,7:07 PM.,BOS,NYY,home,Cloudy.,68,0.1,2,1,1,0,1,1,9,3.60
2023/06/06,7:10 PM.,CWS,NYY,home,Cloudy.,68,1.0,0,0,0,0,0,0,12,3.34
2023/06/02,7:10 PM.,LAD,NYY,away,Clear.,67,1.0,1,0,0,0,0,0,17,3.45
2023/05/29,6:42 PM.,SEA,NYY,away,Clear.,68,2.0,0,0,0,1,3,0,29,3.58
2023/05/25,7:09 PM.,BAL,NYY,home,Clear.,66,1.0,0,0,0,0,0,0,10,3.86
2023/05/24,8:41 PM.,BAL,NYY,home,Overcast.,62,1.1,2,1,0,0,1,0,17,4.01
2023/05/21,11:37 AM.,CIN,NYY,away,Sunny.,68,1.1,0,0,0,0,1,0,17,4.24
2023/05/19,6:41 PM.,CIN,NYY,away,Partly Cloudy.,77,1.0,0,0,0,1,1,0,21,4.50
2023/05/18,7:08 PM.,TOR,NYY,away,Roof Closed.,68,1.0,0,0,0,0,2,0,16,4.71
2023/05/14,1:40 PM.,TB,NYY,home,Sunny.,68,2.1,2,1,1,1,3,1,41,4.95
2023/05/11,7:07 PM.,TB,NYY,home,Clear.,78,1.0,1,1,1,2,0,0,22,5.09
2023/05/09,7:10 PM.,OAK,NYY,home,Partly Cloudy.,62,0.2,1,1,1,1,1,1,15,4.86
2023/05/07,1:40 PM.,TB,NYY,away,Dome.,72,0.1,1,1,0,0,0,0,6,4.50
2023/05/05,6:41 PM.,TB,NYY,away,Dome.,72,1.1,0,0,0,0,1,0,25,4.60
2023/05/03,7:09 PM.,CLE,NYY,home,Drizzle.,53,1.0,0,0,0,1,1,0,4,5.02
2023/04/30,1:38 PM.,TEX,NYY,away,Sunny.,82,1.0,2,6,6,4,1,1,41,5.40
2023/04/28,7:07 PM.,TEX,NYY,away,Roof Closed.,74,1.0,0,0,0,0,1,0,7,1.46
2023/04/24,6:41 PM.,MIN,NYY,away,Partly Cloudy.,49,1.1,2,1,0,2,1,0,32,1.59
2023/04/21,7:09 PM.,TOR,NYY,home,Partly Cloudy.,60,2.0,3,2,2,1,4,0,44,1.80
2023/04/18,7:09 PM.,LAA,NYY,home,Clear.,52,1.0,1,0,0,0,1,0,18,0.00
2023/04/11,6:09 PM.,CLE,NYY,away,Clear.,59,2.0,2,0,0,0,1,0,33,0.00
2023/04/09,1:37 PM.,BAL,NYY,away,Partly Cloudy.,55,1.0,1,0,0,1,2,0,19,0.00
2023/04/04,7:09 PM.,PHI,NYY,home,Cloudy.,65,2.0,2,0,0,1,1,0,42,0.00
2023/04/01,4:09 PM.,SF,NYY,home,Sunny.,68,2.0,0,0,0,1,3,0,29,0.00
2023/03/28,12:04 PM.,WSH,NYY,away,Partly Cloudy.,55,1.0,1,0,0,0,1,0,18,5.23
