date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/08/10,1:10 PM.,CLE,TOR,away,Sunny.,75,4.0,4,4,4,3,6,0,93,5.87
2023/08/04,7:13 PM.,BOS,TOR,away,Overcast.,77,6.2,6,3,3,2,5,2,89,5.72
2023/07/29,3:11 PM.,LAA,TOR,home,Roof Closed.,68,4.1,4,1,1,3,6,0,82,5.87
2023/07/23,1:12 PM.,SEA,TOR,away,Sunny.,77,5.1,3,3,3,4,6,1,91,6.10
2023/07/18,7:09 PM.,SD,TOR,home,Partly Cloudy.,73,3.0,3,4,4,5,0,1,92,6.18
2023/07/07,6:40 PM.,DET,TOR,away,Partly Cloudy.,79,6.0,5,1,1,0,8,0,91,5.91
2023/06/05,7:08 PM.,HOU,TOR,home,Overcast.,68,0.1,7,6,6,1,0,1,38,6.36
2023/05/31,7:08 PM.,MIL,TOR,home,Clear.,75,4.0,3,2,2,3,2,1,89,5.46
2023/05/25,1:10 PM.,TB,TOR,away,Dome.,72,3.0,3,5,4,5,6,0,87,5.53
2023/05/20,3:08 PM.,BAL,TOR,home,Overcast.,59,5.2,6,2,2,1,5,1,85,5.15
2023/05/15,7:10 PM.,NYY,TOR,home,Clear.,72,4.0,6,5,5,7,3,2,92,5.40
2023/05/09,6:42 PM.,PHI,TOR,away,Clear.,70,4.2,4,3,3,4,1,1,94,4.83
2023/05/03,7:12 PM.,BOS,TOR,away,Overcast.,50,5.0,8,5,2,1,3,0,103,4.71
2023/04/28,7:10 PM.,SEA,TOR,home,Roof Closed.,68,5.0,6,2,2,4,7,1,100,4.88
2023/04/22,1:08 PM.,NYY,TOR,away,Sunny.,60,7.0,2,0,0,1,5,0,85,5.13
2023/04/16,1:40 PM.,TB,TOR,home,Sunny.,66,4.2,9,7,7,4,5,1,101,6.98
2023/04/11,7:39 PM.,DET,TOR,home,Roof Closed.,68,4.1,4,3,3,5,3,1,94,4.91
2023/04/05,6:40 PM.,KC,TOR,away,Clear.,52,7.0,1,0,0,4,5,0,98,4.35
2023/03/30,3:22 PM.,STL,TOR,away,Sunny.,70,3.1,9,5,5,2,3,2,85,13.50
