date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/13,6:39 PM.,CIN,DET,home,Partly Cloudy.,64,3.0,1,0,0,1,3,0,35,4.45
2023/09/09,6:10 PM.,CWS,DET,home,Cloudy.,67,2.0,0,0,0,1,3,0,31,4.67
2023/09/05,7:08 PM.,NYY,DET,away,Partly Cloudy.,87,2.2,3,1,1,1,4,1,40,4.83
2023/09/02,6:11 PM.,CWS,DET,away,Partly Cloudy.,86,1.0,0,0,0,0,1,0,13,4.89
2023/08/27,1:40 PM.,HOU,DET,home,Sunny.,71,4.2,7,3,3,4,2,1,95,4.98
2023/08/21,6:40 PM.,CHC,DET,home,Cloudy.,78,6.0,3,4,2,2,4,1,92,4.91
2023/08/15,6:41 PM.,MIN,DET,away,Partly Cloudy.,78,5.0,1,0,0,1,6,0,81,5.16
2023/08/09,6:40 PM.,MIN,DET,home,Cloudy.,81,4.2,4,3,3,2,5,2,85,5.80
2023/07/23,12:05 PM.,SD,DET,home,Sunny.,80,6.0,1,0,0,4,2,0,93,5.80
2023/07/07,6:40 PM.,TOR,DET,home,Partly Cloudy.,79,3.2,6,7,7,2,2,1,72,6.98
2023/05/30,6:40 PM.,TEX,DET,home,Clear.,86,4.1,7,6,6,1,4,0,73,5.54
2023/05/25,6:41 PM.,CWS,DET,home,Clear.,62,6.0,3,2,2,0,10,1,94,4.15
2023/05/20,4:05 PM.,WSH,DET,away,Partly Cloudy.,78,5.0,5,3,3,0,4,1,72,4.60
2023/05/13,1:11 PM.,SEA,DET,home,Cloudy.,73,6.0,4,3,3,1,7,2,86,4.22
2023/05/07,1:15 PM.,STL,DET,away,Cloudy.,87,4.2,3,3,2,0,1,2,72,3.86
