date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/29,7:20 PM.,ATL,WSH,away,Partly Cloudy.,78,1.2,2,0,0,0,2,0,31,2.72
2023/09/24,1:35 PM.,ATL,WSH,home,Rain.,67,1.0,0,0,0,0,0,0,12,2.79
2023/09/19,7:05 PM.,CWS,WSH,home,Clear.,74,1.0,0,0,0,0,0,0,14,2.84
2023/09/17,1:11 PM.,MIL,WSH,away,Partly Cloudy.,67,2.0,0,0,0,0,2,0,30,2.89
2023/09/15,7:10 PM.,MIL,WSH,away,Clear.,68,1.0,3,1,1,0,2,1,19,3.00
2023/09/09,8:15 PM.,LAD,WSH,home,Cloudy.,72,1.1,3,2,2,0,2,1,32,2.89
2023/09/06,7:05 PM.,NYM,WSH,home,Clear.,97,1.0,1,0,0,0,1,0,17,2.61
2023/09/03,1:36 PM.,MIA,WSH,home,Sunny.,91,1.0,0,0,0,0,2,0,11,2.66
2023/09/01,7:05 PM.,MIA,WSH,home,Clear.,75,1.0,0,0,0,0,2,0,13,2.72
2023/08/29,7:08 PM.,TOR,WSH,away,Clear.,71,1.1,2,1,1,0,0,0,26,2.77
2023/08/25,6:41 PM.,MIA,WSH,away,Roof Closed.,72,1.0,1,0,0,0,1,0,21,2.66
2023/08/24,1:09 PM.,NYY,WSH,away,Cloudy.,74,1.0,0,0,0,1,1,0,13,2.72
2023/08/22,7:08 PM.,NYY,WSH,away,Partly Cloudy.,77,1.0,0,0,0,0,2,0,19,2.78
2023/08/20,7:12 PM.,PHI,WSH,home,Clear.,79,1.0,1,0,0,0,1,0,9,2.84
2023/08/18,7:05 PM.,PHI,WSH,home,Clear.,84,1.0,0,0,0,0,1,0,12,2.91
2023/08/17,4:05 PM.,BOS,WSH,home,Partly Cloudy.,90,1.0,1,0,0,0,1,0,18,2.98
2023/08/15,7:07 PM.,BOS,WSH,home,Partly Cloudy.,81,1.0,0,0,0,0,1,0,13,3.05
2023/07/14,7:16 PM.,STL,WSH,away,Partly Cloudy.,91,1.0,0,0,0,0,1,0,9,3.12
2023/07/09,12:05 PM.,TEX,WSH,home,Cloudy.,83,1.0,2,0,0,0,0,0,14,3.20
2023/07/06,1:05 PM.,CIN,WSH,home,Cloudy.,88,1.1,1,2,1,0,3,1,22,3.29
2023/07/02,1:40 PM.,PHI,WSH,away,Partly Cloudy.,87,1.0,0,0,0,0,0,0,13,3.16
2023/06/30,6:14 PM.,PHI,WSH,away,Overcast.,85,1.0,0,0,0,0,2,0,10,3.25
2023/06/28,1:10 PM.,SEA,WSH,away,Sunny.,72,1.0,0,0,0,0,2,0,13,3.34
2023/06/27,6:42 PM.,SEA,WSH,away,Partly Cloudy.,73,1.0,1,0,0,1,1,0,20,3.44
2023/06/25,1:10 PM.,SD,WSH,away,Sunny.,70,0.1,0,0,0,0,0,0,3,3.55
2023/06/24,5:40 PM.,SD,WSH,away,Clear.,68,1.0,0,0,0,0,1,0,12,3.58
2023/06/21,4:05 PM.,STL,WSH,home,Cloudy.,64,1.0,1,0,0,0,0,0,13,3.69
2023/06/20,7:05 PM.,STL,WSH,home,Cloudy.,75,1.0,1,2,2,1,0,1,31,3.82
2023/06/15,7:10 PM.,HOU,WSH,away,Roof Closed.,73,1.0,2,1,1,0,1,0,24,3.34
2023/06/14,7:11 PM.,HOU,WSH,away,Roof Closed.,73,0.2,2,1,0,1,1,0,22,3.14
2023/06/11,1:36 PM.,ATL,WSH,away,Overcast.,73,1.0,0,0,0,0,0,0,6,3.21
2023/06/02,7:06 PM.,PHI,WSH,home,Partly Cloudy.,90,0.2,1,0,0,1,1,0,16,3.33
2023/05/31,1:10 PM.,LAD,WSH,away,Cloudy.,65,2.0,1,0,0,0,2,0,34,3.42
2023/05/27,3:10 PM.,KC,WSH,away,Sunny.,78,1.0,0,0,0,1,2,0,19,3.70
2023/05/25,4:05 PM.,SD,WSH,home,Sunny.,70,1.0,3,3,3,0,2,1,28,3.86
2023/05/24,7:05 PM.,SD,WSH,home,Clear.,79,1.1,0,0,0,0,2,0,13,2.82
2023/05/21,1:35 PM.,DET,WSH,home,Sunny.,72,1.0,0,0,0,0,2,0,13,3.00
2023/05/20,4:05 PM.,DET,WSH,home,Partly Cloudy.,78,1.0,0,0,0,0,1,0,14,3.15
2023/05/16,6:39 PM.,MIA,WSH,away,Roof Closed.,72,0.2,3,3,3,0,1,1,23,3.32
2023/05/13,4:05 PM.,NYM,WSH,home,Cloudy.,67,1.2,0,0,0,0,1,0,19,1.96
2023/05/12,7:06 PM.,NYM,WSH,home,Partly Cloudy.,81,1.0,1,0,0,0,1,0,23,2.16
2023/05/07,1:11 PM.,AZ,WSH,away,Roof Closed.,75,1.0,0,0,0,1,1,0,16,2.30
2023/05/04,1:05 PM.,CHC,WSH,home,Partly Cloudy.,60,1.0,2,1,1,0,1,0,20,2.45
2023/05/03,7:05 PM.,CHC,WSH,home,Cloudy.,54,1.0,1,0,0,0,2,0,14,1.98
2023/05/02,7:05 PM.,CHC,WSH,home,Overcast.,53,1.1,1,0,0,1,1,0,21,2.13
2023/04/29,6:05 PM.,PIT,WSH,home,Cloudy.,69,1.0,0,0,0,0,0,0,7,2.38
2023/04/26,7:10 PM.,NYM,WSH,away,Partly Cloudy.,54,1.2,0,0,0,0,3,0,18,2.61
2023/04/21,7:11 PM.,MIN,WSH,away,Cloudy.,37,1.0,0,0,0,0,3,0,18,3.12
2023/04/14,7:06 PM.,CLE,WSH,home,Cloudy.,73,1.2,2,2,2,2,3,1,31,3.52
2023/04/12,1:07 PM.,LAA,WSH,away,Cloudy.,65,0.2,0,0,0,1,1,0,13,1.50
2023/04/10,6:38 PM.,LAA,WSH,away,Clear.,66,1.1,0,0,0,1,2,0,18,1.69
2023/04/08,6:10 PM.,COL,WSH,away,Cloudy.,65,0.2,0,0,0,0,0,0,5,2.25
2023/04/07,6:41 PM.,COL,WSH,away,Partly Cloudy.,64,0.2,1,0,0,0,0,0,7,2.70
2023/04/04,7:05 PM.,TB,WSH,home,Partly Cloudy.,80,1.0,1,1,1,1,1,0,21,3.38
2023/04/02,1:35 PM.,ATL,WSH,home,Sunny.,54,0.2,0,0,0,0,0,0,5,0.00
2023/03/30,1:06 PM.,ATL,WSH,home,Sunny.,45,1.0,1,0,0,0,0,0,12,0.00
