date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/30,5:10 PM.,AZ,HOU,away,Roof Closed.,78,1.2,0,0,0,1,1,0,16,1.71
2023/09/29,6:41 PM.,AZ,HOU,away,Clear.,94,1.0,1,0,0,1,0,0,16,1.76
2023/09/27,6:41 PM.,SEA,HOU,away,Roof Closed.,58,1.0,0,0,0,1,3,0,21,1.78
2023/09/24,1:10 PM.,KC,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,7,1.81
2023/09/22,7:12 PM.,KC,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,11,1.84
2023/09/20,1:12 PM.,BAL,HOU,home,Roof Closed.,73,1.0,2,0,0,0,0,0,10,1.87
2023/09/18,7:11 PM.,BAL,HOU,home,Roof Closed.,73,1.0,1,0,0,0,3,0,24,1.90
2023/09/16,6:47 PM.,KC,HOU,away,Cloudy.,71,1.0,2,3,1,1,0,0,29,1.93
2023/09/13,6:11 PM.,OAK,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,13,1.81
2023/09/09,6:11 PM.,SD,HOU,home,Roof Closed.,73,0.2,0,0,0,0,0,0,8,1.84
2023/09/04,3:08 PM.,TEX,HOU,away,Roof Closed.,74,1.0,0,0,0,1,1,0,18,1.86
2023/09/02,6:10 PM.,NYY,HOU,home,Roof Closed.,73,1.0,0,0,0,0,3,0,14,1.89
2023/08/30,4:11 PM.,BOS,HOU,away,Cloudy.,78,1.1,0,0,0,1,1,0,38,1.93
2023/08/29,7:13 PM.,BOS,HOU,away,Cloudy.,69,1.0,0,0,0,0,0,0,11,1.98
2023/08/27,1:40 PM.,DET,HOU,away,Sunny.,71,1.0,0,0,0,0,0,0,13,2.01
2023/08/23,7:10 PM.,BOS,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,12,2.05
2023/08/21,7:11 PM.,BOS,HOU,home,Roof Closed.,73,1.0,0,0,0,0,2,0,22,2.09
2023/08/19,6:12 PM.,SEA,HOU,home,Roof Closed.,73,1.0,3,2,2,0,1,0,22,2.13
2023/08/14,6:40 PM.,MIA,HOU,away,Roof Closed.,72,0.1,1,1,1,0,1,1,8,1.81
2023/08/12,6:16 PM.,LAA,HOU,home,Roof Closed.,73,1.0,1,1,1,0,0,1,15,1.64
2023/08/09,7:07 PM.,BAL,HOU,away,Clear.,85,1.0,0,0,0,0,2,0,13,1.49
2023/08/06,1:38 PM.,NYY,HOU,away,Partly Cloudy.,81,0.2,1,1,1,2,1,0,27,1.52
2023/08/04,7:08 PM.,NYY,HOU,away,Cloudy.,74,1.0,1,0,0,1,2,0,19,1.35
2023/08/02,1:10 PM.,CLE,HOU,home,Roof Closed.,73,1.0,0,0,0,0,2,0,15,1.38
2023/07/28,7:11 PM.,TB,HOU,home,Roof Closed.,73,1.0,1,0,0,0,0,0,19,1.41
2023/07/25,7:10 PM.,TEX,HOU,home,Roof Closed.,73,1.0,2,0,0,1,1,0,19,1.44
2023/07/23,1:07 PM.,OAK,HOU,away,Partly Cloudy.,72,1.0,1,0,0,1,0,0,12,1.48
2023/07/21,6:41 PM.,OAK,HOU,away,Clear.,71,1.0,0,0,0,2,0,0,16,1.51
2023/07/18,6:42 PM.,COL,HOU,away,Partly Cloudy.,88,1.0,0,0,0,1,1,0,19,1.55
2023/07/15,6:08 PM.,LAA,HOU,away,Clear.,77,1.0,0,0,0,0,1,0,11,1.59
2023/07/14,6:37 PM.,LAA,HOU,away,Clear.,85,1.0,1,1,1,0,3,1,18,1.63
2023/07/08,6:17 PM.,SEA,HOU,home,Roof Closed.,73,1.0,0,0,0,2,2,0,32,1.43
