date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/26,7:08 PM.,TOR,NYY,away,Clear.,65,2.0,1,0,0,1,1,0,29,4.33
2023/09/22,7:09 PM.,AZ,NYY,home,Cloudy.,66,3.2,1,1,1,0,3,1,39,4.43
2023/09/16,6:36 PM.,PIT,NYY,away,Clear.,71,3.0,0,0,0,0,3,0,47,4.52
2023/09/12,1:36 PM.,BOS,NYY,away,Cloudy.,74,2.1,3,0,0,1,2,0,38,4.69
2023/09/08,7:20 PM.,MIL,NYY,home,Partly Cloudy.,75,2.1,3,1,1,1,3,0,33,4.83
2023/09/02,6:10 PM.,HOU,NYY,away,Roof Closed.,73,3.2,2,0,0,0,1,0,42,4.86
2023/08/29,6:40 PM.,DET,NYY,away,Cloudy.,74,3.1,2,0,0,2,3,0,45,5.12
2023/08/24,1:09 PM.,WSH,NYY,home,Cloudy.,74,2.1,1,1,1,0,2,0,34,5.37
2023/08/18,7:11 PM.,BOS,NYY,home,Partly Cloudy.,78,2.1,9,7,6,0,1,1,46,5.43
2023/08/12,4:10 PM.,MIA,NYY,away,Roof Closed.,72,5.0,3,1,1,0,6,0,69,4.76
2023/08/06,1:38 PM.,HOU,NYY,home,Partly Cloudy.,81,1.2,0,0,0,2,2,0,25,5.02
2023/07/31,7:08 PM.,TB,NYY,home,Partly Cloudy.,80,4.0,6,5,5,0,4,4,67,5.17
2023/06/27,6:40 PM.,OAK,NYY,away,Partly Cloudy.,58,5.2,4,2,2,2,2,1,81,4.70
2023/06/21,7:08 PM.,SEA,NYY,home,Partly Cloudy.,69,5.2,2,0,0,1,3,0,81,4.89
2023/05/20,4:11 PM.,CIN,NYY,away,Sunny.,71,4.0,4,4,4,4,6,1,84,5.58
2023/05/15,7:10 PM.,TOR,NYY,away,Clear.,72,5.1,6,4,1,0,2,0,71,5.20
2023/05/10,12:39 PM.,OAK,NYY,home,Sunny.,65,4.1,5,2,2,2,3,2,77,5.81
2023/05/05,6:41 PM.,TB,NYY,away,Dome.,72,4.0,6,4,4,1,2,2,65,6.08
2023/04/29,6:08 PM.,TEX,NYY,away,Roof Closed.,74,5.0,4,2,2,1,5,1,59,5.56
2023/04/24,6:41 PM.,MIN,NYY,away,Partly Cloudy.,49,2.2,3,3,3,3,1,0,80,6.11
2023/04/19,7:09 PM.,LAA,NYY,home,Clear.,61,4.1,3,1,1,3,3,0,84,5.40
2023/04/13,7:08 PM.,MIN,NYY,home,Clear.,86,0.2,6,7,7,1,0,1,34,6.75
2023/04/08,7:05 PM.,BAL,NYY,away,Overcast.,51,5.0,3,1,1,2,2,0,92,0.90
2023/04/02,1:38 PM.,SF,NYY,home,Sunny.,47,5.0,2,0,0,1,6,0,76,0.00
