date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/01,7:16 PM.,PIT,STL,home,Clear.,80,1.2,4,3,2,1,2,0,35,3.68
2023/08/29,6:46 PM.,SD,STL,home,Clear.,85,2.0,2,0,0,0,3,0,24,3.34
2023/08/23,12:36 PM.,PIT,STL,away,Cloudy.,76,2.0,2,1,1,0,3,0,28,3.55
2023/08/20,1:17 PM.,NYM,STL,home,Partly Cloudy.,95,1.0,0,0,0,0,0,0,11,3.48
2023/08/15,6:46 PM.,OAK,STL,home,Cloudy.,74,1.0,0,0,0,0,2,0,11,3.60
2023/08/14,6:47 PM.,OAK,STL,home,Cloudy.,79,1.1,0,0,0,0,2,0,17,3.72
2023/08/12,6:11 PM.,KC,STL,away,Partly Cloudy.,90,1.2,3,1,1,0,0,0,17,3.90
2023/08/10,6:40 PM.,TB,STL,away,Dome.,72,1.0,2,2,2,1,1,0,29,3.81
2023/08/09,6:40 PM.,TB,STL,away,Dome.,72,1.1,1,0,0,0,3,0,19,3.24
2023/08/06,1:16 PM.,COL,STL,home,Partly Cloudy.,83,2.0,0,0,0,0,4,0,23,3.42
2023/08/02,6:45 PM.,MIN,STL,home,Overcast.,81,1.0,1,0,0,0,2,0,13,3.74
2023/07/30,1:16 PM.,CHC,STL,home,Partly Cloudy.,86,1.0,1,0,0,0,2,0,20,3.92
2023/07/25,6:40 PM.,AZ,STL,away,Roof Closed.,78,1.0,2,2,2,0,0,0,14,4.12
2023/07/24,6:40 PM.,AZ,STL,away,Roof Closed.,78,1.0,2,2,2,0,0,0,20,3.38
2023/07/20,7:05 PM.,CHC,STL,away,Partly Cloudy.,80,1.1,1,0,0,0,1,0,21,2.55
2023/07/18,6:47 PM.,MIA,STL,home,Clear.,81,1.0,0,0,0,0,2,0,9,2.76
2023/07/16,1:17 PM.,WSH,STL,home,Sunny.,89,1.2,0,0,0,1,2,0,25,2.93
2023/07/14,7:16 PM.,WSH,STL,home,Partly Cloudy.,91,1.1,1,0,0,0,2,0,18,3.29
2023/07/09,1:10 PM.,CWS,STL,away,Partly Cloudy.,80,2.0,0,0,0,1,3,0,25,3.65
2023/07/07,7:11 PM.,CWS,STL,away,Cloudy.,72,1.0,2,3,2,0,0,0,16,4.35
2023/07/04,1:11 PM.,MIA,STL,away,Roof Closed.,72,1.2,1,0,0,1,2,0,33,2.89
2023/05/07,1:15 PM.,DET,STL,home,Cloudy.,87,0.1,1,2,2,1,0,1,12,3.52
2023/05/04,12:16 PM.,LAA,STL,home,Sunny.,72,1.1,1,0,0,0,1,0,24,1.23
2023/04/30,1:10 PM.,LAD,STL,away,Overcast.,67,1.1,1,0,0,0,1,0,14,1.50
2023/04/28,7:11 PM.,LAD,STL,away,Clear.,62,2.0,0,1,1,2,3,0,39,1.93
2023/04/21,7:10 PM.,SEA,STL,away,Cloudy.,52,1.0,0,0,0,1,0,0,10,0.00
2023/04/18,6:48 PM.,AZ,STL,home,Partly Cloudy.,71,1.2,1,0,0,1,1,0,21,0.00
